date,value
2024-07-17,53832.096000000194
2024-07-24,52507.88200000019
2024-07-31,53359.0740000002
2024-08-07,53241.7420000002
2024-08-14,52942.110000000204
2024-08-21,52422.888000000195
2024-08-28,52079.10800000019
2024-09-04,51860.43800000017
2024-09-11,51633.52000000017
2024-09-20,51141.85400000017
2024-09-27,53062.10000000018
2024-10-11,53686.82800000019
2024-10-18,55247.140000000196
2024-10-25,55923.078000000205
2024-11-01,56210.964000000225
2024-11-08,59237.33400000023
2024-11-15,58511.71800000022
2024-11-22,58888.9820000002
2024-11-29,59136.3400000002
2024-12-06,59933.400000000176
2024-12-13,59642.78000000018
2024-12-20,59643.04800000019
2024-12-27,58392.73800000016
2025-01-06,57175.140000000174
2025-01-13,57836.99600000017
2025-01-20,58935.030000000166
2025-01-27,57913.00600000016
2025-02-11,60416.714000000145
2025-02-18,60301.944000000156
2025-02-25,60747.45000000015
2025-03-04,61446.788000000146
2025-03-11,61970.69800000014
2025-03-18,58834.138000000145
2025-03-25,57951.784000000145
2025-04-01,57449.91800000015
2025-04-09,56382.36600000014
2025-04-16,57349.74200000015
2025-04-23,57163.28800000016
2025-04-30,50896.206000000166
2025-05-12,48913.24200000017
2025-05-19,49607.268000000186
2025-05-26,49404.306000000186
2025-06-03,49512.63200000019
2025-06-10,49806.36000000019
2025-06-17,49737.56600000019
2025-06-24,49488.52000000019
2025-07-01,49329.04200000021
2025-07-08,49557.458000000224
2025-07-15,49053.82000000024
2025-07-22,49269.21800000025
2025-07-29,49219.810000000245
2025-08-05,48869.89400000025
2025-08-12,49898.420000000246
2025-08-19,50773.52600000024
2025-08-26,50632.21200000023
2025-09-02,50451.91600000023
2025-09-09,50523.404000000235
2025-09-16,50707.00000000025
2025-09-23,50610.626000000244
2025-09-30,49133.262000000235
2025-10-15,47885.93400000025
2025-10-22,48224.80000000026
2025-10-29,48322.152000000264
2025-11-05,48399.486000000266
2025-11-12,48523.842000000266
2025-11-19,47878.06000000026
2025-11-26,47352.38000000026
2025-12-03,47370.270000000266
2025-12-10,47509.53400000027
2025-12-17,47033.08600000027
2025-12-24,46910.05400000027
2025-12-31,46707.104000000276
2026-01-09,46957.218000000285
2026-01-16,46333.85400000029
2026-01-23,47357.94200000028
2026-01-30,46999.63200000028
2026-02-06,47361.332000000286
2026-02-13,47490.580000000286
2026-03-02,47646.74400000029
2026-03-09,47826.712000000276
2026-03-16,47620.33200000027
2026-03-23,47059.44600000027
2026-03-30,47367.12600000027
2026-04-07,47037.422000000275
2026-04-14,47103.174000000276
2026-04-21,45597.30200000028
2026-04-28,43136.47800000029
2026-05-08,35456.43600000028
2026-05-15,35543.00800000028
2026-05-22,35338.17800000027
2026-05-29,35196.32200000026
2026-06-05,35119.762000000264
2026-06-12,34899.514000000265
2026-06-29,34517.74400000027
