date,value
2022-01-28,99943.632
2022-02-11,99926.49600000003
2022-02-18,100682.54600000002
2022-02-25,100891.13
2022-03-04,100250.98200000002
2022-03-11,98478.85400000004
2022-03-18,99376.03000000006
2022-03-25,99036.34400000006
2022-04-01,99300.09200000008
2022-04-12,97319.04800000011
2022-04-19,97197.2800000001
2022-04-26,91531.9900000001
2022-05-06,92906.69400000013
2022-05-13,95217.10600000012
2022-05-20,95697.9800000001
2022-05-27,95495.4060000001
2022-06-06,97287.79600000007
2022-06-13,96655.52400000009
2022-06-20,97750.49400000011
2022-06-27,97717.95800000013
2022-07-04,98841.78000000012
2022-07-11,98742.70400000014
2022-07-18,98526.78200000015
2022-07-25,98852.18000000014
2022-08-01,99163.21800000014
2022-08-08,97699.53800000018
2022-08-15,97926.66600000022
2022-08-22,98729.67400000017
2022-08-29,97746.48200000015
2022-09-05,96827.24000000018
2022-09-13,97817.79800000018
2022-09-20,96926.41400000018
2022-09-27,96853.64600000015
2022-10-11,94808.12400000017
2022-10-18,96356.26800000016
2022-10-25,95113.23200000013
2022-11-01,94589.51200000013
2022-11-08,96124.02200000008
2022-11-15,96447.73800000008
2022-11-22,96348.36400000009
2022-11-29,97464.42400000007
2022-12-06,96984.57200000009
2022-12-13,96582.86400000007
2022-12-20,96381.18200000007
2022-12-27,95233.95400000007
2023-01-04,95327.86000000009
2023-01-11,94958.70000000011
2023-01-18,94872.19400000013
2023-02-01,96469.87000000014
2023-02-08,96169.61000000016
2023-02-15,96690.28400000013
2023-02-22,96359.82200000012
2023-03-01,95765.05200000013
2023-03-08,95883.01800000013
2023-03-15,95286.33800000015
2023-03-22,95528.48800000013
2023-03-29,94598.84200000015
2023-04-06,94493.91600000017
2023-04-13,93987.25600000017
2023-04-20,93235.3540000002
2023-04-27,84917.37000000017
2023-05-09,81760.60600000016
2023-05-16,81507.13400000017
2023-05-23,81848.69800000012
2023-05-30,81133.22000000012
2023-06-06,81374.49400000012
2023-06-13,81670.78600000011
2023-06-20,82078.67600000006
2023-06-29,81503.10600000007
2023-07-06,81465.88200000007
2023-07-13,80766.70600000006
2023-07-20,81000.79000000008
2023-07-27,80651.82400000008
2023-08-03,80587.54800000005
2023-08-10,80834.68800000005
2023-08-17,80083.45800000007
2023-08-24,79256.25800000003
2023-08-31,80434.86600000001
2023-09-07,80710.68800000002
2023-09-14,80785.72600000004
2023-09-21,80238.14000000004
2023-09-28,80954.55200000001
2023-10-13,80128.48800000001
2023-10-20,78832.92800000001
2023-10-27,79185.35400000002
2023-11-03,79766.40200000006
2023-11-10,80141.87200000006
2023-11-17,81094.01800000007
2023-11-24,86248.7600000001
2023-12-01,86116.31800000012
2023-12-08,85870.07400000014
2023-12-15,85569.16600000011
2023-12-22,84932.06800000014
2023-12-29,85165.63400000017
2024-01-08,84437.5000000002
2024-01-15,84238.07600000023
2024-01-22,87852.82400000021
2024-01-29,87959.16000000022
2024-02-05,84476.14600000021
2024-02-20,88695.3860000002
2024-02-27,94651.21000000014
2024-03-05,91212.06800000014
2024-03-12,93789.83600000018
2024-03-19,93997.98800000022
2024-03-26,92510.67600000021
2024-04-02,91912.65400000026
2024-04-11,90064.60600000026
2024-04-18,87131.54000000021
2024-04-25,86012.8680000002
2024-05-07,62308.6020000002
2024-05-14,61283.27400000023
2024-05-21,61311.12600000024
2024-05-28,61239.41400000024
2024-06-04,58357.58800000024
2024-06-12,58303.92600000025
2024-06-19,57649.116000000235
2024-06-26,55041.60800000022
2024-07-03,54526.418000000216
2024-07-10,53584.100000000195
