date,code,entry_price,exit_price,loss_pct
2020-03-25,601126.SH,6.83,6.44,-5.710102489019031
2020-03-26,300197.SZ,3.3,3.03,-8.18181818181818
2020-03-26,300138.SZ,9.55,9.05,-5.235602094240832
2020-03-26,600589.SH,7.59,6.61,-12.911725955204211
2020-03-26,300299.SZ,6.3,5.76,-8.571428571428575
2020-03-26,002398.SZ,8.51,7.94,-6.698002350176258
2020-03-26,002471.SZ,2.99,2.69,-10.033444816053516
2020-03-26,002342.SZ,3.72,3.36,-9.677419354838722
2020-03-26,000721.SZ,4.78,4.54,-5.020920502092052
2020-03-26,603278.SH,10.6,9.95,-6.132075471698117
2020-03-27,603618.SH,6.36,5.95,-6.446540880503148
2020-03-27,300187.SZ,5.53,5.16,-6.690777576853524
2020-03-27,002150.SZ,7.96,6.93,-12.939698492462314
2020-03-27,000150.SZ,5.21,4.92,-5.566218809980805
2020-03-27,000613.SZ,7.57,7.12,-5.944517833553498
2020-03-30,000428.SZ,3.03,2.8,-7.590759075907593
2020-03-30,300062.SZ,6.54,6.2,-5.198776758409784
2020-03-30,300293.SZ,11.18,10.27,-8.139534883720934
2020-03-30,002702.SZ,5.33,4.99,-6.378986866791747
2020-03-30,002310.SZ,6.06,5.4,-10.89108910891088
2020-03-30,600203.SH,9.8,8.74,-10.816326530612253
2020-03-31,002093.SZ,10.35,9.6,-7.246376811594201
2020-03-31,002676.SZ,3.75,3.54,-5.599999999999994
2020-04-01,601366.SH,7.01,6.31,-9.985734664764623
2020-04-01,002498.SZ,3.9,3.65,-6.41025641025641
2020-04-01,002596.SZ,8.34,7.72,-7.434052757793763
2020-04-01,600966.SH,8.09,7.51,-7.169344870210137
2020-04-01,300189.SZ,4.3,4.08,-5.116279069767438
2020-04-02,600983.SH,5.72,5.39,-5.769230769230771
2020-04-02,601952.SH,10.67,10.04,-5.904404873477043
2020-04-02,600359.SH,7.3,6.89,-5.616438356164388
2020-04-09,300106.SZ,7.68,7.27,-5.338541666666674
2020-04-09,000833.SZ,6.27,5.88,-6.2200956937799035
2020-04-10,600495.SH,4.71,4.32,-8.280254777070063
2020-04-10,002515.SZ,6.47,6.07,-6.182380216383299
2020-04-10,300293.SZ,10.89,9.7,-10.927456382001843
2020-04-10,600467.SH,3.0,2.78,-7.333333333333336
2020-04-10,000639.SZ,6.52,6.09,-6.5950920245398725
2020-04-10,300187.SZ,6.19,5.77,-6.785137318255263
2020-04-10,002486.SZ,5.39,4.85,-10.018552875695729
2020-04-13,000613.SZ,7.12,6.35,-10.81460674157304
2020-04-13,002560.SZ,7.67,7.01,-8.60495436766623
2020-04-13,600983.SH,5.93,5.39,-9.10623946037099
2020-04-13,601118.SH,5.59,5.05,-9.660107334525936
2020-04-13,002731.SZ,8.6,7.98,-7.20930232558139
2020-04-13,002696.SZ,7.3,6.68,-8.493150684931505
2020-04-13,600359.SH,7.19,6.71,-6.675938803894299
2020-04-13,002571.SZ,6.15,5.58,-9.268292682926838
2020-04-13,603067.SH,6.82,6.15,-9.824046920821116
2020-04-13,002400.SZ,3.87,3.58,-7.4935400516795925
2020-04-14,300194.SZ,7.0,6.5,-7.14285714285714
2020-04-15,603696.SH,9.98,9.35,-6.312625250501014
2020-04-15,300402.SZ,10.71,9.99,-6.722689075630262
2020-04-16,300273.SZ,7.73,7.27,-5.950840879689534
2020-04-16,002178.SZ,5.14,4.72,-8.171206225680939
2020-04-17,600988.SH,8.95,8.46,-5.474860335195508
2020-04-17,600222.SH,6.66,6.29,-5.555555555555558
2020-04-17,002731.SZ,7.98,7.46,-6.516290726817053
2020-04-17,300039.SZ,6.56,6.14,-6.4024390243902385
2020-04-21,002135.SZ,9.5,8.79,-7.473684210526321
2020-04-21,000936.SZ,10.32,9.77,-5.329457364341095
2020-04-23,600468.SH,5.29,4.93,-6.805293005671087
2020-04-23,603105.SH,10.09,9.45,-6.342913776015868
2020-04-23,600272.SH,9.16,8.37,-8.624454148471628
2020-04-24,000756.SZ,11.12,10.48,-5.755395683453224
2020-04-24,603997.SH,9.08,8.57,-5.61674008810572
2020-04-24,002486.SZ,4.61,4.31,-6.507592190889389
2020-04-24,300273.SZ,7.0,6.43,-8.142857142857151
2020-04-24,600226.SH,2.95,2.67,-9.49152542372882
2020-04-27,002246.SZ,9.49,8.69,-8.429926238145423
2020-04-27,002165.SZ,5.84,5.26,-9.931506849315074
2020-04-28,002770.SZ,2.86,2.71,-5.24475524475524
2020-04-28,600609.SH,5.05,4.46,-11.683168316831683
2020-04-28,600898.SH,8.09,7.05,-12.855377008652658
2020-04-28,600143.SH,10.34,9.63,-6.86653771760154
2020-04-28,002588.SZ,5.11,4.83,-5.47945205479452
2020-04-28,002537.SZ,6.78,6.03,-11.061946902654862
2020-04-28,002498.SZ,4.84,4.54,-6.198347107438018
2020-04-29,000068.SZ,3.91,3.53,-9.718670076726355
2020-04-30,600538.SH,8.23,7.8,-5.2247873633049835
2020-04-30,002641.SZ,7.2,6.8,-5.555555555555558
2020-05-06,002363.SZ,8.72,7.97,-8.600917431192666
2020-05-06,601872.SH,7.11,6.6,-7.17299578059073
2020-05-07,600889.SH,5.86,5.48,-6.484641638225252
2020-05-07,300364.SZ,4.6,4.29,-6.739130434782603
2020-05-12,002416.SZ,7.79,7.35,-5.6482670089858855
2020-05-12,002487.SZ,5.76,5.43,-5.7291666666666625
2020-05-14,300511.SZ,10.86,10.29,-5.2486187845303895
2020-05-14,601616.SH,3.81,3.52,-7.6115485564304475
2020-05-15,600491.SH,9.07,8.51,-6.174200661521501
2020-05-15,002270.SZ,5.71,5.39,-5.604203152364273
2020-05-15,002713.SZ,8.03,7.53,-6.226650062266492
2020-05-18,000616.SZ,3.03,2.82,-6.930693069306926
2020-05-18,600658.SH,5.7,5.25,-7.8947368421052655
2020-05-18,600239.SH,3.52,3.31,-5.9659090909090935
2020-05-20,002726.SZ,8.04,7.61,-5.348258706467646
2020-05-20,000697.SZ,11.66,10.51,-9.862778730703258
2020-05-20,600360.SH,9.85,9.27,-5.888324873096451
2020-05-21,000019.SZ,9.26,8.7,-6.0475161987041055
2020-05-21,600330.SH,9.65,8.85,-8.290155440414516
2020-05-21,603020.SH,10.9,10.18,-6.605504587155964
2020-05-21,002480.SZ,6.12,5.63,-8.006535947712424
2020-05-21,300415.SZ,8.87,7.98,-10.033821871476878
2020-05-22,600506.SH,11.3,10.71,-5.221238938053096
2020-05-25,000061.SZ,8.28,7.76,-6.28019323671497
2020-05-25,000616.SZ,2.84,2.65,-6.690140845070425
2020-05-26,002520.SZ,8.84,7.96,-9.954751131221718
2020-05-27,002104.SZ,8.8,8.34,-5.2272727272727355
2020-05-28,300432.SZ,10.99,9.13,-16.92447679708826
2020-05-28,300358.SZ,9.19,8.42,-8.378672470076165
2020-05-28,002498.SZ,5.72,5.26,-8.041958041958042
2020-05-29,601789.SH,5.39,5.05,-6.307977736549164
2020-05-29,002650.SZ,5.3,5.03,-5.094339622641497
2020-05-29,600350.SH,5.93,5.45,-8.09443507588532
2020-05-29,600520.SH,9.88,9.19,-6.983805668016208
2020-06-04,600057.SH,6.45,6.02,-6.666666666666677
2020-06-04,601038.SH,9.87,9.2,-6.7882472137791305
2020-06-04,600506.SH,10.63,10.03,-5.644402634054579
2020-06-04,002057.SZ,8.15,7.61,-6.62576687116564
2020-06-05,002650.SZ,5.51,5.11,-7.2595281306715
2020-06-05,002264.SZ,5.83,5.3,-9.090909090909093
2020-06-05,000795.SZ,6.66,6.16,-7.507507507507505
2020-06-05,002654.SZ,5.2,4.68,-10.000000000000009
2020-06-05,002494.SZ,6.0,5.44,-9.333333333333327
2020-06-08,300131.SZ,6.33,5.94,-6.16113744075829
2020-06-08,600831.SH,8.64,8.03,-7.0601851851851976
2020-06-08,603178.SH,9.38,8.76,-6.609808102345427
2020-06-08,603101.SH,8.64,7.7,-10.879629629629628
2020-06-08,600827.SH,9.84,8.98,-8.739837398373973
2020-06-09,002297.SZ,6.91,6.51,-5.788712011577424
2020-06-09,600960.SH,3.83,3.5,-8.616187989556135
2020-06-09,002553.SZ,6.78,6.41,-5.457227138643073
2020-06-11,300002.SZ,7.3,6.87,-5.890410958904102
2020-06-12,002549.SZ,8.36,7.74,-7.416267942583721
2020-06-15,603969.SH,4.97,4.53,-8.853118712273634
2020-06-15,000426.SZ,6.77,6.38,-5.760709010339726
2020-06-15,300089.SZ,3.59,3.4,-5.292479108635096
2020-06-15,300160.SZ,8.4,7.56,-10.000000000000009
2020-06-18,000557.SZ,3.76,3.55,-5.585106382978722
2020-06-18,000613.SZ,8.26,7.75,-6.174334140435834
2020-06-18,600318.SH,9.46,8.79,-7.082452431289655
2020-06-19,300367.SZ,3.73,3.49,-6.434316353887393
2020-06-19,300318.SZ,6.5,5.99,-7.846153846153847
2020-06-19,300459.SZ,3.11,2.9,-6.7524115755627
2020-06-22,300343.SZ,2.45,2.28,-6.938775510204098
2020-06-23,300131.SZ,6.24,5.46,-12.5
2020-06-23,300178.SZ,2.86,2.66,-6.99300699300699
2020-06-24,600712.SH,6.03,5.53,-8.29187396351575
2020-06-29,300023.SZ,10.54,9.91,-5.977229601518019
2020-06-29,600733.SH,6.89,6.42,-6.82148040638606
2020-06-29,300160.SZ,7.97,7.43,-6.775407779171894
2020-06-30,300392.SZ,9.4,8.92,-5.106382978723412
2020-07-01,600126.SH,9.96,9.36,-6.024096385542177
2020-07-03,002524.SZ,10.87,10.24,-5.795768169273218
2020-07-10,002839.SZ,6.98,6.62,-5.157593123209169
2020-07-10,601916.SH,5.12,4.51,-11.91406250000001
2020-07-15,002334.SZ,5.72,5.38,-5.944055944055937
2020-07-16,300035.SZ,9.1,8.56,-5.934065934065924
2020-07-16,603959.SH,8.81,8.33,-5.448354143019296
2020-07-16,002612.SZ,10.61,9.5,-10.461828463713474
2020-07-16,000563.SZ,4.51,4.23,-6.208425720620825
2020-07-16,002667.SZ,8.21,7.56,-7.917174177831932
2020-07-16,601199.SH,5.13,4.76,-7.21247563352827
2020-07-17,000750.SZ,5.61,5.26,-6.238859180035661
2020-07-24,002666.SZ,6.97,6.5,-6.743185078909608
2020-07-24,300459.SZ,3.28,2.91,-11.280487804878037
2020-07-24,002112.SZ,9.7,8.8,-9.278350515463906
2020-07-24,002334.SZ,5.51,4.93,-10.526315789473683
2020-07-24,600369.SH,5.95,5.43,-8.73949579831933
2020-07-24,000012.SZ,6.17,5.64,-8.58995137763372
2020-07-24,000159.SZ,6.23,5.87,-5.7784911717496
2020-07-27,603116.SH,8.14,7.71,-5.28255528255529
2020-07-27,002565.SZ,5.35,5.08,-5.046728971962611
2020-07-27,000407.SZ,4.25,4.01,-5.647058823529417
2020-07-27,300261.SZ,6.85,6.42,-6.277372262773717
2020-07-27,600525.SH,6.38,6.06,-5.0156739811912265
2020-07-27,002145.SZ,5.87,5.53,-5.7921635434412195
2020-07-27,000691.SZ,6.6,5.94,-9.999999999999986
2020-07-30,600297.SH,4.14,3.88,-6.28019323671497
2020-08-07,002688.SZ,8.98,8.36,-6.9042316258352
2020-08-11,002713.SZ,10.0,9.26,-7.400000000000007
2020-08-11,600477.SH,5.5,4.97,-9.636363636363644
2020-08-12,600791.SH,4.95,4.67,-5.656565656565659
2020-08-12,002096.SZ,8.75,8.12,-7.200000000000006
2020-08-20,002413.SZ,9.84,9.34,-5.081300813008127
2020-08-21,000893.SZ,10.06,9.42,-6.3618290258449335
2020-08-25,002416.SZ,11.02,10.2,-7.4410163339382995
2020-08-25,002321.SZ,5.17,4.76,-7.930367504835589
2020-08-26,002743.SZ,9.77,9.17,-6.141248720573178
2020-08-26,002634.SZ,9.48,9.0,-5.063291139240511
2020-08-26,600601.SH,5.3,4.73,-10.754716981132063
2020-08-28,002472.SZ,6.77,6.2,-8.419497784342678
2020-08-31,300410.SZ,9.08,8.45,-6.938325991189432
2020-08-31,300301.SZ,3.34,3.16,-5.3892215568862145
2020-09-01,300131.SZ,8.03,7.5,-6.600249066002483
2020-09-03,002177.SZ,6.4,5.98,-6.562499999999993
2020-09-03,002027.SZ,7.71,7.32,-5.0583657587548565
2020-09-03,002617.SZ,6.89,6.51,-5.515239477503631
2020-09-04,601611.SH,8.57,7.91,-7.701283547257876
2020-09-04,002702.SZ,11.05,10.47,-5.2488687782805465
2020-09-04,600300.SH,4.73,4.33,-8.456659619450324
2020-09-04,601598.SH,4.43,3.93,-11.286681715575607
2020-09-04,600751.SH,4.34,3.91,-9.907834101382484
2020-09-07,000930.SZ,9.97,9.28,-6.920762286860594
2020-09-09,600313.SH,5.31,4.84,-8.851224105461386
2020-09-09,300221.SZ,7.13,6.41,-10.098176718092567
2020-09-09,300105.SZ,5.92,5.44,-8.108108108108103
2020-09-09,300032.SZ,5.71,5.1,-10.683012259194403
2020-09-09,300167.SZ,6.89,6.54,-5.079825834542806
2020-09-09,300043.SZ,5.17,4.81,-6.963249516441017
2020-09-09,300061.SZ,7.22,6.8,-5.8171745152354575
