date,portfolio_value,period_return,n_stocks,n_sl_events
2018-10-08,0.9178841729309586,-0.08811582706904142,80,40
2018-12-03,0.9278980278462404,0.0035597152021979673,80,67
2019-01-02,0.877349213929123,-0.058726690757115924,80,5
2019-02-01,0.8926489018038668,0.013188538305888151,80,5
2019-04-01,1.2007677328229938,0.3411235955720998,80,1
2019-06-03,1.0757648966941966,-0.11115242773172851,80,61
2019-08-01,1.047928045252678,-0.0303763336924831,80,10
2019-10-08,1.0567583996744905,0.004276489263089865,80,3
2019-12-02,1.04702496738027,-0.01356065051124137,80,7
2020-01-02,1.1426993675302979,0.08737738175376264,80,0
2020-02-03,1.0235788260573926,-0.10834486514800391,80,2
2020-04-01,1.1215981669512558,0.09161139951176299,80,3
2020-06-01,1.1875576807611081,0.05430850714043562,80,10
2020-08-03,1.4543936408711258,0.22064305233157333,78,1
2020-10-09,1.455812389310397,-0.0032745086341127404,80,5
2020-12-01,1.5063337303545972,0.030253194872611088,80,9
2021-01-04,1.4374274899317872,-0.05099433874397088,80,25
2021-02-01,1.3256274343342784,-0.08312787497497645,80,27
2021-04-01,1.4817266047409399,0.11365366770048935,79,2
2021-06-01,1.6065807925060744,0.07981263479757368,80,9
2021-08-02,1.5683448410888314,-0.028699582066208804,78,18
2021-10-08,1.7567126965079616,0.11590614661017716,80,4
2021-12-01,1.9624220532722125,0.11244903228522522,80,13
2022-01-04,2.119029983956196,0.07580338909402773,80,0
2022-02-07,1.991204567098778,-0.06558843163188742,79,25
2022-04-01,1.967664717747274,-0.017021914101875497,80,24
2022-06-01,1.8220374682323939,-0.08211019503038341,80,82
2022-08-01,2.052102756161239,0.1217681431859014,80,10
2022-10-10,1.8859449197499847,-0.08731954984948079,80,47
2022-12-01,2.1261999061514625,0.12334236649251029,80,1
2023-01-03,1.9827176328033371,-0.07193296476404047,80,9
2023-02-01,2.146990728834966,0.07885249160737295,80,0
2023-04-03,2.177115220404503,0.00988103011342921,80,3
2023-06-01,2.1135566816748335,-0.03424392512347618,80,21
2023-08-01,2.120979925134596,-0.0011877954189141908,79,14
2023-10-09,2.0621738858555876,-0.033325882070890774,80,32
2023-12-01,2.1115992377118524,0.01941759661989334,80,11
2024-01-02,2.07458742694318,-0.021777857610319386,80,5
2024-02-01,1.7085300126958625,-0.18434829496855107,80,78
2024-04-01,1.9273954087525689,0.12070158114305658,80,68
2024-06-03,1.9040666245762394,-0.017653787354888484,80,31
2024-08-01,1.6916854738331533,-0.11959081900382706,80,81
2024-10-08,2.2446526802893443,0.32177353234950623,80,22
2024-12-02,2.339415810223524,0.03441727965591748,80,76
2025-01-02,2.2681815391848494,-0.03454959802672631,80,2
2025-02-05,2.2961551054924225,0.008183036762844917,80,3
2025-04-01,2.5444610073534415,0.10413986444864687,80,0
2025-06-03,2.645335096155019,0.03299458032960749,80,53
2025-08-01,3.0080538909627306,0.13296638851914133,80,3
2025-10-09,3.2987129880029493,0.09247695801875842,78,3
2025-12-01,3.505090564764007,0.05791305944519269,80,13
2026-01-05,3.6332146752894494,0.0324537232656552,79,2
2026-02-02,3.9922070335075905,0.09480846311112656,79,0
2026-04-01,4.236921207840401,0.05544796683359934,80,37
2026-06-01,5.089349643432958,0.19664053288391187,80,11
