date,regime,code,score,price
2019-04-10,半仓,510500,0.163440219669702,6.242
2019-04-10,半仓,512100,0.16176386913229024,0.747
2019-04-10,半仓,512010,0.15360778765416913,1.779
2019-04-10,半仓,512880,0.14547579412264314,1.094
2019-04-10,半仓,510300,0.13638263978633788,4.066
2019-05-10,满仓,510300,-0.05266397612091247,3.72
2019-05-10,满仓,512010,-0.05482938138809139,1.612
2019-05-10,满仓,512660,-0.1080309477756286,0.747
2019-05-10,满仓,512100,-0.1115166058424569,0.655
2019-05-10,满仓,510500,-0.11425351974545613,5.416
2019-06-10,半仓,510300,-0.05070946038772098,3.614
2019-06-10,半仓,159915,-0.09429549377489606,1.376
2019-06-10,半仓,512660,-0.09555625933710182,0.704
2019-06-10,半仓,512880,-0.0987638009627744,0.883
2019-06-10,半仓,512100,-0.09977688531905399,0.616
2019-07-10,满仓,512010,0.04907314479253251,1.649
2019-07-10,满仓,512880,0.04288969099392555,0.963
2019-07-10,满仓,510300,0.033250481002727164,3.823
2019-07-10,满仓,512660,0.029720100057030276,0.748
2019-07-10,满仓,159915,0.012704404693876414,1.456
2019-09-10,满仓,512660,0.13009736299785507,0.851
2019-09-10,满仓,512100,0.1261343550346107,0.715
2019-09-10,满仓,159915,0.12005441796555227,1.661
2019-09-10,满仓,512010,0.10822410808466532,1.829
2019-09-10,满仓,510500,0.10119266416597711,5.671
2019-10-10,满仓,512010,0.060525050250192974,1.809
2019-10-10,满仓,512100,0.0322385333988904,0.681
2019-10-10,满仓,159915,0.02857535223887102,1.604
2019-10-10,满仓,510500,0.021800234370465216,5.443
2019-10-10,满仓,510300,0.013058476603794557,3.933
2019-12-10,满仓,159915,0.03811650846826713,1.67
2019-12-10,满仓,510500,0.02340674551440647,5.458
2019-12-10,满仓,512100,0.016363636363636403,0.678
2019-12-10,满仓,512660,0.009045574636723952,0.741
2019-12-10,满仓,512880,-0.0022773746225831296,0.923
2020-01-10,满仓,512880,0.11417655620241832,1.038
2020-01-10,满仓,512100,0.11164283862734536,0.75
2020-01-10,满仓,159915,0.10268669519729526,1.831
2020-01-10,满仓,510500,0.09763040544039221,5.932
2020-01-10,满仓,512660,0.07894642120655396,0.791
2020-02-10,半仓,159915,0.13001518345326663,1.961
2020-02-10,半仓,512010,0.05498575531462983,1.965
2020-02-10,半仓,512100,0.02673035632433472,0.73
2020-02-10,半仓,510500,0.022661641876260033,5.822
2020-02-10,半仓,512660,0.0205976793588192,0.789
2020-03-10,满仓,512660,0.0873998598511391,0.866
2020-03-10,满仓,512100,0.08033288590604033,0.807
2020-03-10,满仓,512880,0.07810094378824713,1.068
2020-03-10,满仓,159915,0.06995774476789185,2.063
