entry_date,exit_date,stocks,n_stocks,period_return
2022-09-30,2022-10-31,600716.SH;300070.SZ;301060.SZ;300149.SZ;603096.SH...(20),20,0.0047347612362323745
2022-10-31,2022-11-30,002110.SZ;600622.SH;002807.SZ;002092.SZ;002839.SZ...(20),20,0.22309281702019268
2022-11-30,2022-12-30,603315.SH;002940.SZ;000700.SZ;300761.SZ;002757.SZ...(20),20,-0.07092794527312447
2022-12-30,2023-01-31,000059.SZ;000159.SZ;002462.SZ;300639.SZ;300190.SZ...(20),20,0.06041875435246398
2023-01-31,2023-02-28,002277.SZ;001227.SZ;002330.SZ;600467.SH;002016.SZ...(20),20,0.03214690553364366
2023-02-28,2023-03-31,002936.SZ;001227.SZ;300095.SZ;300057.SZ;002091.SZ...(20),20,-0.06853817868317633
2023-03-31,2023-04-28,001227.SZ;000965.SZ;002053.SZ;002478.SZ;000517.SZ...(20),20,0.04396758641023814
2023-04-28,2023-05-31,300796.SZ;300586.SZ;603898.SH;002585.SZ;002010.SZ...(20),20,-0.004388476387414782
2023-05-31,2023-06-30,002061.SZ;300575.SZ;300639.SZ;002960.SZ;300729.SZ...(20),20,0.031173172504870266
2023-06-30,2023-07-31,301216.SZ;002932.SZ;301071.SZ;000567.SZ;300888.SZ...(20),20,-0.061002924650534224
2023-07-31,2023-08-31,002986.SZ;300797.SZ;300887.SZ;300034.SZ;002829.SZ...(20),20,-0.05330420677151289
2023-08-31,2023-09-28,002344.SZ;002958.SZ;000885.SZ;603633.SH;300026.SZ...(20),20,0.005606881684476232
2023-09-28,2023-10-31,000560.SZ;002850.SZ;002254.SZ;000514.SZ;300140.SZ...(20),20,-0.04478205047242438
2023-10-31,2023-11-30,000090.SZ;000417.SZ;003012.SZ;000498.SZ;000928.SZ...(20),20,-0.011041467083130226
2023-11-30,2023-12-29,002948.SZ;001227.SZ;002096.SZ;002839.SZ;300332.SZ...(20),20,-0.022642086000224305
2023-12-29,2024-01-31,000951.SZ;000917.SZ;000915.SZ;301039.SZ;603916.SH...(20),20,-0.12011027242034097
2024-01-31,2024-02-29,002399.SZ;300569.SZ;002324.SZ;300639.SZ;300443.SZ...(20),20,0.13039082239165145
2024-02-29,2024-03-29,600638.SH;000850.SZ;601113.SH;002067.SZ;000514.SZ...(20),20,0.013886152566947817
2024-03-29,2024-04-30,001227.SZ;000718.SZ;002936.SZ;300332.SZ;000935.SZ...(20),20,0.028605513822154902
2024-04-30,2024-05-31,002911.SZ;300138.SZ;300244.SZ;000719.SZ;603421.SH...(20),20,-0.06920827878744693
2024-05-31,2024-06-28,002393.SZ;002847.SZ;300705.SZ;300856.SZ;301367.SZ...(20),20,-0.06967761374785793
2024-06-28,2024-07-31,600168.SH;000882.SZ;000567.SZ;605266.SH;300833.SZ...(20),20,-0.037728348681148854
2024-07-31,2024-08-30,000926.SZ;603922.SH;301127.SZ;000552.SZ;603970.SH...(20),20,-0.0805991098807001
2024-08-30,2024-09-30,300070.SZ;002327.SZ;002154.SZ;600512.SH;000690.SZ...(20),20,0.23239445070535397
2024-09-30,2024-10-31,000429.SZ;600759.SH;000949.SZ;301050.SZ;002039.SZ...(20),20,-0.011588807583542351
2024-10-31,2024-11-29,002839.SZ;002807.SZ;002948.SZ;002958.SZ;000900.SZ...(20),20,0.03937845493421359
2024-11-29,2024-12-31,000603.SZ;000612.SZ;000791.SZ;002053.SZ;000528.SZ...(20),20,-0.024906641742703586
2024-12-31,2025-01-27,002029.SZ;600759.SH;600180.SH;000965.SZ;300705.SZ...(20),20,-0.04139694857181202
2025-01-27,2025-02-28,002004.SZ;000028.SZ;000501.SZ;002373.SZ;002302.SZ...(20),20,0.03640239474173364
2025-02-28,2025-03-31,002807.SZ;002839.SZ;000726.SZ;001227.SZ;002936.SZ...(20),20,0.008224981367685333
2025-03-31,2025-04-30,002208.SZ;301358.SZ;300284.SZ;300751.SZ;000090.SZ...(20),20,-0.051278671624881034
2025-04-30,2025-05-30,002984.SZ;002538.SZ;000923.SZ;002563.SZ;000589.SZ...(20),20,0.0341965359912081
2025-05-30,2025-06-30,300573.SZ;000672.SZ;003012.SZ;300727.SZ;301004.SZ...(20),20,0.04440363732742485
2025-06-30,2025-07-31,603095.SH;300893.SZ;300492.SZ;300856.SZ;002960.SZ...(19),19,0.03391684170763068
2025-07-31,2025-08-29,600668.SH;000551.SZ;002807.SZ;301093.SZ;002839.SZ...(20),20,0.04087808553732908
2025-08-29,2025-09-30,002958.SZ;002081.SZ;002375.SZ;002839.SZ;001227.SZ...(20),20,-0.027228983153137112
2025-09-30,2025-10-31,002958.SZ;002807.SZ;000990.SZ;002948.SZ;002839.SZ...(20),20,0.04402970800693441
2025-10-31,2025-11-28,000036.SZ;000560.SZ;002015.SZ;000910.SZ;301551.SZ...(20),20,-0.009852795454875253
2025-11-28,2025-12-31,000778.SZ;000048.SZ;000690.SZ;002948.SZ;300926.SZ...(20),20,0.003381578872596067
2025-12-31,2026-01-30,002948.SZ;300070.SZ;000900.SZ;002958.SZ;002936.SZ...(20),20,0.043618418167658046
2026-01-30,2026-02-27,002936.SZ;001227.SZ;002839.SZ;600668.SH;002807.SZ...(20),20,0.011543164363380952
2026-02-27,2026-03-31,000623.SZ;000501.SZ;002038.SZ;002543.SZ;300284.SZ...(20),20,-0.0505856263300349
2026-03-31,2026-04-30,000528.SZ;002110.SZ;000050.SZ;000061.SZ;000923.SZ...(20),20,-0.010436331824556907
2026-04-30,2026-05-29,002393.SZ;000028.SZ;002101.SZ;000521.SZ;000507.SZ...(20),20,-0.06341321706444648
2026-05-29,2026-06-18,002233.SZ;301367.SZ;002839.SZ;002572.SZ;002749.SZ...(20),20,-0.06080899482217998
