entry_date,exit_date,stocks,n_stocks,period_return
2022-12-01,2023-01-03,601077.SH;601577.SH;601997.SH;601825.SH;002958.SZ...(20),20,-0.04909283477878022
2023-01-03,2023-02-01,002958.SZ;601077.SH;601997.SH;300639.SZ;601577.SH...(20),20,0.031781516322896136
2023-02-01,2023-03-01,601077.SH;601825.SH;601997.SH;601577.SH;002958.SZ...(20),20,0.021134144717516994
2023-03-01,2023-04-03,601825.SH;601997.SH;601077.SH;600928.SH;002958.SZ...(20),20,-0.03835849757422327
2023-04-03,2023-05-04,002432.SZ;601997.SH;601825.SH;603323.SH;002958.SZ...(20),20,0.008094520116038159
2023-05-04,2023-06-01,002432.SZ;601997.SH;601825.SH;002030.SZ;002936.SZ...(20),20,-0.05762933067843995
2023-06-01,2023-07-03,002958.SZ;601825.SH;601997.SH;603323.SH;600997.SH...(20),20,-0.03642371138544827
2023-07-03,2023-08-01,600123.SH;601825.SH;601997.SH;603323.SH;601077.SH...(20),20,0.08030443685975225
2023-08-01,2023-09-01,600508.SH;601825.SH;601577.SH;600483.SH;000937.SZ...(20),20,-0.04743944300696462
2023-09-01,2023-10-09,002958.SZ;002948.SZ;603323.SH;002936.SZ;600928.SH...(20),20,0.02462808603862411
2023-10-09,2023-11-01,601577.SH;600208.SH;601825.SH;603323.SH;002131.SZ...(20),20,-0.04348307127915989
2023-11-01,2023-12-01,601577.SH;603323.SH;002966.SZ;601825.SH;601997.SH...(20),20,-0.02709912379807973
2023-12-01,2024-01-02,600153.SH;601577.SH;601825.SH;002958.SZ;601997.SH...(20),20,-0.015455888989092267
2024-01-02,2024-02-01,600153.SH;603323.SH;002958.SZ;601577.SH;600208.SH...(20),20,-0.002175475181075761
2024-02-01,2024-03-01,600153.SH;002958.SZ;603323.SH;600682.SH;601577.SH...(20),20,0.04224636922458247
2024-03-01,2024-04-01,603323.SH;600153.SH;002807.SZ;601825.SH;601997.SH...(20),20,-0.019451348960979033
2024-04-01,2024-05-06,600153.SH;601997.SH;601860.SH;603323.SH;601577.SH...(20),20,0.0373775606006915
2024-05-06,2024-06-03,600153.SH;601963.SH;601997.SH;002936.SZ;601825.SH...(20),20,0.01641267466339571
2024-06-03,2024-07-01,002958.SZ;002936.SZ;600928.SH;001227.SZ;601997.SH...(20),20,-0.09268466571439019
2024-07-01,2024-08-01,601997.SH;002958.SZ;600928.SH;002936.SZ;601860.SH...(20),20,0.0014409399343603725
2024-08-01,2024-09-02,002958.SZ;601577.SH;001227.SZ;601997.SH;601963.SH...(20),20,-0.051156996908143224
2024-09-02,2024-10-08,002958.SZ;600739.SH;601997.SH;601577.SH;600928.SH...(20),20,0.3741090748283473
2024-10-08,2024-11-01,601577.SH;601187.SH;601860.SH;600928.SH;002958.SZ...(20),20,-0.1183962614428008
2024-11-01,2024-12-02,603323.SH;002948.SZ;002958.SZ;600908.SH;601577.SH...(20),20,0.03607081582188855
2024-12-02,2025-01-02,601577.SH;603323.SH;601665.SH;002948.SZ;601997.SH...(20),20,0.008392308474829616
2025-01-02,2025-02-05,603323.SH;002958.SZ;601860.SH;601997.SH;601577.SH...(20),20,-0.021255815905225735
2025-02-05,2025-03-03,601860.SH;600928.SH;601997.SH;603323.SH;002958.SZ...(20),20,-0.024431608968072345
2025-03-03,2025-04-01,601577.SH;603323.SH;002807.SZ;601528.SH;601997.SH...(20),20,0.02588411373832086
2025-04-01,2025-05-06,603323.SH;601528.SH;601997.SH;601860.SH;001227.SZ...(20),20,-0.015372413550299438
2025-05-06,2025-06-03,603323.SH;601528.SH;601860.SH;601577.SH;601997.SH...(20),20,0.0407533861854661
2025-06-03,2025-07-01,601997.SH;600153.SH;600248.SH;601860.SH;002958.SZ...(20),20,0.025241618128825475
2025-07-01,2025-08-01,603323.SH;601997.SH;600269.SH;000932.SZ;601860.SH...(20),20,0.03564125690619853
2025-08-01,2025-09-01,600908.SH;603323.SH;601577.SH;002958.SZ;002839.SZ...(20),20,0.0066202886122344855
2025-09-01,2025-10-09,601577.SH;603323.SH;002958.SZ;601860.SH;601528.SH...(20),20,-0.0500266769603535
2025-10-09,2025-11-03,603323.SH;601577.SH;601963.SH;002958.SZ;601860.SH...(20),20,0.04894344107812772
2025-11-03,2025-12-01,603323.SH;002958.SZ;601577.SH;601860.SH;601528.SH...(20),20,-0.008969397272998138
2025-12-01,2026-01-05,603323.SH;002958.SZ;601528.SH;601860.SH;601577.SH...(20),20,-0.009475400969181126
2026-01-05,2026-02-02,603323.SH;002958.SZ;600908.SH;601577.SH;601997.SH...(20),20,0.017523660725314274
2026-02-02,2026-03-02,603323.SH;600269.SH;601577.SH;002958.SZ;601997.SH...(20),20,-0.005565417657162888
2026-03-02,2026-04-01,601997.SH;600908.SH;002958.SZ;600928.SH;002807.SZ...(20),20,-0.01687939966578448
2026-04-01,2026-05-06,603323.SH;600908.SH;601997.SH;601577.SH;600928.SH...(20),20,-0.034946818994572346
2026-05-06,2026-06-01,603323.SH;600269.SH;600908.SH;601577.SH;002807.SZ...(20),20,-0.048471133976120365
