ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
002190.SZ,0.6238,63.0,8.0,4.0,4.0,10.0,8.0,4.0,0.6263,20260902
002346.SZ,0.5929,67.0,9.0,6.0,7.0,3.0,4.0,10.0,0.6238,20260902
002628.SZ,0.5904,65.5,9.0,4.0,4.0,10.0,8.0,4.0,0.6163,20260902
301077.SZ,0.5608,69.0,8.0,4.0,4.0,10.0,8.0,10.0,0.6125,20260902
300413.SZ,0.5806,66.0,8.0,4.0,4.0,10.0,8.0,7.0,0.6123,20260902
002074.SZ,0.583,64.5,8.0,6.0,7.0,3.0,4.0,10.0,0.6078,20260902
003005.SZ,0.5623,65.5,9.0,4.0,4.0,10.0,8.0,4.0,0.5994,20260902
002709.SZ,0.5686,64.5,8.0,6.0,7.0,3.0,4.0,10.0,0.5992,20260902
300001.SZ,0.5957,60.0,9.0,4.0,7.0,3.0,4.0,7.0,0.5974,20260902
605189.SH,0.5881,60.5,8.0,4.0,7.0,3.0,4.0,10.0,0.5948,20260902
