ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
002628.SZ,0.6681,65.5,9.0,4.0,4.0,10.0,8.0,4.0,0.6628,20260831
002346.SZ,0.6158,71.0,9.0,6.0,7.0,3.0,8.0,10.0,0.6535,20260831
300806.SZ,0.6368,62.5,8.0,6.0,4.0,7.0,8.0,4.0,0.6321,20260831
300456.SZ,0.5903,69.0,8.0,4.0,4.0,10.0,8.0,10.0,0.6302,20260831
001309.SZ,0.5659,72.0,8.0,4.0,7.0,10.0,8.0,7.0,0.6276,20260831
603155.SH,0.652,58.5,8.0,4.0,4.0,7.0,8.0,4.0,0.6252,20260831
600267.SH,0.5891,67.0,9.0,6.0,7.0,3.0,4.0,10.0,0.6215,20260831
300873.SZ,0.5974,64.5,8.0,4.0,4.0,7.0,8.0,10.0,0.6164,20260831
002190.SZ,0.606,63.0,8.0,4.0,4.0,10.0,8.0,4.0,0.6156,20260831
301369.SZ,0.5928,64.5,8.0,4.0,7.0,7.0,8.0,4.0,0.6137,20260831
