ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
601999.SH,0.6614,58.5,5.0,4.0,4.0,10.0,8.0,7.0,0.6308,20260908
300662.SZ,0.5708,66.0,8.0,4.0,4.0,10.0,8.0,7.0,0.6065,20260908
601890.SH,0.5479,69.0,8.0,4.0,4.0,10.0,8.0,10.0,0.6047,20260908
301500.SZ,0.5336,70.0,9.0,6.0,7.0,5.0,4.0,10.0,0.6002,20260908
603696.SH,0.5798,63.0,8.0,4.0,4.0,10.0,8.0,4.0,0.5999,20260908
301479.SZ,0.5348,66.0,8.0,4.0,4.0,10.0,8.0,7.0,0.5849,20260908
601058.SH,0.5666,61.0,9.0,4.0,4.0,5.0,8.0,7.0,0.584,20260908
300145.SZ,0.5127,68.0,9.0,6.0,4.0,7.0,8.0,7.0,0.5796,20260908
605277.SH,0.5693,58.5,8.0,4.0,4.0,5.0,8.0,7.0,0.5756,20260908
000949.SZ,0.5145,66.0,7.0,6.0,7.0,5.0,8.0,7.0,0.5727,20260908
