ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
002628.SZ,0.6375,65.5,9.0,4.0,4.0,10.0,8.0,4.0,0.6445,20260901
002346.SZ,0.5812,69.0,9.0,6.0,7.0,3.0,6.0,10.0,0.6247,20260901
002190.SZ,0.616,63.0,8.0,4.0,4.0,10.0,8.0,4.0,0.6216,20260901
300413.SZ,0.582,66.0,8.0,4.0,4.0,10.0,8.0,7.0,0.6132,20260901
600498.SH,0.6039,62.5,8.0,6.0,4.0,7.0,8.0,4.0,0.6123,20260901
600267.SH,0.5527,67.0,9.0,6.0,7.0,3.0,4.0,10.0,0.5996,20260901
600103.SH,0.5549,65.5,9.0,4.0,4.0,10.0,8.0,4.0,0.5949,20260901
300434.SZ,0.551,65.0,9.0,4.0,7.0,5.0,6.0,7.0,0.5906,20260901
603663.SH,0.5732,61.5,8.0,4.0,7.0,5.0,8.0,4.0,0.5899,20260901
300001.SZ,0.583,60.0,9.0,4.0,7.0,3.0,4.0,7.0,0.5898,20260901
