ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
605398.SH,0.59,69.0,8.0,4.0,7.0,10.0,8.0,4.0,0.63,20260907
601999.SH,0.5658,68.5,9.0,4.0,4.0,10.0,8.0,7.0,0.6135,20260907
603683.SH,0.5844,62.5,8.0,4.0,7.0,5.0,6.0,7.0,0.6006,20260907
002709.SZ,0.5694,64.5,8.0,6.0,7.0,3.0,4.0,10.0,0.5997,20260907
001218.SZ,0.5313,67.0,9.0,6.0,7.0,3.0,4.0,10.0,0.5868,20260907
301190.SZ,0.5586,61.5,8.0,6.0,7.0,3.0,4.0,7.0,0.5812,20260907
301371.SZ,0.5711,59.5,8.0,8.0,4.0,3.0,4.0,7.0,0.5807,20260907
300558.SZ,0.5528,61.5,8.0,6.0,7.0,3.0,4.0,7.0,0.5777,20260907
605277.SH,0.5358,64.0,9.0,4.0,4.0,7.0,8.0,7.0,0.5775,20260907
601579.SH,0.5366,63.5,7.0,4.0,4.0,10.0,8.0,7.0,0.576,20260907
