ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
601890.SH,0.6376,71.5,9.0,4.0,4.0,10.0,8.0,10.0,0.6686,20260909
600551.SH,0.5352,69.0,9.0,8.0,4.0,5.0,8.0,7.0,0.5971,20260909
301210.SZ,0.5386,65.5,8.0,4.0,7.0,7.0,6.0,7.0,0.5852,20260909
600830.SH,0.5634,61.0,9.0,4.0,4.0,5.0,8.0,7.0,0.582,20260909
000949.SZ,0.5259,66.0,7.0,6.0,7.0,5.0,8.0,7.0,0.5795,20260909
603207.SH,0.5117,68.0,9.0,6.0,4.0,7.0,8.0,7.0,0.579,20260909
601058.SH,0.553,61.0,9.0,4.0,4.0,5.0,8.0,7.0,0.5758,20260909
002888.SZ,0.572,58.0,9.0,4.0,4.0,5.0,8.0,4.0,0.5752,20260909
300990.SZ,0.5163,65.0,9.0,6.0,4.0,5.0,8.0,7.0,0.5698,20260909
002396.SZ,0.533,62.0,7.0,4.0,7.0,5.0,8.0,7.0,0.5678,20260909
