ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
603039.SH,0.6498,61.5,8.0,4.0,7.0,3.0,8.0,7.0,0.6359,20260827
300373.SZ,0.5655,71.5,8.0,6.0,7.0,7.0,8.0,7.0,0.6253,20260827
301280.SZ,0.5771,68.0,9.0,6.0,4.0,7.0,8.0,7.0,0.6183,20260827
300005.SZ,0.612,61.5,8.0,4.0,7.0,5.0,8.0,4.0,0.6132,20260827
603090.SH,0.5971,63.5,8.0,6.0,4.0,7.0,6.0,7.0,0.6123,20260827
603683.SH,0.57,67.5,8.0,4.0,7.0,7.0,8.0,7.0,0.612,20260827
300244.SZ,0.5936,63.5,8.0,8.0,4.0,3.0,8.0,7.0,0.6102,20260827
605358.SH,0.5839,64.5,8.0,4.0,7.0,7.0,8.0,4.0,0.6083,20260827
300877.SZ,0.5793,65.0,9.0,6.0,4.0,5.0,8.0,7.0,0.6076,20260827
603848.SH,0.5807,64.5,8.0,6.0,4.0,7.0,4.0,10.0,0.6064,20260827
