ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
601890.SH,0.6638,71.5,9.0,4.0,4.0,10.0,8.0,10.0,0.6843,20260910
600551.SH,0.5437,69.0,9.0,8.0,4.0,5.0,8.0,7.0,0.6022,20260910
002412.SZ,0.5679,64.5,8.0,4.0,7.0,3.0,8.0,10.0,0.5988,20260910
300674.SZ,0.5178,69.5,8.0,8.0,4.0,5.0,8.0,10.0,0.5887,20260910
000949.SZ,0.5249,68.0,9.0,6.0,7.0,3.0,8.0,7.0,0.5869,20260910
300990.SZ,0.5436,65.0,9.0,6.0,4.0,5.0,8.0,7.0,0.5861,20260910
003018.SZ,0.5491,64.0,9.0,4.0,7.0,5.0,8.0,4.0,0.5854,20260910
300145.SZ,0.54,65.0,9.0,6.0,4.0,5.0,8.0,7.0,0.584,20260910
603089.SH,0.5361,65.5,8.0,6.0,7.0,3.0,8.0,7.0,0.5837,20260910
002346.SZ,0.5409,64.5,8.0,6.0,7.0,3.0,4.0,10.0,0.5826,20260910
