ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
002346.SZ,0.574,67.0,9.0,6.0,7.0,3.0,4.0,10.0,0.6124,20260903
000049.SZ,0.5886,63.0,9.0,4.0,7.0,3.0,4.0,10.0,0.6052,20260903
300413.SZ,0.567,66.0,8.0,4.0,4.0,10.0,8.0,7.0,0.6042,20260903
601086.SH,0.5586,66.5,7.0,4.0,7.0,10.0,8.0,4.0,0.6012,20260903
002889.SZ,0.5746,64.0,9.0,6.0,7.0,3.0,4.0,7.0,0.6008,20260903
003005.SZ,0.5644,65.5,9.0,4.0,4.0,10.0,8.0,4.0,0.6006,20260903
605189.SH,0.5871,60.5,8.0,4.0,7.0,3.0,4.0,10.0,0.5942,20260903
600549.SH,0.5597,64.5,8.0,6.0,7.0,3.0,4.0,10.0,0.5938,20260903
301151.SZ,0.5849,60.5,7.0,4.0,4.0,10.0,8.0,4.0,0.5929,20260903
002709.SZ,0.556,64.5,8.0,6.0,7.0,3.0,4.0,10.0,0.5916,20260903
