ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
605398.SH,0.5554,69.0,8.0,4.0,7.0,10.0,8.0,4.0,0.6093,20260904
601999.SH,0.5571,68.5,9.0,4.0,4.0,10.0,8.0,7.0,0.6082,20260904
002709.SZ,0.5813,64.5,8.0,6.0,7.0,3.0,4.0,10.0,0.6068,20260904
603255.SH,0.5798,64.0,9.0,4.0,7.0,5.0,8.0,4.0,0.6039,20260904
601579.SH,0.577,63.5,7.0,4.0,4.0,10.0,8.0,7.0,0.6002,20260904
603216.SH,0.5682,62.5,8.0,6.0,4.0,7.0,8.0,4.0,0.5909,20260904
603038.SH,0.568,62.5,8.0,6.0,7.0,3.0,8.0,4.0,0.5908,20260904
300073.SZ,0.5448,64.5,8.0,6.0,7.0,3.0,4.0,10.0,0.5849,20260904
600549.SH,0.5438,64.5,8.0,6.0,7.0,3.0,4.0,10.0,0.5843,20260904
300602.SZ,0.5405,64.0,9.0,4.0,7.0,5.0,8.0,4.0,0.5803,20260904
