ts_code,model_prob,score_total,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,combo,trade_date
601890.SH,0.6252,71.5,9.0,4.0,4.0,10.0,8.0,10.0,0.6611,20260911
603225.SH,0.5632,71.0,9.0,8.0,7.0,3.0,4.0,10.0,0.6219,20260911
601233.SH,0.5634,69.0,9.0,6.0,7.0,3.0,6.0,10.0,0.614,20260911
000949.SZ,0.5829,66.0,9.0,6.0,7.0,3.0,6.0,7.0,0.6137,20260911
300906.SZ,0.5454,70.0,9.0,10.0,4.0,3.0,8.0,7.0,0.6073,20260911
002412.SZ,0.5619,64.5,8.0,4.0,7.0,3.0,8.0,10.0,0.5951,20260911
600267.SH,0.5348,67.0,9.0,6.0,7.0,3.0,4.0,10.0,0.5889,20260911
603860.SH,0.5393,65.0,9.0,6.0,7.0,3.0,5.0,7.0,0.5836,20260911
002998.SZ,0.5413,64.0,9.0,4.0,7.0,3.0,5.0,10.0,0.5808,20260911
603329.SH,0.5408,64.0,9.0,6.0,7.0,3.0,4.0,7.0,0.5805,20260911
