date,portfolio_value,period_return,n_stocks
2018-10-08,0.9221440691954097,-0.07785593080459031,80
2018-12-03,0.92496064610219,0.0030543783784650813,80
2019-01-02,0.8689452834877818,-0.060559725270970796,80
2019-02-01,0.8852423566379984,0.01875500501573969,79
2019-04-01,1.1923633773696485,0.34693439421272604,80
2019-06-03,1.085231526415151,-0.0898483239151727,80
2019-08-01,1.045695761541003,-0.036430719078671306,80
2019-10-08,1.0419700114878971,-0.003562938849073314,80
2019-12-02,1.0307829990237258,-0.010736405405945117,80
2020-01-02,1.1263860316561596,0.09274797190386466,80
2020-02-03,1.0131887052396717,-0.10049603176457225,80
2020-04-01,1.1072490300423943,0.09283593896802513,80
2020-06-01,1.1557458974456916,0.04379942188925669,80
2020-08-03,1.4187547390233843,0.22756632072756414,78
2020-10-09,1.403856582606402,-0.010500868125549052,80
2020-12-01,1.4479409401814907,0.03140232280226346,80
2021-01-04,1.3758886446911218,-0.049761902223261614,80
2021-02-01,1.2709544622427578,-0.0762664790157644,80
2021-04-01,1.4196794104334718,0.11701831388063291,79
2021-06-01,1.5754360695196126,0.10971255759677709,80
2021-08-02,1.5690953605880544,-0.004024732614819143,78
2021-10-08,1.7328111316989279,0.10433768094854164,80
2021-12-01,1.9269180256179297,0.11201849432297362,80
2022-01-04,2.0794130973801543,0.07913936645712889,80
2022-02-07,1.9590812190567344,-0.057868192941087915,79
2022-04-01,1.9303946786564776,-0.014642854069148233,80
2022-06-01,1.7815905349976873,-0.07708482897515831,80
2022-08-01,1.9801778792066294,0.11146632197908472,80
2022-10-10,1.8045577709269758,-0.08868905673767902,80
2022-12-01,2.052068784663274,0.13715881958667103,80
2023-01-03,1.9095311782024316,-0.06946044281075683,80
2023-02-01,2.0725783848427795,0.08538598819519427,80
2023-04-03,2.094040413214075,0.010355231207780678,80
2023-06-01,2.023620447251726,-0.03362875210906928,80
2023-08-01,2.0326908426056547,0.004482261170194672,80
2023-10-09,1.94711211681947,-0.04210120102498395,80
2023-12-01,1.995803225445972,0.02500683355924919,80
2024-01-02,1.9540878774515837,-0.020901533509179844,80
2024-02-01,1.5928784531737061,-0.18484809636552652,80
2024-04-01,1.7928045702180326,0.12551247500773638,80
2024-06-03,1.7671992014238365,-0.01428229781402331,80
2024-08-01,1.5711091801611532,-0.11096090418368969,80
2024-10-08,2.066262377204967,0.31516154529313134,80
2024-12-02,2.1430646849008332,0.03716967822825906,80
2025-01-02,2.0685342524932326,-0.03477750015326746,80
2025-02-05,2.090035986139971,0.010394671309320544,79
2025-04-01,2.2970531724947336,0.09904957987689826,80
2025-06-03,2.459786612801157,0.07084443767128193,80
2025-08-01,2.8246421673234545,0.14832813245812704,79
2025-10-09,3.182558692656717,0.12671216534036703,78
2025-12-01,3.399674052667246,0.06822037893959053,80
2026-01-05,3.5399963323946193,0.04127521566877325,80
2026-02-02,3.9303610053890936,0.11027262074320097,79
2026-04-01,4.14209995614471,0.053872646931234044,80
2026-06-01,5.058306657821008,0.22119376919360106,80
