date,portfolio_value,period_return,n_stocks,n_sl_events
2018-10-08,0.8924136879553083,-0.11578631204469171,20,21
2018-12-03,0.901023913500307,0.0012482445991234999,20,22
2019-01-02,0.8017828886075603,-0.11574249833527067,19,8
2019-02-01,0.8324279429926732,0.034021137942134884,20,1
2019-04-01,1.1049195466216761,0.3233455749807781,20,0
2019-06-03,0.9581909052721215,-0.1417957694279025,20,25
2019-08-01,0.9269114965914779,-0.037244234576366005,20,3
2019-10-08,0.9206091171441292,-0.01219933248268505,20,7
2019-12-02,0.9302178932083414,0.006237411367399951,20,1
2020-01-02,0.9927420841898038,0.06321456492931476,20,0
2020-02-03,0.8507252775521857,-0.14705508842563142,20,0
2020-04-01,0.8673014573587199,0.015484762289218915,20,0
2020-06-01,0.883397267107026,0.013558494986650186,20,5
2020-08-03,0.9786538520087177,0.10322983879228026,20,3
2020-10-09,0.9447255278465563,-0.03986836010763408,20,6
2020-12-01,0.9778949508004217,0.030310116087868405,20,4
2021-01-04,1.0033816613739588,0.020662830729083773,20,7
2021-02-01,0.9284323408413003,-0.0808967215147507,20,11
2021-04-01,1.034874398941402,0.11044708134105828,20,1
2021-06-01,1.0003430518129397,-0.037767669703478265,19,2
2021-08-02,0.9500105325674798,-0.056915258504811335,20,13
2021-10-08,1.1643702789641197,0.22163933666852675,20,0
2021-12-01,1.1061755764880294,-0.05697954991419318,20,15
2022-01-04,1.2047757637345369,0.08513610944073702,20,0
2022-02-07,1.1833913798265023,-0.023549679692881326,20,9
2022-04-01,1.226823162600459,0.029501114706720438,20,16
2022-06-01,1.2099401756906185,-0.021761548872336493,20,20
2022-08-01,1.2061097568429797,-0.007965791933020579,20,4
2022-10-10,1.148271664481087,-0.05355425294733147,20,8
2022-12-01,1.228130132622481,0.06474666792851883,20,4
2023-01-03,1.2090899764960954,-0.020503370221629732,20,5
2023-02-01,1.2678893542076681,0.044631101782823146,20,0
2023-04-03,1.2552241890956313,-0.014789172217595877,20,4
2023-06-01,1.1811560765098703,-0.06520787542911023,20,11
2023-08-01,1.2712689474562437,0.07169209444753716,20,3
2023-10-09,1.1821269465943065,-0.07692048948439009,20,14
2023-12-01,1.1637639730435807,-0.020533842286252987,20,5
2024-01-02,1.142145640851676,-0.022776217078937865,20,1
2024-02-01,1.0791436107621095,-0.06116111766848486,20,10
2024-04-01,1.1786905076388678,0.0858461995641679,20,12
2024-06-03,1.1588645633619599,-0.02162031385543514,20,4
2024-08-01,1.1050068462158895,-0.05407455694893699,20,18
2024-10-08,1.336458485212701,0.20265719910190674,20,14
2024-12-02,1.3577373715647247,0.00852184612351577,20,17
2025-01-02,1.2814562530107836,-0.06058252848563121,20,2
2025-02-05,1.2530353995365573,-0.0265785592816387,20,2
2025-04-01,1.2850336962239797,0.021536626259128114,20,0
2025-06-03,1.3164083126802564,0.017615403696004034,20,14
2025-08-01,1.3379918068228693,0.011995744340650831,20,2
2025-10-09,1.346085124969613,0.0018488547878045911,20,1
2025-12-01,1.3651705501153746,0.010178468205116257,20,0
2026-01-05,1.3281678905027061,-0.03190478892878343,20,4
2026-02-02,1.3618148032229611,0.021333327933052097,20,0
2026-04-01,1.3645506694845493,-0.00339101444989935,20,7
2026-06-01,1.296263623576869,-0.05664361320893658,20,13
