rebal_date,exit_date,sell_date,sold_code,entry_price,sell_price,loss_pct
2018-07-31,2018-10-08,2018-08-03,002501.SZ,4.67,3.8,-0.1862955032119915
2018-07-31,2018-10-08,2018-08-06,603117.SH,4.94,4.47,-0.09514170040485848
2018-07-31,2018-10-08,2018-08-07,002775.SZ,7.9,7.28,-0.07848101265822782
2018-07-31,2018-10-08,2018-08-07,300145.SZ,4.9,4.63,-0.055102040816326636
2018-07-31,2018-10-08,2018-08-16,002077.SZ,5.3,4.79,-0.0962264150943396
2018-07-31,2018-10-08,2018-08-17,300444.SZ,8.55,7.61,-0.10994152046783634
2018-07-31,2018-10-08,2018-08-17,300158.SZ,4.45,3.9,-0.12359550561797761
2018-07-31,2018-10-08,2018-08-20,603116.SH,8.93,8.07,-0.09630459126539748
2018-07-31,2018-10-08,2018-08-20,000553.SZ,14.65,13.69,-0.06552901023890789
2018-07-31,2018-10-08,2018-08-21,000030.SZ,4.88,4.43,-0.09221311475409844
2018-07-31,2018-10-08,2018-08-21,603117.SH,4.56,4.24,-0.07017543859649111
2018-07-31,2018-10-08,2018-08-23,600638.SH,8.94,8.14,-0.0894854586129753
2018-07-31,2018-10-08,2018-08-27,000521.SZ,3.71,3.44,-0.07277628032345018
2018-07-31,2018-10-08,2018-09-03,300145.SZ,4.5,4.25,-0.05555555555555558
2018-07-31,2018-10-08,2018-09-03,000553.SZ,13.87,12.41,-0.10526315789473684
2018-07-31,2018-10-08,2018-09-04,002682.SZ,5.25,4.85,-0.07619047619047625
2018-07-31,2018-10-08,2018-09-04,000850.SZ,3.8,3.49,-0.08157894736842097
2018-07-31,2018-10-08,2018-09-06,002133.SZ,4.26,3.87,-0.09154929577464777
2018-07-31,2018-10-08,2018-09-07,002627.SZ,9.73,8.81,-0.09455292908530322
2018-07-31,2018-10-08,2018-09-11,000965.SZ,4.48,4.11,-0.0825892857142857
2018-07-31,2018-10-08,2018-09-13,600322.SH,4.68,4.23,-0.09615384615384603
2018-09-28,2018-12-03,2018-10-12,002133.SZ,3.76,3.37,-0.10372340425531912
2018-09-28,2018-12-03,2018-10-12,000850.SZ,3.34,2.98,-0.10778443113772451
2018-09-28,2018-12-03,2018-10-12,600382.SH,9.1,7.5,-0.17582417582417575
2018-09-28,2018-12-03,2018-10-12,002100.SZ,4.42,3.83,-0.13348416289592757
2018-09-28,2018-12-03,2018-10-12,002377.SZ,4.98,4.31,-0.13453815261044189
2018-09-28,2018-12-03,2018-10-12,000665.SZ,7.41,6.71,-0.09446693657219973
2018-09-28,2018-12-03,2018-10-12,000926.SZ,6.84,6.12,-0.10526315789473684
2018-09-28,2018-12-03,2018-10-12,000600.SZ,4.99,4.25,-0.14829659318637278
2018-09-28,2018-12-03,2018-10-12,002541.SZ,7.19,6.51,-0.09457579972183594
2018-09-28,2018-12-03,2018-10-12,000537.SZ,7.55,7.08,-0.062251655629139035
2018-09-28,2018-12-03,2018-10-12,000980.SZ,5.13,4.42,-0.13840155945419108
2018-09-28,2018-12-03,2018-10-15,000591.SZ,3.2,2.83,-0.11562499999999998
2018-09-28,2018-12-03,2018-10-15,600854.SH,3.86,3.45,-0.10621761658031081
2018-09-28,2018-12-03,2018-10-16,000552.SZ,2.84,2.54,-0.10563380281690138
2018-09-28,2018-12-03,2018-10-16,000965.SZ,4.08,3.71,-0.09068627450980393
2018-09-28,2018-12-03,2018-10-16,300195.SZ,8.73,7.7,-0.11798396334478811
2018-09-28,2018-12-03,2018-10-17,000900.SZ,4.0,3.67,-0.08250000000000002
2018-09-28,2018-12-03,2018-10-17,000543.SZ,4.14,3.86,-0.06763285024154586
2018-09-28,2018-12-03,2018-10-19,002712.SZ,8.89,7.28,-0.18110236220472442
2018-09-28,2018-12-03,2018-10-19,600382.SH,7.5,7.05,-0.06000000000000005
2018-09-28,2018-12-03,2018-10-19,000537.SZ,7.08,6.69,-0.05508474576271183
2018-09-28,2018-12-03,2018-10-25,002712.SZ,7.28,5.83,-0.19917582417582425
2018-11-30,2019-01-02,2018-12-18,600322.SH,3.81,3.43,-0.09973753280839892
2018-11-30,2019-01-02,2018-12-24,002193.SZ,10.17,9.32,-0.08357915437561447
2018-11-30,2019-01-02,2018-12-24,000672.SZ,9.14,8.46,-0.07439824945295404
2018-11-30,2019-01-02,2018-12-24,300121.SZ,9.73,9.09,-0.0657759506680371
2018-11-30,2019-01-02,2018-12-26,000900.SZ,4.35,3.92,-0.09885057471264358
2018-11-30,2019-01-02,2018-12-26,000698.SZ,4.08,3.68,-0.0980392156862745
2018-11-30,2019-01-02,2018-12-26,000619.SZ,5.8,5.24,-0.096551724137931
2018-11-30,2019-01-02,2018-12-27,000501.SZ,10.26,9.36,-0.08771929824561409
2018-12-28,2019-02-01,2019-01-30,300432.SZ,5.76,5.18,-0.10069444444444442
2019-03-29,2019-06-03,2019-04-26,600665.SH,4.5,4.12,-0.08444444444444443
2019-03-29,2019-06-03,2019-04-29,000543.SZ,5.49,5.06,-0.0783242258652096
2019-03-29,2019-06-03,2019-04-29,000501.SZ,12.18,11.34,-0.06896551724137934
2019-03-29,2019-06-03,2019-04-29,600067.SH,5.09,4.5,-0.11591355599214148
2019-03-29,2019-06-03,2019-04-29,000719.SZ,9.05,8.12,-0.10276243093922666
2019-03-29,2019-06-03,2019-04-30,600051.SH,7.17,6.65,-0.07252440725244069
2019-03-29,2019-06-03,2019-04-30,002133.SZ,4.23,3.88,-0.0827423167848701
2019-03-29,2019-06-03,2019-04-30,002394.SZ,11.8,10.91,-0.07542372881355941
2019-03-29,2019-06-03,2019-04-30,000809.SZ,3.03,2.8,-0.07590759075907594
2019-03-29,2019-06-03,2019-05-07,000926.SZ,8.0,7.08,-0.11499999999999999
2019-03-29,2019-06-03,2019-05-07,000900.SZ,5.22,4.77,-0.0862068965517242
2019-03-29,2019-06-03,2019-05-07,002521.SZ,6.46,5.47,-0.15325077399380804
2019-03-29,2019-06-03,2019-05-07,002048.SZ,13.47,12.0,-0.10913140311804015
2019-03-29,2019-06-03,2019-05-07,000552.SZ,3.24,2.88,-0.11111111111111116
2019-03-29,2019-06-03,2019-05-07,000698.SZ,4.59,4.09,-0.10893246187363836
2019-03-29,2019-06-03,2019-05-07,002101.SZ,8.73,7.84,-0.10194730813287523
2019-03-29,2019-06-03,2019-05-07,000719.SZ,8.14,7.38,-0.09336609336609347
2019-03-29,2019-06-03,2019-05-10,002110.SZ,18.14,16.75,-0.07662624035281151
2019-03-29,2019-06-03,2019-05-21,000543.SZ,5.06,4.66,-0.07905138339920936
2019-03-29,2019-06-03,2019-05-21,002133.SZ,3.88,3.6,-0.07216494845360821
2019-03-29,2019-06-03,2019-05-21,002048.SZ,12.0,11.41,-0.04916666666666669
2019-03-29,2019-06-03,2019-05-23,002110.SZ,17.85,9.42,-0.4722689075630253
2019-03-29,2019-06-03,2019-05-27,000501.SZ,11.34,10.64,-0.061728395061728336
2019-03-29,2019-06-03,2019-05-27,002101.SZ,7.84,7.34,-0.06377551020408168
2019-03-29,2019-06-03,2019-05-29,002394.SZ,10.91,9.93,-0.08982584784601289
2019-05-31,2019-08-01,2019-07-23,603518.SH,9.25,8.34,-0.09837837837837837
2019-05-31,2019-08-01,2019-07-23,002788.SZ,8.38,7.54,-0.10023866348448696
2019-05-31,2019-08-01,2019-07-30,002048.SZ,11.11,10.29,-0.0738073807380738
2019-07-31,2019-10-08,2019-08-07,000676.SZ,6.13,5.67,-0.07504078303425776
2019-07-31,2019-10-08,2019-08-08,000900.SZ,4.49,4.16,-0.07349665924276172
2019-07-31,2019-10-08,2019-08-12,000665.SZ,5.29,4.89,-0.0756143667296787
2019-07-31,2019-10-08,2019-08-12,600665.SH,3.82,3.59,-0.060209424083769614
2019-07-31,2019-10-08,2019-08-12,600512.SH,2.65,2.48,-0.0641509433962264
2019-07-31,2019-10-08,2019-08-12,603518.SH,8.19,7.54,-0.0793650793650793
2019-07-31,2019-10-08,2019-08-29,002832.SZ,25.91,24.23,-0.06483983018139716
2019-09-30,2019-12-02,2019-11-12,000900.SZ,4.51,4.16,-0.07760532150776045
2020-03-31,2020-06-01,2020-04-17,000059.SZ,5.62,5.09,-0.09430604982206414
2020-03-31,2020-06-01,2020-04-29,000683.SZ,1.97,1.77,-0.10152284263959388
2020-03-31,2020-06-01,2020-05-07,600052.SH,4.09,3.68,-0.10024449877750607
2020-03-31,2020-06-01,2020-05-25,000683.SZ,1.79,1.59,-0.11173184357541899
2020-03-31,2020-06-01,2020-06-01,002092.SZ,4.87,4.64,-0.04722792607802884
2020-05-29,2020-08-03,2020-07-01,002936.SZ,3.86,3.45,-0.10621761658031081
2020-05-29,2020-08-03,2020-07-07,600382.SH,6.51,5.37,-0.1751152073732718
2020-05-29,2020-08-03,2020-07-20,002936.SZ,4.04,3.82,-0.054455445544554504
2020-07-31,2020-10-09,2020-09-11,000965.SZ,3.69,3.4,-0.07859078590785906
2020-07-31,2020-10-09,2020-09-24,600382.SH,5.73,5.12,-0.10645724258289713
2020-07-31,2020-10-09,2020-09-25,000600.SZ,5.6,5.08,-0.09285714285714275
2020-07-31,2020-10-09,2020-09-25,000726.SZ,8.11,7.36,-0.09247842170160281
2020-07-31,2020-10-09,2020-09-29,600322.SH,2.78,2.56,-0.07913669064748197
2020-07-31,2020-10-09,2020-10-09,000926.SZ,5.73,5.36,-0.06457242582897038
2020-09-30,2020-12-01,2020-10-26,002582.SZ,15.31,13.61,-0.11103853690398435
2020-09-30,2020-12-01,2020-10-26,002567.SZ,8.82,8.02,-0.09070294784580502
2020-09-30,2020-12-01,2020-11-02,300815.SZ,111.38,98.2,-0.11833363260908591
2020-09-30,2020-12-01,2020-11-03,000537.SZ,6.76,6.31,-0.06656804733727817
2020-11-30,2021-01-04,2020-12-17,600491.SH,5.99,5.51,-0.08013355592654436
2020-11-30,2021-01-04,2020-12-17,000576.SZ,10.97,10.05,-0.08386508659981773
2020-11-30,2021-01-04,2020-12-23,002936.SZ,4.05,3.71,-0.08395061728395059
2020-11-30,2021-01-04,2020-12-23,000537.SZ,6.79,6.18,-0.08983799705449191
2020-11-30,2021-01-04,2020-12-23,002807.SZ,4.47,4.05,-0.09395973154362414
2020-11-30,2021-01-04,2020-12-23,600665.SH,3.53,3.25,-0.07932011331444755
2020-11-30,2021-01-04,2020-12-25,002482.SZ,3.48,3.23,-0.07183908045977017
2020-12-31,2021-02-01,2021-01-08,002377.SZ,3.78,3.48,-0.0793650793650793
2020-12-31,2021-02-01,2021-01-11,002277.SZ,3.68,3.26,-0.11413043478260876
2020-12-31,2021-02-01,2021-01-12,002482.SZ,3.08,2.77,-0.10064935064935066
2020-12-31,2021-02-01,2021-01-14,600622.SH,3.35,3.19,-0.047761194029850795
2020-12-31,2021-02-01,2021-01-14,002393.SZ,20.32,18.59,-0.08513779527559062
2020-12-31,2021-02-01,2021-01-14,600052.SH,3.02,2.8,-0.07284768211920534
2020-12-31,2021-02-01,2021-01-27,600067.SH,3.7,3.4,-0.08108108108108114
2020-12-31,2021-02-01,2021-01-29,000537.SZ,6.12,5.54,-0.09477124183006536
2020-12-31,2021-02-01,2021-01-29,000826.SZ,6.67,5.62,-0.1574212893553223
2020-12-31,2021-02-01,2021-01-29,000926.SZ,4.98,4.5,-0.09638554216867479
2020-12-31,2021-02-01,2021-02-01,002133.SZ,3.05,2.75,-0.09836065573770492
2021-01-29,2021-04-01,2021-02-04,002582.SZ,12.76,11.21,-0.1214733542319748
2021-03-31,2021-06-01,2021-04-13,000900.SZ,4.59,4.15,-0.09586056644880159
2021-03-31,2021-06-01,2021-04-29,000726.SZ,6.59,6.02,-0.08649468892261003
