date,ic,ic_rank,n,next_period_ret
2018-01-31,-0.10139555803558672,-0.10323661633262957,979,0.041613284943105074
2018-03-30,0.03751144223650149,0.050719925044344034,958,-0.07579410627181911
2018-05-31,0.10260631246852903,0.12133568699121307,915,-0.14853328500354815
2018-07-31,0.3033746934106217,0.34386371290298917,1080,-0.1296697144860828
2018-09-28,0.09414698635321869,0.12204550407692619,1233,0.001598824455739347
2018-11-30,-0.0643186359013639,-0.08520103115117819,1300,-0.04964935562149402
2018-12-28,0.1314760665877141,0.1759320732317692,1345,-0.03292591691572938
2019-01-31,0.08643934623633877,0.12340553227632164,1363,0.34838733367977137
2019-03-29,0.08915016025021023,0.14988775191872408,1001,-0.10550708071594123
2019-05-31,0.07225204784629197,0.1185132680668461,984,-0.04208631714913782
2019-07-31,-0.06506769839743673,-0.0650270487747863,1037,0.01553201982518449
2019-09-30,0.12397634969686863,0.2116438239259397,1091,-0.03748080518474941
2019-11-29,0.010145043605635246,0.033429139650324007,1150,0.09396051896941095
2019-12-31,0.01406877389471461,0.02565660043358259,1071,-0.0863712521511743
2020-01-23,0.10121937118590246,0.17623079538687889,1057,0.06824550476360569
2020-03-31,-0.08295602064464817,-0.08529466571034748,1118,0.04254038130573558
2020-05-29,0.08277655040237968,0.1043266754732156,728,0.2068773202782304
2020-07-31,0.13337270123237321,0.20541567806138278,614,-0.02890073661458412
2020-09-30,0.12490749564679636,0.14076202518865963,858,0.02708956611754149
2020-11-30,0.09682205694089704,0.19389103842876784,898,-0.08607407989727395
2020-12-31,-0.05306474013943536,0.007999528418600306,987,-0.0866823493303373
2021-01-29,0.16173869369526225,0.1976256437006858,1114,0.059105089548152905
2021-03-31,0.05844235270465118,0.13223960341361815,1117,0.044903496739077765
2021-05-31,0.07834082132539702,0.15406339753397427,1086,0.003950681775084368
2021-07-30,0.18464416540972292,0.2509741484038124,1136,0.02631436284726458
2021-09-30,-0.13147982039452244,-0.14863649798788348,1179,0.1217488976521814
2021-11-30,0.2216214963516426,0.31527828090601867,1186,0.02224635408544877
2021-12-31,0.1686284018638618,0.23880228133948653,1188,-0.07965168048692492
2022-01-28,0.186535840252358,0.23037248630837673,1310,-0.04008281241351633
2022-03-31,-0.0011957578804514422,-0.0019029147551111493,1364,-0.10006033168173743
2022-05-31,-0.04252438901395462,-0.041190711017493546,1236,0.12023870059436786
2022-07-29,0.17817465340942892,0.21643636078592393,1147,-0.12448174732769661
2022-09-30,0.0096944481171693,0.026077130771011953,1418,0.12428767906973455
2022-11-30,0.024601189884116748,0.013653658027013281,1327,-0.0567574781732557
2022-12-30,-0.04594563100953105,-0.0470699522478456,1425,0.10386474501005416
2023-01-31,0.021362316077606403,0.05545364910361195,1306,0.017769892816573853
2023-03-31,0.014340819199324412,0.07185389468434346,1330,-0.026690276472043136
2023-05-31,0.019272312110258236,0.052783991449683175,1196,0.002393788317419359
2023-07-31,0.04494918887189946,0.0615595715422622,1214,-0.025225656543033825
2023-09-28,0.316655996508435,0.27665789216869047,1341,0.08580463752905157
2023-11-30,0.19462873609922807,0.1828479792881169,1270,0.03865422399408053
2023-12-29,0.032138487532067855,0.10850262003046897,1293,-0.22415570556946388
2024-01-31,0.00670351776378389,0.011507764743405272,1599,0.09368620249127123
2024-03-29,0.0797980048107269,0.11748115426436127,1461,-0.03990344317826413
2024-05-31,0.11430058903951916,0.11320062350706206,1298,-0.09630669824849133
2024-07-31,0.026399504304133393,0.0253218103176059,1425,0.34725356188130185
2024-09-30,0.016770273382663757,0.0930702489104271,1265,0.06050773897436213
2024-11-29,0.2116435568233023,0.27060559929838984,1143,-0.07565440679670901
2024-12-31,0.0034435868671892204,0.03544054925614932,1190,0.016861558090195527
2025-01-27,-0.05754955053786758,-0.051665067609299405,1198,0.11382322782639653
2025-03-31,0.05613108104254782,0.08686181086579169,1109,0.040771983604880914
2025-05-30,0.09887932454819898,0.18199259476720928,982,0.1080297950652518
2025-07-31,0.08076975803143008,0.15468936208861125,861,0.06289364304481791
2025-09-30,0.22982558562475003,0.3086758920496877,810,0.00416481381175028
2025-11-28,0.002128790223938506,0.04611085297539271,787,0.008875083483439072
2025-12-31,0.10368309297668624,0.17127245000776886,779,0.06851026210874417
2026-01-30,0.13096487180159017,0.23848861517308015,717,-0.06502454792963656
2026-03-31,-0.059227003017005356,0.012245041303144355,806,-0.04595140077467605
