总收益,年化收益,最大回撤,夏普比率,胜率,调仓次数,止损次数,平均止损幅度,参数,top_n
408.9%,19.4%,-22.3%,0.61,58%,55,1094,-14.7%,4因子基线,80
459.9%,20.7%,-22.3%,0.66,56%,55,1089,-14.8%,4因子+VWAP量价,80
