run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260805_225201_55f564,2023-01-03,1000000.0,1000000.0,0,0.0,3887.899,0.0
20260805_225201_55f564,2023-01-04,1000922.644438,895830.918638,105091.7258,0.00092264,3892.948,0.00129864
20260805_225201_55f564,2023-01-05,1000894.101038,895830.918638,105063.1824,-2.852e-05,3968.578,0.01942744
20260805_225201_55f564,2023-01-06,1000301.271838,895830.918638,104470.3532,-0.0005923,3980.889,0.00310212
20260805_225201_55f564,2023-01-09,1001258.825838,895830.918638,105427.9072,0.00095727,4013.119,0.00809618
20260805_225201_55f564,2023-01-10,1001072.266438,895830.918638,105241.3478,-0.00018632,4017.474,0.00108519
20260805_225201_55f564,2023-01-11,1000125.840938,895830.918638,104294.9223,-0.00094541,4010.031,-0.00185266
20260805_225201_55f564,2023-01-12,1000508.470738,895830.918638,104677.5521,0.00038258,4017.869,0.0019546
20260805_225201_55f564,2023-01-13,1001385.239038,895830.918638,105554.3204,0.00087632,4074.377,0.01406417
20260805_225201_55f564,2023-01-16,1002920.014338,895830.918638,107089.0957,0.00153265,4137.964,0.01560656
20260805_225201_55f564,2023-01-17,1002649.299138,895830.918638,106818.3805,-0.00026993,4137.242,-0.00017448
20260805_225201_55f564,2023-01-18,1003153.608938,895830.918638,107322.6903,0.00050298,4130.315,-0.0016743
20260805_225201_55f564,2023-01-19,1003267.740038,895830.918638,107436.8214,0.00011377,4156.008,0.00622059
20260805_225201_55f564,2023-01-20,1004208.972938,895830.918638,108378.0543,0.00093817,4181.527,0.00614027
20260805_225201_55f564,2023-01-30,1006142.943338,895830.918638,110312.0247,0.00192586,4201.345,0.00473942
20260805_225201_55f564,2023-01-31,1006741.004338,895830.918638,110910.0857,0.00059441,4156.857,-0.01058899
20260805_225201_55f564,2023-02-01,1008180.050738,895830.918638,112349.1321,0.00142941,4195.933,0.00940037
20260805_225201_55f564,2023-02-02,1008657.787838,895830.918638,112826.8692,0.00047386,4181.15,-0.00352317
20260805_225201_55f564,2023-02-03,1008570.555638,895830.918638,112739.637,-8.648e-05,4141.632,-0.00945147
20260805_225201_55f564,2023-02-06,1009305.406938,895830.918638,113474.4883,0.00072861,4086.878,-0.01322039
