,策略,中证转债,超额
2019,0.5246,0.2591,0.2655
2020,0.1993,0.0525,0.1467
2021,0.3812,0.1848,0.1964
2022,0.0263,-0.1002,0.1265
2023,0.0514,-0.0047,0.0561
2024,0.1745,0.0608,0.1137
2025,0.1867,0.1866,0.0001
2026,-0.0854,-0.0008,-0.0846
