,策略,中证转债,超额
2019,0.3593,0.2591,0.1002
2020,0.0212,0.0525,-0.0314
2021,0.4345,0.1848,0.2497
2022,-0.0756,-0.1002,0.0246
2023,-0.0315,-0.0047,-0.0268
2024,0.1674,0.0608,0.1066
2025,0.2213,0.1866,0.0348
2026,0.0975,-0.0008,0.0983
