,策略,中证转债,超额
2019,0.5246,0.2591,0.2655
2020,0.2056,0.0525,0.153
2021,0.3812,0.1848,0.1964
2022,0.0275,-0.1002,0.1277
2023,0.0549,-0.0047,0.0597
2024,0.1635,0.0608,0.1026
2025,0.222,0.1866,0.0354
2026,-0.018,-0.0008,-0.0173
