,策略,中证转债,超额
2019,0.364,0.2591,0.105
2020,0.101,0.0525,0.0485
2021,0.3438,0.1848,0.159
2022,-0.0675,-0.1002,0.0327
2023,0.0242,-0.0047,0.029
2024,0.1121,0.0608,0.0513
2025,0.2352,0.1866,0.0487
2026,0.0238,-0.0008,0.0245
