,策略,中证转债,超额
2019,0.2807,0.2591,0.0217
2020,0.1212,0.0525,0.0687
2021,0.3557,0.1848,0.1708
2022,-0.03,-0.1002,0.0701
2023,0.0613,-0.0047,0.066
2024,0.0856,0.0608,0.0248
2025,0.1408,0.1866,-0.0457
2026,-0.0165,-0.0008,-0.0158
