,策略,中证转债,超额
2019,0.3814,0.2591,0.1223
2020,0.1107,0.0525,0.0582
2021,0.3518,0.1848,0.167
2022,-0.0442,-0.1002,0.056
2023,0.0345,-0.0047,0.0393
2024,0.1151,0.0608,0.0543
2025,0.2239,0.1866,0.0374
2026,-0.0519,-0.0008,-0.0511
