,策略,中证转债,超额
2019,0.3995,0.2591,0.1404
2020,0.2112,0.0525,0.1586
2021,0.5582,0.1848,0.3734
2022,0.0412,-0.1002,0.1414
2023,0.0853,-0.0047,0.09
2024,0.2428,0.0608,0.182
2025,0.2636,0.1866,0.077
2026,-0.0015,-0.0012,-0.0004
