,策略,中证转债,超额
2019,0.1541,0.2591,-0.1049
2020,0.0602,0.0525,0.0077
2021,0.4006,0.1848,0.2158
2022,-0.0248,-0.1002,0.0753
2023,0.0114,-0.0047,0.0162
2024,0.212,0.0608,0.1512
2025,0.2528,0.1866,0.0662
2026,-0.0196,-0.0008,-0.0188
