,策略,中证转债,超额
2019,0.2974,0.2591,0.0383
2020,0.0438,0.0525,-0.0087
2021,0.4877,0.1848,0.3029
2022,-0.0822,-0.1002,0.0179
2023,0.0626,-0.0047,0.0674
2024,0.0926,0.0608,0.0318
2025,0.244,0.1866,0.0575
2026,0.0465,-0.0012,0.0477
