,策略,中证转债,超额
2019,0.185,0.2591,-0.0741
2020,0.0517,0.0525,-0.0008
2021,0.1441,0.1848,-0.0407
2022,-0.0971,-0.1002,0.003
2023,-0.0359,-0.0047,-0.0312
2024,0.0722,0.0608,0.0114
2025,0.1645,0.1866,-0.022
2026,0.0104,-0.0012,0.0115
