,策略,中证转债,超额
2019,0.3641,0.2591,0.1051
2020,0.1281,0.0525,0.0755
2021,0.3854,0.1848,0.2006
2022,-0.0285,-0.1002,0.0716
2023,0.0173,-0.0047,0.0221
2024,0.0565,0.0608,-0.0043
2025,0.1898,0.1866,0.0033
2026,-0.0267,-0.0008,-0.0259
