ts_code,prob,total_new,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,trade_date
300748.SZ,0.581,66.5,8.0,6.0,10.0,3.0,5.0,5.0,20260910
300138.SZ,0.6341,66.0,9.0,6.0,7.0,5.0,5.0,5.0,20260910
001313.SZ,0.5914,65.0,9.0,2.0,9.0,7.0,5.0,5.0,20260910
000893.SZ,0.6204,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260910
002378.SZ,0.5941,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260910
603045.SH,0.5749,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260910
603683.SH,0.5734,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260910
001366.SZ,0.5721,64.0,9.0,8.0,4.0,5.0,5.0,5.0,20260910
601636.SH,0.6278,63.5,8.0,6.0,7.0,5.0,5.0,5.0,20260910
603277.SH,0.5725,62.5,8.0,6.0,8.0,3.0,5.0,5.0,20260910
