ts_code,prob,total_new,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,trade_date
603093.SH,0.5965,70.5,8.0,6.0,9.0,7.0,5.0,5.0,20260908
300475.SZ,0.5678,70.5,8.0,6.0,9.0,7.0,5.0,5.0,20260908
002145.SZ,0.5911,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260908
300005.SZ,0.56,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260908
002695.SZ,0.5696,66.0,9.0,6.0,7.0,5.0,5.0,5.0,20260908
300938.SZ,0.5603,65.0,8.0,6.0,4.0,10.0,5.0,5.0,20260908
603507.SH,0.6332,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260908
300201.SZ,0.6173,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260908
603256.SH,0.593,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260908
300724.SZ,0.5669,62.5,8.0,6.0,8.0,3.0,5.0,5.0,20260908
