ts_code,prob,total_new,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,trade_date
603663.SH,0.5632,70.5,8.0,6.0,9.0,7.0,5.0,5.0,20260909
603093.SH,0.5629,70.5,8.0,6.0,9.0,7.0,5.0,5.0,20260909
603256.SH,0.5639,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260909
300434.SZ,0.5531,67.0,9.0,6.0,9.0,3.0,5.0,5.0,20260909
301172.SZ,0.5853,65.0,8.0,6.0,4.0,10.0,5.0,5.0,20260909
600184.SH,0.577,65.0,8.0,6.0,4.0,10.0,5.0,5.0,20260909
603096.SH,0.5524,65.0,9.0,6.0,5.0,7.0,5.0,5.0,20260909
603045.SH,0.5951,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260909
002338.SZ,0.5903,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260909
002346.SZ,0.5644,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260909
