ts_code,prob,total_new,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,trade_date
300475.SZ,0.6161,70.5,8.0,6.0,9.0,7.0,5.0,5.0,20260903
001266.SZ,0.5893,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260903
300005.SZ,0.5846,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260903
002965.SZ,0.6205,66.5,8.0,6.0,7.0,7.0,5.0,5.0,20260903
300259.SZ,0.6155,66.5,8.0,6.0,7.0,7.0,5.0,5.0,20260903
300394.SZ,0.5729,66.5,8.0,6.0,10.0,3.0,5.0,5.0,20260903
002993.SZ,0.5722,65.5,8.0,6.0,8.0,5.0,5.0,5.0,20260903
301265.SZ,0.6149,65.0,8.0,6.0,4.0,10.0,5.0,5.0,20260903
301528.SZ,0.6123,65.0,8.0,6.0,4.0,10.0,5.0,5.0,20260903
603876.SH,0.6226,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260903
