ts_code,prob,total_new,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,trade_date
300005.SZ,0.5871,67.5,8.0,6.0,9.0,5.0,5.0,5.0,20260904
000062.SZ,0.6201,64.5,8.0,2.0,10.0,7.0,5.0,5.0,20260904
301217.SZ,0.5931,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260904
603876.SH,0.5799,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260904
601636.SH,0.5938,63.5,8.0,6.0,7.0,5.0,5.0,5.0,20260904
300130.SZ,0.6424,62.5,8.0,6.0,5.0,7.0,5.0,5.0,20260904
301590.SZ,0.5939,62.5,8.0,6.0,5.0,7.0,5.0,5.0,20260904
002824.SZ,0.5824,62.5,8.0,2.0,9.0,7.0,5.0,5.0,20260904
603255.SH,0.616,62.0,9.0,2.0,9.0,5.0,5.0,5.0,20260904
002376.SZ,0.6134,62.0,9.0,2.0,9.0,5.0,5.0,5.0,20260904
