ts_code,prob,total_new,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,trade_date
603332.SH,0.652,67.0,9.0,6.0,9.0,3.0,5.0,5.0,20260911
603271.SH,0.6951,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260911
000893.SZ,0.6592,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260911
000524.SZ,0.6587,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260911
603876.SH,0.6567,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260911
603683.SH,0.6465,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260911
300201.SZ,0.6317,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260911
002254.SZ,0.6301,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260911
300801.SZ,0.621,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260911
300773.SZ,0.6172,64.5,8.0,5.0,10.0,3.0,5.0,5.0,20260911
