ts_code,prob,total_new,SC_F1,SC_F2,SC_F3,SC_F4,SC_F5,SC_F6,trade_date
300475.SZ,0.6014,70.5,8.0,6.0,9.0,7.0,5.0,5.0,20260902
002641.SZ,0.579,69.0,9.0,6.0,7.0,7.0,5.0,5.0,20260902
300001.SZ,0.5996,67.0,9.0,6.0,9.0,3.0,5.0,5.0,20260902
300748.SZ,0.5703,66.5,8.0,6.0,10.0,3.0,5.0,5.0,20260902
603893.SH,0.5673,65.0,9.0,1.0,10.0,7.0,5.0,5.0,20260902
002772.SZ,0.6107,64.5,8.0,2.0,10.0,7.0,5.0,5.0,20260902
301150.SZ,0.5884,64.5,8.0,6.0,9.0,3.0,5.0,5.0,20260902
002965.SZ,0.5996,63.5,8.0,6.0,7.0,5.0,5.0,5.0,20260902
601636.SH,0.5765,63.5,8.0,6.0,7.0,5.0,5.0,5.0,20260902
601118.SH,0.5892,63.0,9.0,6.0,4.0,7.0,5.0,5.0,20260902
