date,portfolio_value,period_return,n_stocks,composite,pos_ratio,raw_return
2018-10-08,0.9567222600880358,-0.04327773991196412,79,-0.2763814664118588,0.4,-0.10519434977991028
2018-12-03,0.9496814281535493,-0.007359326973157998,80,-0.2727234325566089,0.4,-0.015398317432894992
2019-01-02,0.9256747550787333,-0.025278659098864016,79,-0.0719626289666917,0.4,-0.060196647747160034
2019-02-01,0.9181016430893474,-0.00818118021241895,80,0.040579812546851904,0.7,-0.008687400303455644
2019-04-01,1.0423751990218602,0.13535925664433077,79,-0.205484842822182,0.4,0.34139814161082693
2019-06-03,0.9201737340272856,-0.11723366510374136,79,0.3440555750153191,1.0,-0.11423366510374136
2019-08-01,0.9031410252770177,-0.018510318345777682,80,-0.0028602682090526493,0.4,-0.0432757958644442
2019-10-08,0.880719912740929,-0.024825704855132125,80,0.14440832128934838,0.7,-0.03246529265018875
2019-12-02,0.8788222368877097,-0.002154687121032085,79,-0.1508320508175823,0.4,-0.002386717802580212
2020-01-02,0.9238028929206613,0.051182883346520165,80,0.023533788310999105,0.7,0.0761184047807431
2020-02-03,0.8078237872941314,-0.12554529382329022,80,0.478484018407788,1.0,-0.12254529382329023
2020-04-01,0.8339409457242501,0.032330266626092154,80,0.17939059295244567,0.7,0.049186095180131645
2020-06-01,0.841582107253704,0.009162712981813908,80,0.03439543137243432,0.7,0.01608958997401987
2020-08-03,0.989187644917486,0.17539053693222695,80,0.34856962639693545,1.0,0.17839053693222695
2020-10-09,0.948625376577155,-0.041005635835367274,80,0.31709624656392615,1.0,-0.03800563583536727
2020-12-01,0.9538305379704622,0.005487056873903882,80,0.019577273029152086,0.7,0.010838652677005546
2021-01-04,0.9524472098160022,-0.001450287131090836,80,0.024370342012345156,0.7,0.0009281612412988055
2021-02-01,0.9054033603341157,-0.04939260569724867,80,0.1419750478024545,0.7,-0.06756086528178382
2021-01-29,0.9054033603341157,0.0,0,-0.3480089638534426,0.0,
2021-06-01,0.9157063850575563,0.011379485845555636,79,-0.0053859875068756665,0.4,0.03144871461388909
2021-08-02,0.8523060111726533,-0.06923657508505643,80,0.3922382690190053,1.0,-0.06623657508505643
2021-10-08,0.9338978065496666,0.09573063466342863,80,0.1573665277205826,0.7,0.13975804951918377
2021-12-01,0.9131151177343294,-0.02225370770718471,80,0.07628978173489323,0.7,-0.02879101101026387
2022-01-04,0.9842654580678689,0.07792044940629342,80,0.5419887397756536,1.0,0.08092044940629342
2022-02-07,0.9684767677425231,-0.01604108952105183,80,0.18294635230308642,0.7,-0.01991584217293119
2022-04-01,0.9826781709494652,0.01466364881425597,80,-0.17850921742415718,0.4,0.03965912203563992
2022-03-31,0.9826781709494652,0.0,0,-0.3509648318333003,0.0,
2022-08-01,0.9954035779624562,0.012949719846423062,80,0.14235603709387168,0.7,0.021499599780604374
2022-10-10,0.9461932835561175,-0.04943753015944523,80,0.2728848081108455,0.7,-0.06762504308492176
2022-12-01,0.9876503912117429,0.04381462897286212,80,-0.15899027105026048,0.4,0.11253657243215529
2023-01-03,0.9530025106925737,-0.035081118609855404,80,0.16728356519416165,0.7,-0.04711588372836487
2023-02-01,0.9790249893353051,0.027305781832431954,80,-0.006344762101114608,0.4,0.07126445458107988
2023-04-03,0.9699050834182535,-0.009315294314646106,80,0.5154084229879963,1.0,-0.006315294314646107
2023-06-01,0.9253251808164494,-0.045963160069942485,80,0.3788436852735459,1.0,-0.04296316006994248
2023-08-01,0.9746002335661319,0.05325160686344358,80,0.15140110654045755,0.7,0.07907372409063369
2023-10-09,0.9481555726913672,-0.02713385443999109,80,-0.12057267114091486,0.4,-0.06483463609997772
2023-12-01,0.9342015028870432,-0.014717067753675692,80,-0.08224468198620861,0.4,-0.033792669384189226
2024-01-02,0.9292634273485171,-0.005285878392686769,80,-0.15067935186934864,0.4,-0.010214695981716922
2024-02-01,0.9035737507220386,-0.027645203577826426,80,-0.15466816290072735,0.4,-0.06611300894456607
2024-01-31,0.9035737507220386,0.0,0,-0.3734239242374957,0.0,
2024-06-03,0.9212653754661012,0.019579613429368984,80,0.1756722829826502,0.7,0.030970876327669983
2024-08-01,0.8891541912735161,-0.034855520513119166,80,-0.001944720061641439,0.4,-0.08413880128279791
2024-10-08,0.9894452032250047,0.11279372344614821,80,-0.18126824191343888,0.4,0.28498430861537055
2024-12-02,0.9720224105701237,-0.017608648359801003,80,-0.028985787123284923,0.4,-0.04102162089950251
2025-01-02,0.9507746080239954,-0.021859375169823312,80,0.3851117737195239,1.0,-0.018859375169823313
2025-02-05,0.9306039697263564,-0.021214952657980506,80,0.1994262583838993,0.7,-0.02730707522568644
2025-04-01,0.9503797650252004,0.021250495315057693,80,0.01365067066334553,0.7,0.033357850450082424
2025-06-03,0.9538667970647077,0.003669093311782543,80,0.1907076607927371,0.7,0.008241561873975062
2025-08-01,0.9841906738002854,0.031790473081662905,80,0.20797919322597735,0.7,0.048414961545232726
2025-10-09,1.0217163893950163,0.03812850151265067,80,0.31721422927612636,1.0,0.04112850151265067
2025-12-01,1.0574463903467344,0.03497056651197978,80,0.3405779195057879,1.0,0.03797056651197978
2026-01-05,1.0533074774179025,-0.00391406407607546,80,0.20139876466149711,0.7,-0.0025915201086792296
2026-02-02,1.1145560400542747,0.05814879695577398,80,0.41388276791178935,1.0,0.061148796955773986
2026-04-01,1.1078282124305763,-0.006036329607411012,80,0.2011581793156731,0.7,-0.00562332801058716
2026-06-01,1.0820171502460265,-0.023298794790503022,80,-0.19491163937161066,0.4,-0.05524698697625755
