open,close,open_next,up_limit_next,vol_next,limit_up_t,oneword_next,ts_code,trade_date,overnight_gap,open2open
15.17,15.17,16.69,16.69,162308.74,True,True,002857.SZ,2024-07-01,0.10019775873434411,0.10019775873434411
22.78,22.38,22.3,24.62,115492.31,False,False,600872.SH,2024-07-01,-0.003574620196604039,-0.021071115013169495
38.01,37.06,37.01,44.47,40957.64,False,False,300633.SZ,2024-07-02,-0.001349163518618579,-0.02630886608787164
25.1,24.29,24.38,26.72,66456.02,False,False,600060.SH,2024-07-02,0.003705228489090162,-0.028685258964143534
37.01,35.79,35.52,42.95,54431.0,False,False,300633.SZ,2024-07-03,-0.00754400670578359,-0.04025938935422846
13.66,13.3,13.36,14.63,46580.42,False,False,002705.SZ,2024-07-03,0.004511278195488577,-0.02196193265007329
35.52,34.61,34.5,41.53,59585.86,False,False,300633.SZ,2024-07-04,-0.0031782721756717924,-0.02871621621621634
17.87,17.32,17.32,20.78,22895.0,False,False,301018.SZ,2024-07-04,0.0,-0.03077783995523231
22.97,22.97,22.97,27.56,13681.01,False,False,301270.SZ,2024-07-05,0.0,0.0
9.98,10.17,10.13,11.19,6459.79,False,False,603137.SH,2024-07-05,-0.003933136676499416,0.01503006012024044
52.86,50.1,49.8,60.12,18861.35,False,False,301096.SZ,2024-07-08,-0.005988023952095856,-0.057888762769580104
13.17,12.97,12.91,14.27,46706.56,False,False,002705.SZ,2024-07-08,-0.004626060138781862,-0.01974183750949121
33.45,32.34,32.0,38.81,47110.0,False,False,300633.SZ,2024-07-09,-0.010513296227582014,-0.0433482810164425
10.49,10.69,10.62,12.83,6401.0,False,False,301288.SZ,2024-07-09,-0.006548175865294659,0.012392755004766443
9.32,9.12,9.29,10.03,23755.0,False,False,002674.SZ,2024-07-10,0.018640350877193068,-0.0032188841201717944
35.15,35.24,35.88,42.29,307251.49,False,False,300014.SZ,2024-07-10,0.018161180476730987,0.02076813655761045
17.88,17.75,17.85,21.3,6313.43,False,False,301227.SZ,2024-07-11,0.005633802816901401,-0.001677852348993203
15.32,15.28,15.28,18.34,3514.65,False,False,300983.SZ,2024-07-11,0.0,-0.0026109660574412663
16.24,16.31,16.21,17.94,5436.98,False,False,603282.SH,2024-07-12,-0.006131207847945963,-0.001847290640393906
9.62,9.53,9.51,10.48,9354.51,False,False,605122.SH,2024-07-12,-0.0020986358866735833,-0.011434511434511352
17.9,17.94,17.88,19.73,123050.08,False,False,002270.SZ,2024-07-15,-0.0033444816053512794,-0.0011173184357541333
15.35,14.78,14.76,17.74,2061.81,False,False,300983.SZ,2024-07-15,-0.0013531799729363803,-0.038436482084690526
17.09,16.91,16.91,18.6,18156.78,False,False,001336.SZ,2024-07-16,0.0,-0.010532475131655894
12.75,12.52,12.62,15.02,30006.0,False,False,301188.SZ,2024-07-16,0.007987220447284393,-0.010196078431372602
16.91,16.35,16.21,17.99,12704.78,False,False,001336.SZ,2024-07-17,-0.008562691131498545,-0.04139562389118856
38.78,37.17,37.17,40.89,10813.52,False,False,001283.SZ,2024-07-17,0.0,-0.041516245487364656
6.55,6.63,6.61,7.29,28236.0,False,False,603889.SH,2024-07-18,-0.003016591251885359,0.009160305343511421
3.75,3.79,3.75,4.55,40761.59,False,False,300326.SZ,2024-07-18,-0.01055408970976257,0.0
7.12,7.12,7.05,8.54,68642.02,False,False,300887.SZ,2024-07-19,-0.0098314606741573,-0.0098314606741573
3.75,3.8,3.78,4.56,46362.39,False,False,300326.SZ,2024-07-19,-0.0052631578947368585,0.008000000000000007
3.78,3.85,3.83,4.62,48545.22,False,False,300326.SZ,2024-07-22,-0.0051948051948051965,0.013227513227513255
6.78,6.91,6.96,7.6,178133.11,False,False,600834.SH,2024-07-22,0.00723589001447178,0.026548672566371723
3.29,3.15,3.14,3.47,1463103.19,False,False,000630.SZ,2024-07-23,-0.0031746031746030523,-0.045592705167173175
13.36,12.97,12.95,14.27,43557.5,False,False,603239.SH,2024-07-23,-0.0015420200462606948,-0.030688622754491024
9.6,9.14,9.13,10.05,34775.0,False,False,603600.SH,2024-07-24,-0.001094091903719896,-0.048958333333333215
6.99,6.82,6.81,7.5,475573.13,False,False,002532.SZ,2024-07-24,-0.0014662756598241566,-0.025751072961373467
9.13,8.9,8.95,9.79,30164.37,False,False,603600.SH,2024-07-25,0.00561797752808979,-0.019715224534501807
16.08,15.43,15.55,16.97,1753896.1,False,False,601899.SH,2024-07-25,0.007777057679844601,-0.03296019900497493
9.11,9.18,9.19,10.1,6508.0,False,False,605122.SH,2024-07-26,0.0010893246187364536,0.008781558726673966
15.55,15.85,16.0,17.44,1439936.3,False,False,601899.SH,2024-07-26,0.009463722397476282,0.02893890675241151
9.96,9.96,10.96,10.96,460467.76,True,True,603988.SH,2024-07-29,0.10040160642570273,0.10040160642570273
9.19,9.24,9.24,10.16,8648.8,False,False,605122.SH,2024-07-29,0.0,0.005440696409140466
20.23,19.29,19.27,21.22,407807.35,False,False,600183.SH,2024-07-30,-0.0010368066355624928,-0.04745427582797834
8.49,8.59,8.81,9.45,741053.04,False,False,000737.SZ,2024-07-30,0.025611175785797524,0.03769140164899887
5.99,6.16,6.18,6.78,29672.06,False,False,603903.SH,2024-07-31,0.0032467532467532756,0.03171953255425697
21.66,22.65,22.68,24.92,9594.0,False,False,605289.SH,2024-07-31,0.0013245033112583293,0.047091412742382266
5.35,5.33,5.29,5.86,42950.5,False,False,003037.SZ,2024-08-01,-0.007504690431519689,-0.01121495327102795
22.68,22.7,22.55,24.97,11641.25,False,False,605289.SH,2024-08-01,-0.0066079295154184425,-0.0057319223985889955
8.55,8.14,8.0,8.95,350813.31,False,False,600834.SH,2024-08-02,-0.017199017199017286,-0.06432748538011701
12.37,12.4,12.38,13.64,5775.76,False,False,605259.SH,2024-08-02,-0.001612903225806428,0.0008084074373484462
9.45,9.3,9.42,10.23,5975.6,False,False,605122.SH,2024-08-05,0.012903225806451424,-0.0031746031746030523
12.38,12.22,12.19,13.44,3234.36,False,False,605259.SH,2024-08-05,-0.002454991816694063,-0.015347334410339308
9.42,9.48,9.55,10.43,5129.0,False,False,605122.SH,2024-08-06,0.007383966244725704,0.013800424628450214
5.21,5.31,5.33,5.84,26758.19,False,False,003037.SZ,2024-08-06,0.0037664783427495685,0.02303262955854124
9.55,9.5,9.48,10.45,5374.0,False,False,605122.SH,2024-08-07,-0.002105263157894721,-0.007329842931937169
10.62,10.62,9.56,11.68,88258.0,False,False,603390.SH,2024-08-07,-0.09981167608286245,-0.09981167608286245
9.48,9.47,9.46,10.42,6430.0,False,False,605122.SH,2024-08-08,-0.001055966209081327,-0.002109704641350185
6.0,6.08,6.1,6.69,18067.0,False,False,603903.SH,2024-08-08,0.0032894736842103978,0.016666666666666607
9.46,9.44,9.47,10.38,7048.0,False,False,605122.SH,2024-08-09,0.0031779661016950733,0.0010570824524311906
6.1,6.06,6.1,6.67,33186.6,False,False,603903.SH,2024-08-09,0.0066006600660066805,0.0
9.47,9.43,9.42,10.37,7918.6,False,False,605122.SH,2024-08-12,-0.0010604453870625141,-0.0052798310454066355
12.35,12.47,12.68,13.72,5881.12,False,False,605259.SH,2024-08-12,0.016840417000801855,0.026720647773279316
7.36,7.43,7.42,8.17,297654.61,False,False,600834.SH,2024-08-13,-0.0013458950201884479,0.008152173913043459
9.42,9.56,9.55,10.52,53248.57,False,False,605122.SH,2024-08-13,-0.0010460251046024993,0.013800424628450214
5.1,4.92,4.93,5.9,192806.58,False,False,300215.SZ,2024-08-14,0.00203252032520318,-0.033333333333333326
25.93,26.46,26.54,29.11,497715.35,True,False,002827.SZ,2024-08-14,0.003023431594860071,0.02352487466255293
12.49,12.39,12.47,13.63,2105.8,False,False,605259.SH,2024-08-15,0.006456820016142117,-0.0016012810248198228
17.42,17.5,17.69,21.0,12747.2,False,False,300619.SZ,2024-08-15,0.010857142857142899,0.015499425947187007
27.5,27.5,24.75,30.25,71140.0,True,False,002952.SZ,2024-08-16,-0.09999999999999998,-0.09999999999999998
12.47,12.4,12.4,13.64,1951.16,False,False,605259.SH,2024-08-16,0.0,-0.005613472333600655
11.59,11.59,12.75,12.75,481737.25,True,True,000062.SZ,2024-08-19,0.10008628127696295,0.10008628127696295
