N,slip,filter_limitup,n_trades,win_rate,profit_loss_ratio,max_drawdown,daily_excess,n_skip_exec,n_skip_zt,gap_mean,gap_median,buy_zt_ratio
1,0.0,False,488,0.5020491803278688,1.0552529694036024,-0.2845580993465022,-0.0008810736783637591,208,0,0.000756723112299229,0.0,0.05737704918032787
1,0.0,True,484,0.5103305785123967,1.1535684168167772,-0.19174683069187526,-0.0004034920743058103,203,94,-0.0008178578644603998,0.0,0.0
1,0.001,False,488,0.5,1.0641253207610735,-0.520198022301277,-0.0018025468933638416,208,0,0.000756723112299229,0.0,0.05737704918032787
1,0.001,True,484,0.5103305785123967,1.1586502160098036,-0.42763167675918756,-0.0013180521331701517,203,94,-0.0008178578644603998,0.0,0.0
1,0.002,False,488,0.5,1.0595777766552565,-0.682239449949741,-0.0027263117965929703,208,0,0.000756723112299229,0.0,0.05737704918032787
1,0.002,True,484,0.5103305785123967,1.1535684168167766,-0.614473256008882,-0.002232292181618291,203,94,-0.0008178578644603998,0.0,0.0
3,0.0,False,255,0.5372549019607843,1.1262238657827774,-0.3887768744169502,5.1092643507149454e-05,173,0,-1.3926851900159836e-05,0.0,0.07058823529411765
3,0.0,True,251,0.5298804780876494,1.0279470086579572,-0.25306349519628435,-0.000681482199411639,154,56,-0.0020447054509434475,0.0,0.0
3,0.001,False,255,0.5372549019607843,1.126223865782777,-0.4240294464300659,-0.00043159098664242274,173,0,-1.3926851900159836e-05,0.0,0.07058823529411765
3,0.001,True,251,0.5298804780876494,1.0279470086579574,-0.38955009246603733,-0.0011549534837015756,154,56,-0.0020447054509434475,0.0,0.0
3,0.002,False,255,0.5372549019607843,1.1262238657827772,-0.45727914345300635,-0.0009140775768334143,173,0,-1.3926851900159836e-05,0.0,0.07058823529411765
3,0.002,True,251,0.5298804780876494,1.0279470086579572,-0.5011935483818823,-0.001628272613351022,154,56,-0.0020447054509434475,0.0,0.0
5,0.0,False,176,0.5511363636363636,1.3473396336806556,-0.2466621076872284,0.00088866783454298,125,0,-0.0020025858245295413,-0.00031159139368097666,0.03409090909090909
5,0.0,True,174,0.5459770114942529,1.3195106601633377,-0.2390546830233521,0.000611278935098369,129,22,-0.0016498506617757408,-0.0003444501673963707,0.0
5,0.001,False,176,0.5511363636363636,1.364613218727843,-0.26827404825857015,0.000555421340617963,125,0,-0.0020025858245295413,-0.00031159139368097666,0.03409090909090909
5,0.001,True,174,0.5459770114942529,1.3195106601633388,-0.2609401383171044,0.0002822127503609225,129,22,-0.0016498506617757408,-0.0003444501673963707,0.0
5,0.002,False,176,0.5511363636363636,1.3473396336806551,-0.28928501223355785,0.00022231577303350033,125,0,-0.0020025858245295413,-0.00031159139368097666,0.03409090909090909
5,0.002,True,174,0.5459770114942529,1.3195106601633375,-0.28689230297722634,-4.671399166848093e-05,129,22,-0.0016498506617757408,-0.0003444501673963707,0.0
10,0.0,False,109,0.5412844036697247,1.2034490944374134,-0.23480392598107203,0.00024193460296950296,120,0,-0.002384341946941,0.0,0.06422018348623854
10,0.0,True,105,0.5714285714285714,1.2974442108076818,-0.2030972354402939,0.0006065459246477752,118,20,-0.001968287023600538,0.0,0.0
10,0.001,False,109,0.5412844036697247,1.2034490944374137,-0.25514975093173,3.7614163509224006e-05,120,0,-0.002384341946941,0.0,0.06422018348623854
10,0.001,True,105,0.5714285714285714,1.2974442108076814,-0.21036597517159872,0.00040927454442849843,118,20,-0.001968287023600538,0.0,0.0
10,0.002,False,109,0.5412844036697247,1.2034490944374132,-0.274969771707116,-0.000166660247114759,120,0,-0.002384341946941,0.0,0.06422018348623854
10,0.002,True,105,0.5714285714285714,1.297444210807682,-0.2183112605857349,0.00021205394113284486,118,20,-0.001968287023600538,0.0,0.0
