trade_date,real_top2,proxy_top2,n_overlap,n_real,n_proxy
2025-12-22,002818.SZ|603788.SH,002818.SZ|603788.SH,2,2,2
2025-12-23,601138.SH|603788.SH,601138.SH|603338.SH,1,2,2
2025-12-24,300881.SZ|605500.SH,300881.SZ|605500.SH,2,2,2
2025-12-25,300514.SZ|301552.SZ,301552.SZ|603165.SH,1,2,2
2025-12-26,300514.SZ|603788.SH,300371.SZ|603788.SH,1,2,2
2025-12-29,300371.SZ|603788.SH,600817.SH|603788.SH,1,2,2
2025-12-30,603586.SH|603788.SH,603586.SH|603788.SH,2,2,2
2025-12-31,002869.SZ|301362.SZ,300371.SZ|301362.SZ,1,2,2
2026-01-05,301362.SZ|301559.SZ,300514.SZ|301362.SZ,1,2,2
2026-01-06,002818.SZ|601065.SH,301362.SZ|301559.SZ,0,2,2
2026-01-07,301362.SZ|301508.SZ,301362.SZ|301508.SZ,2,2,2
2026-01-08,301362.SZ|301559.SZ,301362.SZ|301559.SZ,2,2,2
2026-01-09,301362.SZ|600560.SH,300514.SZ|301362.SZ,1,2,2
2026-01-12,002835.SZ|603060.SH,002835.SZ|603060.SH,2,2,2
2026-01-13,002880.SZ|300439.SZ,300514.SZ|300864.SZ,0,2,2
2026-01-14,300864.SZ|605166.SH,300371.SZ|603639.SH,0,2,2
2026-01-15,300851.SZ|603801.SH,300851.SZ|603801.SH,2,2,2
2026-01-16,605158.SH,603060.SH|605158.SH,1,1,2
2026-01-19,603310.SH|605158.SH,603153.SH|603310.SH,1,2,2
2026-01-20,002327.SZ|605158.SH,002327.SZ|603706.SH,1,2,2
2026-01-21,002088.SZ|605158.SH,002327.SZ|605158.SH,1,2,2
2026-01-22,002327.SZ|603801.SH,002327.SZ|603801.SH,2,2,2
2026-01-23,600007.SH|603310.SH,002327.SZ|603970.SH,0,2,2
2026-01-26,000028.SZ|002327.SZ,000028.SZ|002327.SZ,2,2,2
2026-01-27,002327.SZ|603976.SH,002327.SZ|603976.SH,2,2,2
2026-01-28,002327.SZ,002327.SZ|301055.SZ,1,1,2
2026-01-29,002327.SZ|301055.SZ,002327.SZ|301055.SZ,2,2,2
2026-01-30,002327.SZ|002790.SZ,002327.SZ|002461.SZ,1,2,2
2026-02-02,002394.SZ|300926.SZ,300926.SZ|600746.SH,1,2,2
2026-02-03,002394.SZ|300926.SZ,300454.SZ|300926.SZ,1,2,2
2026-02-04,002327.SZ|300662.SZ,002327.SZ|300662.SZ,2,2,2
2026-02-05,002461.SZ|301219.SZ,301219.SZ|603223.SH,1,2,2
2026-02-06,300389.SZ|301219.SZ,300662.SZ|301219.SZ,1,2,2
2026-02-09,300454.SZ|603137.SH,603223.SH|605158.SH,0,2,2
2026-02-10,001314.SZ|300549.SZ,300549.SZ|301219.SZ,1,2,2
2026-02-11,300549.SZ|600508.SH,301022.SZ|603801.SH,0,2,2
2026-02-12,603801.SH|605158.SH,000726.SZ|603801.SH,1,2,2
