trade_date,real_top2,proxy_top2,n_overlap,n_real,n_proxy
2024-12-20,301329.SZ|605555.SH,301329.SZ|605555.SH,2,2,2
2024-12-23,-,001368.SZ|603176.SH,0,0,2
2024-12-24,603176.SH,603519.SH,0,1,1
2024-12-25,-,-,0,0,0
2024-12-26,002692.SZ,002692.SZ|603506.SH,1,1,2
2024-12-27,603176.SH|603903.SH,603176.SH,1,2,1
2024-12-30,-,-,0,0,0
2024-12-31,-,-,0,0,0
2025-01-02,-,002135.SZ|300855.SZ,0,0,2
2025-01-03,-,001278.SZ|603848.SH,0,0,2
2025-01-06,-,603848.SH|603867.SH,0,0,2
2025-01-07,300962.SZ|600662.SH,300962.SZ|601888.SH,1,2,2
2025-01-08,300174.SZ|603260.SH,300174.SZ|300962.SZ,1,2,2
2025-01-09,-,300962.SZ|301036.SZ,0,0,2
2025-01-10,-,001289.SZ|603815.SH,0,0,2
2025-01-13,001326.SZ|301036.SZ,-,0,2,0
2025-01-14,002838.SZ|600861.SH,000011.SZ|600861.SH,1,2,2
2025-01-15,000987.SZ,000987.SZ,1,1,1
2025-01-16,600780.SH|605266.SH,000028.SZ|605266.SH,1,2,2
2025-01-17,300559.SZ|600059.SH,000028.SZ|300559.SZ,1,2,2
2025-01-20,002322.SZ|605577.SH,002004.SZ|002322.SZ,1,2,2
2025-01-21,003008.SZ|301309.SZ,003008.SZ|301309.SZ,2,2,2
2025-01-22,003008.SZ|600132.SH,000937.SZ|003008.SZ,1,2,2
2025-01-23,003008.SZ|605180.SH,003008.SZ|605180.SH,2,2,2
2025-01-24,003008.SZ|605189.SH,003008.SZ|603329.SH,1,2,2
2025-01-27,003008.SZ|603726.SH,003008.SZ|603726.SH,2,2,2
2025-02-05,002004.SZ|002877.SZ,002877.SZ|300502.SZ,1,2,2
2025-02-06,001225.SZ|002692.SZ,002692.SZ|600183.SH,1,2,2
2025-02-07,300308.SZ|603329.SH,300308.SZ|300610.SZ,1,2,2
2025-02-10,300564.SZ|300610.SZ,300610.SZ|603700.SH,1,2,2
2025-02-11,603329.SH|603898.SH,603055.SH|603329.SH,1,2,2
2025-02-12,301190.SZ|603700.SH,300610.SZ|301190.SZ,1,2,2
2025-02-13,300564.SZ|603726.SH,301190.SZ|603726.SH,1,2,2
2025-02-14,300625.SZ|603700.SH,300625.SZ|301190.SZ,1,2,2
2025-02-17,301206.SZ|603329.SH,002930.SZ|603329.SH,1,2,2
2025-02-18,301190.SZ|603329.SH,300907.SZ|603329.SH,1,2,2
2025-02-19,300907.SZ|301190.SZ,300160.SZ|301190.SZ,1,2,2
2025-02-20,002687.SZ|603329.SH,002687.SZ|600379.SH,1,2,2
2025-02-21,300854.SZ|603329.SH,300294.SZ|605369.SH,0,2,2
2025-02-24,600853.SH|601065.SH,600853.SH|601065.SH,2,2,2
2025-02-25,300864.SZ|301468.SZ,300864.SZ|301468.SZ,2,2,2
2025-02-26,301559.SZ|603076.SH,301559.SZ|603076.SH,2,2,2
2025-02-27,000920.SZ|002968.SZ,000028.SZ|002968.SZ,1,2,2
2025-02-28,603303.SH,001234.SZ|301272.SZ,0,1,2
2025-03-03,002968.SZ|301272.SZ,000028.SZ|002968.SZ,1,2,2
2025-03-04,301322.SZ|301559.SZ,000028.SZ|301559.SZ,1,2,2
2025-03-05,300834.SZ|603172.SH,301322.SZ|301559.SZ,0,2,2
2025-03-06,001218.SZ|603889.SH,001218.SZ|601699.SH,1,2,2
2025-03-07,300834.SZ|603889.SH,001218.SZ|002692.SZ,0,2,2
2025-03-10,000920.SZ|301276.SZ,000920.SZ|301276.SZ,2,2,2
2025-03-11,301559.SZ|601065.SH,001218.SZ|601065.SH,1,2,2
2025-03-12,300881.SZ|603889.SH,300881.SZ|603515.SH,1,2,2
2025-03-13,000920.SZ|301559.SZ,000920.SZ|605128.SH,1,2,2
2025-03-14,301203.SZ|603231.SH,301203.SZ|603231.SH,2,2,2
2025-03-17,301203.SZ|603889.SH,603231.SH|603889.SH,1,2,2
2025-03-18,603231.SH|603889.SH,601089.SH|603231.SH,1,2,2
2025-03-19,603235.SH|603365.SH,002393.SZ|603235.SH,1,2,2
2025-03-20,301345.SZ|600475.SH,301345.SZ|600475.SH,2,2,2
2025-03-21,600114.SH|603706.SH,600114.SH|600116.SH,1,2,2
2025-03-24,002327.SZ|600116.SH,002692.SZ|600116.SH,1,2,2
2025-03-25,301108.SZ|603889.SH,002327.SZ|603320.SH,0,2,2
2025-03-26,301108.SZ|603558.SH,301108.SZ|603558.SH,2,2,2
2025-03-27,002917.SZ|603970.SH,301108.SZ|603970.SH,1,2,2
2025-03-28,000554.SZ,000554.SZ|301005.SZ,1,1,2
2025-03-31,-,600765.SH|600989.SH,0,0,2
2025-04-01,002130.SZ|600989.SH,002130.SZ|301379.SZ,1,2,2
2025-04-02,301130.SZ|603889.SH,301130.SZ|301379.SZ,1,2,2
2025-04-03,002063.SZ|301345.SZ,301345.SZ|301379.SZ,1,2,2
2025-04-07,002705.SZ,002705.SZ|300196.SZ,1,1,2
2025-04-08,002790.SZ|605259.SH,002083.SZ|002790.SZ,1,2,2
2025-04-09,001326.SZ|002083.SZ,001387.SZ|603309.SH,0,2,2
2025-04-10,002980.SZ|301309.SZ,001326.SZ|002980.SZ,1,2,2
2025-04-11,301309.SZ|603190.SH,-,0,2,0
2025-04-14,300818.SZ|301309.SZ,300818.SZ|301589.SZ,1,2,2
2025-04-15,301318.SZ|603703.SH,002938.SZ|301318.SZ,1,2,2
2025-04-16,-,002955.SZ|301318.SZ,0,0,2
2025-04-17,001387.SZ|002996.SZ,001387.SZ|002996.SZ,2,2,2
2025-04-18,300991.SZ|301318.SZ,300991.SZ|301318.SZ,2,2,2
2025-04-21,002282.SZ|002444.SZ,002444.SZ|301318.SZ,1,2,2
2025-04-22,001326.SZ|002996.SZ,002360.SZ|002996.SZ,1,2,2
2025-04-23,002996.SZ|300833.SZ,002996.SZ|300833.SZ,2,2,2
2025-04-24,000528.SZ|300833.SZ,000528.SZ|300833.SZ,2,2,2
2025-04-25,000528.SZ|300627.SZ,002790.SZ|300627.SZ,1,2,2
2025-04-28,000528.SZ,000528.SZ|600997.SH,1,1,2
2025-04-29,000528.SZ|002790.SZ,002458.SZ|603317.SH,0,2,2
2025-04-30,000528.SZ|002458.SZ,000528.SZ|603317.SH,1,2,2
2025-05-06,000411.SZ|603878.SH,000411.SZ|002299.SZ,1,2,2
2025-05-07,000528.SZ|000707.SZ,000528.SZ|000707.SZ,2,2,2
2025-05-08,300389.SZ|601512.SH,300389.SZ|601512.SH,2,2,2
2025-05-09,603878.SH,300433.SZ|603305.SH,0,1,2
2025-05-12,300833.SZ|301186.SZ,002051.SZ|300833.SZ,1,2,2
2025-05-13,002051.SZ|300642.SZ,002051.SZ|300833.SZ,1,2,2
2025-05-14,000707.SZ|603153.SH,603153.SH|603878.SH,1,2,2
2025-05-15,-,300833.SZ|301282.SZ,0,0,2
2025-05-16,300833.SZ|603551.SH,000707.SZ|603153.SH,0,2,2
2025-05-19,002790.SZ|603153.SH,603017.SH|603153.SH,1,2,2
2025-05-20,002150.SZ|603208.SH,603208.SH|603277.SH,1,2,2
2025-05-21,-,301282.SZ|603208.SH,0,0,2
2025-05-22,-,301203.SZ|601702.SH,0,0,2
2025-05-23,-,300833.SZ|603277.SH,0,0,2
2025-05-26,300833.SZ|603878.SH,300833.SZ|603551.SH,1,2,2
2025-05-27,301207.SZ|603551.SH,301207.SZ|603277.SH,1,2,2
2025-05-28,002790.SZ|603551.SH,002790.SZ|300833.SZ,1,2,2
2025-05-29,603060.SH|603153.SH,603060.SH|603153.SH,2,2,2
2025-05-30,603153.SH,300642.SZ|603153.SH,1,1,2
2025-06-03,002790.SZ|603180.SH,603180.SH|603551.SH,1,2,2
2025-06-04,002790.SZ|603317.SH,002790.SZ|603317.SH,2,2,2
2025-06-05,002463.SZ|300627.SZ,002311.SZ|002463.SZ,1,2,2
2025-06-06,002463.SZ|300294.SZ,002463.SZ|300294.SZ,2,2,2
2025-06-09,000707.SZ|600909.SH,600909.SH|603301.SH,1,2,2
2025-06-10,300181.SZ|600063.SH,600063.SH|603301.SH,1,2,2
2025-06-11,000731.SZ|002458.SZ,002458.SZ|603301.SH,1,2,2
2025-06-12,600373.SH|603301.SH,600373.SH|603301.SH,2,2,2
2025-06-13,-,000869.SZ|301035.SZ,0,0,2
2025-06-16,000731.SZ|601555.SH,000731.SZ|601555.SH,2,2,2
2025-06-17,000731.SZ|601555.SH,000731.SZ|601555.SH,2,2,2
2025-06-18,002912.SZ,601555.SH|603896.SH,0,1,2
2025-06-19,002258.SZ|601555.SH,600694.SH|601555.SH,1,2,2
2025-06-20,002311.SZ|601555.SH,002258.SZ|601555.SH,1,2,2
2025-06-23,002258.SZ|601555.SH,601138.SH|601555.SH,1,2,2
2025-06-24,300627.SZ|601555.SH,300627.SZ|601555.SH,2,2,2
2025-06-25,002463.SZ|300458.SZ,002463.SZ|300458.SZ,2,2,2
2025-06-26,002463.SZ|601138.SH,002463.SZ|601138.SH,2,2,2
2025-06-27,601138.SH|603499.SH,601138.SH|603499.SH,2,2,2
2025-06-30,301158.SZ|601138.SH,601138.SH|603499.SH,1,2,2
2025-07-01,300160.SZ|601138.SH,002935.SZ|601138.SH,1,2,2
2025-07-02,300308.SZ|301158.SZ,300308.SZ|301158.SZ,2,2,2
2025-07-03,300308.SZ|601138.SH,300308.SZ|601138.SH,2,2,2
2025-07-04,600183.SH|601138.SH,300308.SZ|601138.SH,1,2,2
2025-07-07,002233.SZ|300308.SZ,002935.SZ|300308.SZ,1,2,2
2025-07-08,300308.SZ|300628.SZ,300308.SZ|601568.SH,1,2,2
2025-07-09,002140.SZ|002233.SZ,002140.SZ|002233.SZ,2,2,2
2025-07-10,600284.SH|600853.SH,002233.SZ|600284.SH,1,2,2
2025-07-11,002088.SZ|600663.SH,002140.SZ|600663.SH,1,2,2
2025-07-14,002242.SZ|600995.SH,002242.SZ|600995.SH,2,2,2
2025-07-15,002938.SZ,001326.SZ|002938.SZ,1,1,2
2025-07-16,002101.SZ|600895.SH,002101.SZ|600895.SH,2,2,2
2025-07-17,002101.SZ|003012.SZ,002101.SZ|600894.SH,1,2,2
2025-07-18,600895.SH|605098.SH,600895.SH|605098.SH,2,2,2
2025-07-21,001288.SZ|603279.SH,001288.SZ|603279.SH,2,2,2
2025-07-22,001338.SZ|600007.SH,000028.SZ|600895.SH,0,2,2
2025-07-23,301345.SZ|600895.SH,000028.SZ|600895.SH,1,2,2
2025-07-24,000028.SZ|600007.SH,000028.SZ|600895.SH,1,2,2
2025-07-25,000028.SZ|600007.SH,000028.SZ|600007.SH,2,2,2
2025-07-28,002130.SZ|002201.SZ,000600.SZ|002461.SZ,0,2,2
2025-07-29,000600.SZ|600268.SH,000557.SZ|600268.SH,1,2,2
2025-07-30,002088.SZ|603208.SH,000557.SZ|002088.SZ,1,2,2
2025-07-31,603101.SH,002641.SZ|603101.SH,1,1,2
2025-08-01,002088.SZ|603223.SH,002088.SZ|603101.SH,1,2,2
2025-08-04,000090.SZ|603101.SH,003002.SZ|603101.SH,1,2,2
2025-08-05,003002.SZ|603101.SH,003002.SZ|603101.SH,2,2,2
2025-08-06,003002.SZ|603101.SH,000090.SZ|603101.SH,1,2,2
2025-08-07,002938.SZ|603101.SH,002015.SZ|002938.SZ,1,2,2
2025-08-08,002938.SZ|605365.SH,001283.SZ|605365.SH,1,2,2
2025-08-11,001283.SZ|603381.SH,002376.SZ|603381.SH,1,2,2
2025-08-12,300590.SZ|603381.SH,603381.SH|603499.SH,1,2,2
2025-08-13,002324.SZ|603499.SH,001283.SZ|603499.SH,1,2,2
2025-08-14,002734.SZ,002324.SZ|002734.SZ,1,1,2
