选股日,次日,代码,open→close%
2026-08-17,2026-08-18,300201.SZ,-0.13
2026-08-17,2026-08-18,300919.SZ,-1.59
2026-08-18,2026-08-19,603155.SH,-4.36
2026-08-18,2026-08-19,300201.SZ,-5.16
2026-08-19,2026-08-20,002845.SZ,1.15
2026-08-19,2026-08-20,002725.SZ,1.08
2026-08-20,2026-08-21,002918.SZ,2.22
2026-08-20,2026-08-21,300590.SZ,1.11
2026-08-21,2026-08-24,600522.SH,-2.66
2026-08-21,2026-08-24,603032.SH,8.13
2026-08-24,2026-08-25,001266.SZ,2.89
2026-08-24,2026-08-25,002137.SZ,3.83
