N,mode,n_trades,daily_excess,win_rate,pl_ratio,mdd,calmar,avg_hold,mean_ret,std_ret,pct_lt_stop,turnover,skip_down,delist,reasons,label
5,none,161,-0.000858498120125539,0.546583850931677,0.9669871460115759,-0.42501238524578544,-0.5090240514909351,5.0062111801242235,0.003489450633973817,0.06347584311477644,0.11801242236024845,0.312015503875969,4,0,MATURE:161,无止损(纯alpha上界)
5,fixed,172,-0.0005135094026226047,0.5697674418604651,0.9679158699990537,-0.41406702118101735,-0.3125203477731804,4.645348837209302,0.006405849639843013,0.0670880525716517,0.12790697674418605,0.3333333333333333,1,0,MATURE:150; STOP:18; TP:4,固定-7%/+15%(回测原口径)
5,live_trail,176,-0.0009227710150599242,0.5454545454545454,0.9707053503393008,-0.34671131152289547,-0.6706971710086389,4.534090909090909,0.0036837722369781997,0.06709535616164189,0.13068181818181818,0.34108527131782945,2,0,MATURE:141; STOP:21; TRAIL:9; TP:5,实盘口径:-7%+8%追盈+15%
5,atr,168,-0.0005754620705747868,0.5535714285714286,1.0088804387732073,-0.3967734801754893,-0.3654892502409859,4.773809523809524,0.005514011433299241,0.06929031784818195,0.10714285714285714,0.32558139534883723,6,0,MATURE:149; ATR_STOP:11; ATR_TRAIL:8,ATR自适应 2.0/2.5
5,atr,171,-0.0006835370412656701,0.5029239766081871,1.1590899009196571,-0.4455419861518155,-0.3866107791247655,4.6725146198830405,0.004624966149394364,0.07084130817131548,0.11695906432748537,0.3313953488372093,6,0,MATURE:145; ATR_TRAIL:15; ATR_STOP:11,ATR自适应 2.0/2.0
5,atr,166,-0.0007822729464691027,0.5481927710843374,0.9597729407735769,-0.38481508732810965,-0.5122792452836707,4.86144578313253,0.003991158202831392,0.06745588868643221,0.10240963855421686,0.32170542635658916,7,0,MATURE:149; ATR_TRAIL:12; ATR_STOP:5,ATR自适应 3.0/3.0
5,time,281,-0.0021546177040574887,0.24199288256227758,2.8390465567706307,-0.5556279514270202,-0.9772072481738774,2.3843416370106763,-0.0012759612208394944,0.05536341259604023,0.046263345195729534,0.5445736434108527,2,0,TIME:208; MATURE:73,时间止损(过半不盈换股)
5,ma,306,-0.002617528247238841,0.4117647058823529,1.1643494422476146,-0.6687610318329316,-0.9863270838259189,2.065359477124183,-0.0030339420897760815,0.05045494986868252,0.06862745098039216,0.5930232558139535,8,0,MA5_BREAK:246; MATURE:52; STOP:8,跌破MA5 + -7%止损
10,none,90,-0.0004958006285416282,0.5111111111111111,1.2340163642492685,-0.2846304120383035,-0.43896137976878075,10.0,0.008681781342506023,0.09440585538917384,0.2,0.1744186046511628,2,0,MATURE:90,无止损(纯alpha上界)
10,fixed,104,-2.9715150647118948e-05,0.5288461538461539,1.3376926145546217,-0.3160541099487767,-0.023692835268896203,8.567307692307692,0.014059799878663263,0.09545746452394106,0.25,0.20155038759689922,2,0,MATURE:72; STOP:23; TP:9,固定-7%/+15%(回测原口径)
10,live_trail,117,0.0008033343704387343,0.5470085470085471,1.4176545213887648,-0.210297176953532,0.9626389868052911,7.504273504273504,0.020592980879846536,0.1038737794559385,0.17094017094017094,0.22674418604651161,1,0,MATURE:64; TRAIL:23; STOP:18; TP:12,实盘口径:-7%+8%追盈+15%
10,atr,106,-0.0005124056844672212,0.5377358490566038,1.1015155087950972,-0.44199141994050184,-0.2921464685968835,8.358490566037736,0.00874888480171612,0.09978766569223495,0.1792452830188679,0.2054263565891473,5,0,MATURE:71; ATR_TRAIL:18; ATR_STOP:17,ATR自适应 2.0/2.5
10,atr,108,0.0012414305800255074,0.5925925925925926,1.400018976091702,-0.3096639125379266,1.0102581976778202,8.148148148148149,0.024569736911401616,0.10043655865675383,0.1574074074074074,0.20930232558139536,5,0,MATURE:68; ATR_TRAIL:29; ATR_STOP:11,ATR自适应 2.0/2.0
10,atr,101,0.000555886475234696,0.6138613861386139,1.1475428622297486,-0.2663110177442344,0.526014255608755,8.861386138613861,0.01938703186453495,0.09447348275709543,0.09900990099009901,0.19573643410852712,6,0,MATURE:78; ATR_TRAIL:19; ATR_STOP:4,ATR自适应 3.0/3.0
10,time,133,-0.0014198099399658699,0.3157894736842105,2.1210809682259315,-0.5566099356325482,-0.6428058178027195,6.503759398496241,0.00033152033600005354,0.08403989354545723,0.12030075187969924,0.25775193798449614,3,0,TIME:86; MATURE:47,时间止损(过半不盈换股)
10,ma,269,-0.001858770750236538,0.44609665427509293,1.173603698563026,-0.5741123797464168,-0.8158859581925451,2.5278810408921935,-0.0007468574628614373,0.05426643962214523,0.048327137546468404,0.5213178294573644,6,0,MA5_BREAK:250; MATURE:13; STOP:6,跌破MA5 + -7%止损
