date,code,en,current_ret,current_reason,current_hold,act8_ret,act8_reason,act8_hold,act8_floor_ret,act8_floor_reason,act8_floor_hold,act5_floor_ret,act5_floor_reason,act5_floor_hold,act8_floor_nb_ret,act8_floor_nb_reason,act8_floor_nb_hold
2024-07-01,600872.SH,3763,-0.05515695067264581,TRAIL,5,-0.12107623318385652,STOP,6,-0.12107623318385652,STOP,6,-0.12107623318385652,STOP,6,-0.12107623318385652,STOP,6
2024-07-02,002028.SZ,3764,-0.03379125217116696,MATURE,10,-0.03379125217116696,MATURE,10,-0.03379125217116696,MATURE,10,-0.011053213327017142,TRAIL,8,-0.03379125217116696,MATURE,10
2024-07-03,300782.SZ,3765,0.04112936066241346,MATURE,10,0.04112936066241346,MATURE,10,0.04112936066241346,MATURE,10,0.04112936066241346,MATURE,10,0.04112936066241346,MATURE,10
2024-07-04,603201.SH,3766,-0.021451104100946417,TRAIL,8,-0.021451104100946417,TRAIL,8,-0.021451104100946417,TRAIL,8,-0.021451104100946417,TRAIL,8,-0.021451104100946417,TRAIL,8
2024-07-05,603137.SH,3767,-0.008884501480750373,MATURE,10,-0.008884501480750373,MATURE,10,-0.008884501480750373,MATURE,10,-0.008884501480750373,MATURE,10,-0.008884501480750373,MATURE,10
2024-07-09,300625.SZ,3769,-0.05424063116370814,MATURE,10,-0.05424063116370814,MATURE,10,-0.05424063116370814,MATURE,10,-0.05424063116370814,MATURE,10,-0.05424063116370814,MATURE,10
2024-07-10,002718.SZ,3770,-0.010718113612004254,TRAIL,5,-0.024651661307609873,MATURE,10,-0.024651661307609873,MATURE,10,-0.010718113612004254,TRAIL,5,-0.024651661307609873,MATURE,10
2024-07-11,605122.SH,3771,-0.0644490644490644,TRAIL,5,-0.053014553014553045,MATURE,10,-0.053014553014553045,MATURE,10,-0.053014553014553045,MATURE,10,-0.053014553014553045,MATURE,10
2024-07-11,301227.SZ,3771,-0.07899159663865551,STOP,9,-0.07899159663865551,STOP,9,-0.07899159663865551,STOP,9,-0.07899159663865551,STOP,9,-0.07899159663865551,STOP,9
2024-07-12,603137.SH,3772,0.028459273797841078,MATURE,10,0.028459273797841078,MATURE,10,0.028459273797841078,MATURE,10,0.028459273797841078,MATURE,10,0.028459273797841078,MATURE,10
2024-07-12,603282.SH,3772,-0.07217766810610748,STOP,7,-0.07217766810610748,STOP,7,-0.07217766810610748,STOP,7,-0.07217766810610748,STOP,7,-0.07217766810610748,STOP,7
2024-07-15,002270.SZ,3773,0.07326621923937382,MATURE,10,0.07326621923937382,MATURE,10,0.07326621923937382,MATURE,10,0.07326621923937382,MATURE,10,0.07326621923937382,MATURE,10
2024-07-16,002935.SZ,3774,-0.07322654462242562,STOP,5,-0.07322654462242562,STOP,5,-0.07322654462242562,STOP,5,-0.07322654462242562,STOP,5,-0.07322654462242562,STOP,5
2024-07-16,603679.SH,3774,0.026876737720111343,TRAIL,7,0.026876737720111343,TRAIL,7,0.026876737720111343,TRAIL,7,0.026876737720111343,TRAIL,7,0.026876737720111343,TRAIL,7
2024-07-17,001283.SZ,3775,-0.05891848264729638,TRAIL,7,-0.05891848264729638,TRAIL,7,-0.05891848264729638,TRAIL,7,-0.05891848264729638,TRAIL,7,-0.05891848264729638,TRAIL,7
2024-07-18,300818.SZ,3776,-0.10088888888888892,STOP,4,-0.10088888888888892,STOP,4,-0.10088888888888892,STOP,4,-0.10088888888888892,STOP,4,-0.10088888888888892,STOP,4
2024-07-19,603617.SH,3777,-0.018115942028985477,MATURE,10,-0.018115942028985477,MATURE,10,-0.018115942028985477,MATURE,10,-0.018115942028985477,MATURE,10,-0.018115942028985477,MATURE,10
2024-07-19,001225.SZ,3777,0.048496240601503704,MATURE,10,0.048496240601503704,MATURE,10,0.048496240601503704,MATURE,10,0.048496240601503704,MATURE,10,0.048496240601503704,MATURE,10
2024-07-22,002679.SZ,3778,0.00913242009132409,TRAIL,5,0.00913242009132409,TRAIL,5,0.00913242009132409,TRAIL,5,0.00913242009132409,TRAIL,5,0.00913242009132409,TRAIL,5
2024-07-23,603320.SH,3779,0.008455034588777721,TRAIL,9,0.008455034588777721,TRAIL,9,0.008455034588777721,TRAIL,9,0.008455034588777721,TRAIL,9,0.008455034588777721,TRAIL,9
2024-07-23,300881.SZ,3779,-0.01770657672849907,MATURE,10,-0.01770657672849907,MATURE,10,-0.01770657672849907,MATURE,10,-0.01770657672849907,MATURE,10,-0.01770657672849907,MATURE,10
2024-07-24,300893.SZ,3780,0.047151277013752324,TRAIL,8,0.047151277013752324,TRAIL,8,0.047151277013752324,TRAIL,8,0.047151277013752324,TRAIL,8,0.047151277013752324,TRAIL,8
2024-07-24,002532.SZ,3780,-0.03083700440528636,MATURE,10,-0.03083700440528636,MATURE,10,-0.03083700440528636,MATURE,10,-0.03083700440528636,MATURE,10,-0.03083700440528636,MATURE,10
2024-07-25,601899.SH,3781,0.0012861736334404128,TRAIL,6,0.0012861736334404128,TRAIL,6,0.0012861736334404128,TRAIL,6,0.0012861736334404128,TRAIL,6,0.0012861736334404128,TRAIL,6
2024-07-25,300881.SZ,3781,0.010855405992184153,MATURE,10,0.010855405992184153,MATURE,10,0.010855405992184153,MATURE,10,-0.004776378636560996,TRAIL,7,0.010855405992184153,MATURE,10
2024-07-26,601500.SH,3782,-0.03679653679653683,MATURE,10,-0.03679653679653683,MATURE,10,-0.03679653679653683,MATURE,10,-0.03679653679653683,MATURE,10,-0.03679653679653683,MATURE,10
2024-07-26,601899.SH,3782,-0.026874999999999982,TRAIL,5,-0.043749999999999956,MATURE,10,-0.043749999999999956,MATURE,10,-0.026874999999999982,TRAIL,5,-0.043749999999999956,MATURE,10
2024-07-29,603993.SH,3783,-0.03830369357045138,TRAIL,5,-0.017783857729138153,MATURE,10,-0.017783857729138153,MATURE,10,-0.002735978112175075,TRAIL,3,-0.017783857729138153,MATURE,10
2024-07-29,605122.SH,3783,0.01948051948051943,MATURE,10,0.01948051948051943,MATURE,10,0.01948051948051943,MATURE,10,0.01948051948051943,MATURE,10,0.01948051948051943,MATURE,10
2024-07-30,000737.SZ,3784,-0.03518728717366637,TRAIL,3,-0.03859250851305329,MATURE,10,-0.03859250851305329,MATURE,10,-0.017026106696935384,TRAIL,2,-0.03859250851305329,MATURE,10
2024-07-30,603429.SH,3784,0.02127659574468077,MATURE,10,0.02127659574468077,MATURE,10,0.02127659574468077,MATURE,10,0.02127659574468077,MATURE,10,0.02127659574468077,MATURE,10
2024-07-31,603337.SH,3785,-0.027632561613144202,MATURE,10,-0.027632561613144202,MATURE,10,-0.027632561613144202,MATURE,10,-0.0022404779686333587,TRAIL,2,-0.027632561613144202,MATURE,10
