N,mode,n_trades,daily_excess,win_rate,pl_ratio,mdd,calmar,avg_hold,mean_ret,std_ret,pct_lt_stop,turnover,skip_down,delist,reasons,label,thr
5,none,161,-0.000858498120125539,0.546583850931677,0.9669871460115759,-0.42501238524578544,-0.5090240514909351,5.0062111801242235,0.003489450633973817,0.06347584311477644,0.11801242236024845,0.312015503875969,4,0,MATURE:161,无止损(纯alpha上界),58.0
5,fixed,172,-0.0005135094026226047,0.5697674418604651,0.9679158699990537,-0.41406702118101735,-0.3125203477731804,4.645348837209302,0.006405849639843013,0.0670880525716517,0.12790697674418605,0.3333333333333333,1,0,MATURE:150; STOP:18; TP:4,固定-7%/+15%(回测原口径),58.0
5,live_trail,176,-0.0009223968451491866,0.5454545454545454,0.9553497718279796,-0.34671131152289547,-0.6704252132894295,4.528409090909091,0.003640723785305608,0.06803143734349634,0.13636363636363635,0.34108527131782945,2,0,MATURE:144; STOP:21; TRAIL:6; TP:5,实盘口径:-7%+8%追盈+15%,58.0
5,atr,168,-0.0006554553389900269,0.5357142857142857,1.060004342292744,-0.3967734801754893,-0.4162948223062476,4.767857142857143,0.005076375704527373,0.07070083633373388,0.11904761904761904,0.32558139534883723,6,0,MATURE:149; ATR_STOP:11; ATR_TRAIL:8,ATR自适应 2.0/2.5,58.0
5,atr,170,-0.0006219011501450878,0.5294117647058824,1.0760615127314923,-0.4504149280227562,-0.3479438182134236,4.688235294117647,0.00495411379109424,0.07041828835052051,0.12352941176470589,0.32945736434108525,7,0,MATURE:146; ATR_STOP:13; ATR_TRAIL:11,ATR自适应 2.0/2.0,58.0
5,atr,165,-0.0004436849458559985,0.5393939393939394,1.0788766785558206,-0.38481508732810965,-0.29055151431830134,4.8969696969696965,0.006435631442789296,0.07061094006620819,0.12121212121212122,0.31976744186046513,6,0,MATURE:152; ATR_TRAIL:8; ATR_STOP:5,ATR自适应 3.0/3.0,58.0
5,time,281,-0.0021546177040574887,0.24199288256227758,2.8390465567706307,-0.5556279514270202,-0.9772072481738774,2.3843416370106763,-0.0012759612208394944,0.05536341259604023,0.046263345195729534,0.5445736434108527,2,0,TIME:208; MATURE:73,时间止损(过半不盈换股),58.0
5,ma,306,-0.002617528247238841,0.4117647058823529,1.1643494422476146,-0.6687610318329316,-0.9863270838259189,2.065359477124183,-0.0030339420897760815,0.05045494986868252,0.06862745098039216,0.5930232558139535,8,0,MA5_BREAK:246; MATURE:52; STOP:8,跌破MA5 + -7%止损,58.0
10,none,90,-0.0004958006285416282,0.5111111111111111,1.2340163642492685,-0.2846304120383035,-0.43896137976878075,10.0,0.008681781342506023,0.09440585538917384,0.2,0.1744186046511628,2,0,MATURE:90,无止损(纯alpha上界),58.0
10,fixed,104,-2.9715150647118948e-05,0.5288461538461539,1.3376926145546217,-0.3160541099487767,-0.023692835268896203,8.567307692307692,0.014059799878663263,0.09545746452394106,0.25,0.20155038759689922,2,0,MATURE:72; STOP:23; TP:9,固定-7%/+15%(回测原口径),58.0
