N,mode,n_trades,daily_excess,win_rate,pl_ratio,mdd,calmar,avg_hold,mean_ret,std_ret,pct_lt_stop,turnover,skip_down,delist,reasons,label,thr
10,live_trail,115,0.001467996887053569,0.5739130434782609,1.5168857213937568,-0.18877790977672848,1.959631908071391,7.6521739130434785,0.026165590226611087,0.10600906565528578,0.2,0.22286821705426357,1,0,MATURE:68; STOP:21; TRAIL:13; TP:13,实盘口径:-7%+8%追盈+15%,58.0
10,atr,106,-0.0005124056844672212,0.5377358490566038,1.1015155087950972,-0.44199141994050184,-0.2921464685968835,8.358490566037736,0.00874888480171612,0.09978766569223495,0.1792452830188679,0.2054263565891473,5,0,MATURE:71; ATR_TRAIL:18; ATR_STOP:17,ATR自适应 2.0/2.5,58.0
10,atr,109,0.0010823618293926785,0.5688073394495413,1.4332414427040217,-0.3145519323198891,0.867122891267353,8.100917431192661,0.023060003428676694,0.10291112771201236,0.1651376146788991,0.21124031007751937,7,0,MATURE:66; ATR_TRAIL:29; ATR_STOP:14,ATR自适应 2.0/2.0,58.0
10,atr,101,0.00033069261731334806,0.594059405940594,1.1306504018179755,-0.3532727886032978,0.23589289141809036,8.831683168316832,0.01715477215704945,0.09841977974546809,0.1188118811881188,0.19573643410852712,6,0,MATURE:78; ATR_TRAIL:16; ATR_STOP:7,ATR自适应 3.0/3.0,58.0
10,time,133,-0.0014198099399658699,0.3157894736842105,2.1210809682259315,-0.5566099356325482,-0.6428058178027195,6.503759398496241,0.00033152033600005354,0.08403989354545723,0.12030075187969924,0.25775193798449614,3,0,TIME:86; MATURE:47,时间止损(过半不盈换股),58.0
10,ma,269,-0.001858770750236538,0.44609665427509293,1.173603698563026,-0.5741123797464168,-0.8158859581925451,2.5278810408921935,-0.0007468574628614373,0.05426643962214523,0.048327137546468404,0.5213178294573644,6,0,MA5_BREAK:250; MATURE:13; STOP:6,跌破MA5 + -7%止损,58.0
5,none,155,-0.0002766403038367832,0.535483870967742,1.1605090443883272,-0.2775499349127065,-0.2511741052607172,5.012903225806451,0.0070097997908122565,0.06803045019119527,0.10967741935483871,0.3003875968992248,4,0,MATURE:155,无止损(纯alpha上界),60.0
5,fixed,166,-0.00030177069167470604,0.536144578313253,1.1653586382814711,-0.23423729010660033,-0.3246546024649518,4.626506024096385,0.00784272080729539,0.06921637401401394,0.13855421686746988,0.32170542635658916,2,0,MATURE:142; STOP:18; TP:6,固定-7%/+15%(回测原口径),60.0
5,live_trail,167,-0.0004034245373480869,0.5209580838323353,1.2120326926418636,-0.23423729010659966,-0.43401707458898553,4.5568862275449105,0.007165413863131981,0.06864493644558418,0.1317365269461078,0.3236434108527132,2,0,MATURE:139; STOP:18; TP:6; TRAIL:4,实盘口径:-7%+8%追盈+15%,60.0
5,atr,163,-0.0010103538255682863,0.50920245398773,1.0798180623123759,-0.35165865354803594,-0.7240235992327969,4.766871165644171,0.002868160287287554,0.06838072281908729,0.13496932515337423,0.31589147286821706,6,0,MATURE:145; ATR_STOP:12; ATR_TRAIL:6,ATR自适应 2.0/2.5,60.0
5,atr,162,-0.0007853884404732366,0.5185185185185185,1.1086145517888417,-0.3361185799573191,-0.588833521266178,4.783950617283951,0.004379230074012569,0.06730253485219982,0.12345679012345678,0.313953488372093,6,0,MATURE:145; ATR_STOP:10; ATR_TRAIL:7,ATR自适应 2.0/2.0,60.0
5,atr,159,-0.0009118552124496168,0.5157232704402516,1.066487473731123,-0.3367121521004518,-0.6824449670255756,4.880503144654088,0.0034626513141523163,0.07539908366853545,0.13836477987421383,0.3081395348837209,6,0,MATURE:148; ATR_STOP:6; ATR_TRAIL:5,ATR自适应 3.0/3.0,60.0
5,time,262,-0.0016650731162869872,0.25190839694656486,2.9702864656052843,-0.42579091668704494,-0.9854564972148628,2.4160305343511452,0.0003498957349161542,0.05306102939194177,0.03435114503816794,0.5077519379844961,2,0,TIME:193; MATURE:69,时间止损(过半不盈换股),60.0
5,ma,274,-0.0021425264734970728,0.4233576642335766,1.1748993685338287,-0.6029824628508347,-0.8954102392440997,2.178832116788321,-0.0020406129171272407,0.04602004041105341,0.058394160583941604,0.5310077519379846,9,0,MA5_BREAK:219; MATURE:50; STOP:5,跌破MA5 + -7%止损,60.0
10,none,89,8.661271346594801e-05,0.550561797752809,1.2095242174538448,-0.34105233319833617,0.06399722760649151,10.0,0.012815517417972561,0.1001095500121866,0.14606741573033707,0.17248062015503876,4,0,MATURE:89,无止损(纯alpha上界),60.0
10,fixed,105,0.00015239548886057034,0.5428571428571428,1.32308912558466,-0.3076812491670228,0.12481639130376954,8.209523809523809,0.016089699448883568,0.0952706860028084,0.21904761904761905,0.20348837209302326,1,0,MATURE:70; STOP:22; TP:13,固定-7%/+15%(回测原口径),60.0
10,live_trail,111,0.0013243694978045527,0.6216216216216216,1.2901420821930762,-0.2092388134338773,1.5950248807552843,7.828828828828829,0.026430310134409017,0.09644890280659718,0.15315315315315314,0.21511627906976744,3,0,MATURE:65; TRAIL:17; STOP:16; TP:13,实盘口径:-7%+8%追盈+15%,60.0
10,atr,104,0.00042982598115362926,0.5384615384615384,1.4147958585654021,-0.31146394041012826,0.3477646468740056,8.26923076923077,0.016752926321901826,0.0966433337942184,0.1346153846153846,0.20155038759689922,6,0,MATURE:66; ATR_TRAIL:22; ATR_STOP:16,ATR自适应 2.0/2.5,60.0
10,atr,104,0.0008670394796030227,0.5192307692307693,1.7789339224316167,-0.31168489842588354,0.7010090959280725,8.326923076923077,0.02240757033018662,0.09951915895414679,0.11538461538461539,0.20155038759689922,5,0,MATURE:67; ATR_TRAIL:26; ATR_STOP:11,ATR自适应 2.0/2.0,60.0
10,atr,98,0.0011261966519164237,0.6428571428571429,1.2701676037929601,-0.21868697129760217,1.2977524659972763,8.938775510204081,0.026327391371748953,0.0969164831752992,0.08163265306122448,0.18992248062015504,7,0,MATURE:76; ATR_TRAIL:18; ATR_STOP:4,ATR自适应 3.0/3.0,60.0
10,time,127,-1.6714310478475967e-05,0.33858267716535434,2.866412491524118,-0.36877082069774647,-0.011421744900007169,6.606299212598425,0.009946571467473147,0.08140586381318529,0.07086614173228346,0.24612403100775193,5,0,TIME:83; MATURE:44,时间止损(过半不盈换股),60.0
10,ma,240,-0.001136999350946403,0.425,1.5475347706869134,-0.3276851574657722,-0.8743875940381034,2.6958333333333333,0.0023040648123400865,0.061634503785001855,0.04583333333333333,0.46511627906976744,7,0,MA5_BREAK:223; MATURE:13; STOP:4,跌破MA5 + -7%止损,60.0
