open,close,open_next,up_limit_next,vol_next,limit_up_t,oneword_next,ts_code,trade_date,overnight_gap,open2open
7.55,8.05,8.05,8.86,143267.82,False,False,002267.SZ,2024-07-01,0.0,0.06622516556291402
9.18,9.78,9.75,10.76,70717.5,False,False,002911.SZ,2024-07-01,-0.0030674846625766694,0.06209150326797386
4.5,4.85,4.83,5.34,66774.0,False,False,601366.SH,2024-07-02,-0.00412371134020606,0.07333333333333325
14.07,14.38,14.31,15.82,14895.4,False,False,002956.SZ,2024-07-02,-0.004867872044506227,0.017057569296375252
4.83,5.06,5.03,5.57,73547.14,False,False,601366.SH,2024-07-03,-0.005928853754940566,0.04140786749482395
40.6,41.48,43.0,45.63,87536.28,False,False,603179.SH,2024-07-03,0.03664416586306651,0.059113300492610765
38.2,39.8,39.68,43.78,35671.55,False,False,603596.SH,2024-07-04,-0.0030150753768843908,0.03874345549738201
9.83,10.29,10.25,11.32,58275.28,False,False,603730.SH,2024-07-04,-0.0038872691933915515,0.042726347914547214
47.2,51.1,50.0,61.32,108885.95,False,False,300347.SZ,2024-07-05,-0.021526418786692814,0.05932203389830493
12.95,14.25,14.1,15.68,303104.6,True,False,601028.SH,2024-07-05,-0.010526315789473717,0.08880308880308885
10.64,11.25,11.12,12.29,237375.63,False,False,000682.SZ,2024-07-08,-0.011555555555555652,0.045112781954887105
140.26,147.52,147.0,162.27,12759.18,False,False,603129.SH,2024-07-08,-0.0035249457700651243,0.04805361471552838
56.78,61.71,61.35,67.88,58234.0,False,False,603893.SH,2024-07-09,-0.005833738454059323,0.08048608665022905
37.08,40.04,39.91,48.05,94296.74,False,False,300373.SZ,2024-07-09,-0.0032467532467532756,0.07632146709816601
20.05,21.57,21.59,25.88,21427.0,False,False,300577.SZ,2024-07-10,0.0009272137227631649,0.07680798004987532
12.78,13.2,13.67,14.52,403257.59,False,False,000636.SZ,2024-07-10,0.03560606060606064,0.06964006259780908
14.48,15.11,15.0,18.13,361153.1,False,False,300207.SZ,2024-07-11,-0.007279947054930513,0.035911602209944826
5.49,5.68,5.65,6.82,272861.31,False,False,300507.SZ,2024-07-11,-0.005281690140845008,0.02914389799635697
26.5,27.89,27.28,30.68,185098.88,False,False,002444.SZ,2024-07-12,-0.021871638580136188,0.02943396226415107
21.89,23.15,22.89,25.47,15310.2,False,False,605598.SH,2024-07-12,-0.011231101511879005,0.045682960255824634
65.57,68.7,68.7,75.57,53974.86,False,False,603392.SH,2024-07-15,0.0,0.04773524477657487
10.45,10.78,10.7,12.94,37260.27,False,False,301062.SZ,2024-07-15,-0.007421150278293154,0.02392344497607657
28.54,30.48,30.47,33.53,33304.14,False,False,002841.SZ,2024-07-16,-0.00032808398950134876,0.06762438682550798
76.18,82.75,82.56,91.03,55885.25,False,False,600563.SH,2024-07-16,-0.0022960725075528154,0.08374901548962965
69.9,73.7,73.01,81.07,44488.58,False,False,603392.SH,2024-07-17,-0.009362279511533234,0.044492131616595154
56.77,59.82,59.33,65.8,61743.82,False,False,603198.SH,2024-07-17,-0.008191240387830145,0.04509423991544814
35.99,38.11,38.11,41.92,129818.87,False,False,002179.SZ,2024-07-18,0.0,0.05890525145873848
37.22,39.0,38.98,42.9,296328.9,False,False,600893.SH,2024-07-18,-0.0005128205128206442,0.0472864051585169
26.38,27.55,27.5,30.31,8457.0,False,False,603235.SH,2024-07-19,-0.001814882032667886,0.04245640636846093
18.05,18.62,18.62,20.48,5546.0,False,False,603130.SH,2024-07-19,0.0,0.03157894736842115
10.54,10.8,10.8,11.88,57944.72,False,False,603856.SH,2024-07-22,0.0,0.024667931688804767
33.65,35.51,35.64,42.61,36299.16,False,False,300863.SZ,2024-07-22,0.0036609405801184547,0.05913818722139674
5.05,5.53,5.42,6.08,305015.35,True,False,603122.SH,2024-07-23,-0.019891500904159143,0.07326732673267333
7.49,8.23,9.05,9.05,23426.08,True,True,603988.SH,2024-07-23,0.09963547995139743,0.20827770360480646
7.64,8.15,8.11,8.97,665788.0,False,False,000598.SZ,2024-07-24,-0.004907975460122782,0.061518324607329866
9.8,10.08,10.01,11.09,121587.43,False,False,002911.SZ,2024-07-24,-0.00694444444444442,0.021428571428571352
8.9,9.15,9.15,10.07,51226.0,False,False,601827.SH,2024-07-25,0.0,0.028089887640449396
4.71,4.9,4.93,5.39,1868164.06,False,False,600905.SH,2024-07-25,0.006122448979591688,0.04670912951167727
13.35,14.16,14.16,15.58,37755.0,False,False,603848.SH,2024-07-26,0.0,0.06067415730337089
7.44,8.08,8.06,9.7,236128.61,True,False,300824.SZ,2024-07-26,-0.0024752475247524774,0.08333333333333326
14.16,14.7,14.69,16.17,136268.0,False,False,603848.SH,2024-07-29,-0.0006802721088434716,0.03742937853107331
