N,PK_OUT,n_trades,daily_excess,win_rate,pl_ratio,mdd,avg_hold,med_hold,mean_ret,turnover,n_skip,skip_down,delist
1,False,452,-0.0025519100526292552,0.5088495575221239,0.9029955829362734,-0.6500636263299588,1.0044247787610618,1.0,-0.0006330123173750301,0.875968992248062,216,2,0
1,True,452,-0.0025519100526292552,0.5088495575221239,0.9029955829362734,-0.6500636263299588,1.0044247787610618,1.0,-0.0006330123173750301,0.875968992248062,216,2,0
3,False,247,-0.0016217811188905442,0.4979757085020243,1.008779756724896,-0.42099080134985445,2.88663967611336,3.0,1.2652316068318253e-05,0.4786821705426357,166,4,0
3,True,432,-0.002759583413813475,0.5046296296296297,0.8768371004434465,-0.6854607228572522,1.2152777777777777,1.0,-0.0013733063845192258,0.8372093023255814,194,2,0
5,False,172,-0.0005135094026226047,0.5697674418604651,0.9679158699990537,-0.41406702118101735,4.645348837209302,5.0,0.006405849639843013,0.3333333333333333,133,1,0
5,True,432,-0.002774531607555982,0.5092592592592593,0.8590752965772985,-0.6967759891974251,1.2361111111111112,1.0,-0.001404695413722502,0.8372093023255814,188,2,0
10,False,104,-2.9715150647118948e-05,0.5288461538461539,1.3376926145546217,-0.3160541099487767,8.567307692307692,10.0,0.014059799878663263,0.20155038759689922,119,2,0
10,True,430,-0.0025926574648189207,0.5093023255813953,0.8930005743427809,-0.7055027639058791,1.2697674418604652,1.0,-0.0008837126508083528,0.8333333333333334,158,2,0
