date,code,reason,pnl
2020-02-10,002830.SZ,买入,0.0
2020-02-10,002731.SZ,买入,0.0
2020-02-10,300592.SZ,买入,0.0
2020-02-10,002297.SZ,买入,0.0
2020-02-10,002893.SZ,买入,0.0
2020-02-10,000088.SZ,买入,0.0
2020-02-10,300756.SZ,买入,0.0
2020-02-10,600317.SH,买入,0.0
2020-02-10,002357.SZ,买入,0.0
2020-02-10,002722.SZ,买入,0.0
2020-02-10,603136.SH,买入,0.0
2020-02-10,002270.SZ,买入,0.0
2020-02-10,002487.SZ,买入,0.0
2020-02-10,600753.SH,买入,0.0
2020-02-10,002150.SZ,买入,0.0
2020-02-10,000612.SZ,买入,0.0
2020-02-10,603192.SH,买入,0.0
2020-02-10,603040.SH,买入,0.0
2020-02-10,603897.SH,买入,0.0
2020-02-10,600681.SH,买入,0.0
2020-02-10,603607.SH,买入,0.0
2020-02-10,603648.SH,买入,0.0
2020-02-10,300752.SZ,买入,0.0
2020-02-10,000680.SZ,买入,0.0
2020-02-17,002297.SZ,调仓,8.226691042047541
2020-02-17,002150.SZ,调仓,1.3490725126475533
2020-02-17,603648.SH,调仓,2.3890784982935287
2020-02-17,000680.SZ,调仓,5.362776025236582
2020-02-17,002264.SZ,买入,0.0
2020-02-17,300681.SZ,买入,0.0
2020-02-17,300484.SZ,买入,0.0
2020-02-17,002956.SZ,买入,0.0
2020-02-17,002345.SZ,买入,0.0
2020-02-24,300592.SZ,调仓,9.063444108761342
2020-02-24,002357.SZ,调仓,13.10211946050095
2020-02-24,603040.SH,调仓,8.004052684903762
2020-02-24,603897.SH,调仓,8.988095238095228
2020-02-24,603607.SH,调仓,8.709338929695697
2020-02-24,300752.SZ,调仓,15.465163109142189
2020-02-24,300681.SZ,调仓,13.588039867109615
2020-02-24,002345.SZ,调仓,5.645161290322576
2020-02-24,603579.SH,买入,0.0
2020-02-24,002532.SZ,买入,0.0
2020-02-24,603218.SH,买入,0.0
2020-02-24,600961.SH,买入,0.0
2020-02-24,000888.SZ,买入,0.0
2020-02-24,600506.SH,买入,0.0
2020-02-24,603317.SH,买入,0.0
2020-02-24,002267.SZ,买入,0.0
2020-02-24,603648.SH,买入,0.0
2020-02-24,600167.SH,买入,0.0
2020-03-02,603136.SH,调仓,0.9296148738379806
2020-03-02,600753.SH,调仓,10.54913294797688
2020-03-02,002956.SZ,调仓,4.441107058571125
2020-03-02,002532.SZ,调仓,-2.287581699346397
2020-03-02,603218.SH,调仓,-3.373015873015872
2020-03-02,000888.SZ,调仓,-1.132686084142387
2020-03-02,603317.SH,调仓,11.414634146341474
2020-03-02,600167.SH,调仓,-1.7021276595744594
2020-03-02,300434.SZ,买入,0.0
2020-03-02,300705.SZ,买入,0.0
2020-03-02,688310.SH,买入,0.0
2020-03-02,000893.SZ,买入,0.0
2020-03-02,603919.SH,买入,0.0
2020-03-02,300809.SZ,买入,0.0
2020-03-02,603998.SH,买入,0.0
2020-03-02,603551.SH,买入,0.0
2020-03-02,603067.SH,买入,0.0
2020-03-02,603871.SH,买入,0.0
2020-03-02,002749.SZ,买入,0.0
2020-03-09,002830.SZ,调仓,6.911636045494318
2020-03-09,002731.SZ,调仓,4.395604395604402
2020-03-09,002893.SZ,调仓,5.624404194470922
2020-03-09,000088.SZ,调仓,2.325581395348819
2020-03-09,300756.SZ,调仓,2.176738141650425
2020-03-09,600317.SH,调仓,5.581395348837215
2020-03-09,002270.SZ,调仓,18.764845605700707
2020-03-09,002487.SZ,调仓,4.077253218884103
2020-03-09,603192.SH,调仓,6.027060270602691
2020-03-09,300484.SZ,调仓,3.2530120481927716
2020-03-09,603648.SH,调仓,-0.3250270855904791
2020-03-09,603919.SH,调仓,-1.2096774193548487
2020-03-09,603067.SH,调仓,2.059925093632975
2020-03-09,603022.SH,买入,0.0
2020-03-09,603203.SH,买入,0.0
2020-03-09,002864.SZ,买入,0.0
2020-03-09,300442.SZ,买入,0.0
2020-03-09,601858.SH,买入,0.0
2020-03-09,000020.SZ,买入,0.0
2020-03-09,600329.SH,买入,0.0
2020-03-09,000883.SZ,买入,0.0
2020-03-09,002729.SZ,买入,0.0
2020-03-09,603351.SH,买入,0.0
2020-03-09,600642.SH,买入,0.0
2020-03-13,600961.SH,止损,-13.774104683195599
2020-03-16,603579.SH,止损,-13.530797711208342
2020-03-16,300705.SZ,止损,-11.15444617784711
2020-03-16,688310.SH,止损,-12.18787158145066
2020-03-16,600506.SH,调仓,-2.4468085106382986
2020-03-16,002267.SZ,调仓,-6.182380216383299
2020-03-16,603022.SH,调仓,5.555555555555536
2020-03-16,002864.SZ,调仓,-5.888612983327423
2020-03-16,600329.SH,调仓,-3.967065868263464
2020-03-16,603351.SH,调仓,-2.4897573274503593
2020-03-16,600642.SH,调仓,-0.1901140684410607
2020-03-16,688310.SH,买入,0.0
2020-03-16,300435.SZ,买入,0.0
2020-03-16,300705.SZ,买入,0.0
