date,value,n_pos
2020-01-02,1000000.0,0
2020-01-03,1000000.0,0
2020-01-06,1000000.0,0
2020-01-07,1000000.0,0
2020-01-08,1000000.0,0
2020-01-09,1000000.0,0
2020-01-10,1000000.0,0
2020-01-13,1000000.0,0
2020-01-14,1000000.0,0
2020-01-15,1000000.0,0
2020-01-16,1000000.0,0
2020-01-17,1000000.0,0
2020-01-20,1000000.0,0
2020-01-21,1000000.0,0
2020-01-22,1000000.0,0
2020-01-23,1000000.0,0
2020-02-03,1000000.0,0
2020-02-04,1000000.0,0
2020-02-05,1000000.0,0
2020-02-06,1000000.0,0
2020-02-07,1000000.0,0
2020-02-10,999255.0299999998,24
2020-02-11,999656.0299999998,24
2020-02-12,1003277.0299999998,24
2020-02-13,997346.0299999998,24
2020-02-14,996864.0299999998,24
2020-02-17,1009440.7649999998,25
2020-02-18,1016817.7649999998,25
2020-02-19,1016938.7649999998,25
2020-02-20,1024556.7649999998,25
2020-02-21,1028348.7649999998,25
2020-02-24,1027139.2619999998,27
2020-02-25,1018960.2619999998,27
2020-02-26,1019174.2619999998,27
2020-02-27,1023584.2619999998,27
2020-02-28,1000797.2619999998,27
2020-03-02,1014112.3359999997,30
2020-03-03,1019591.3359999997,30
2020-03-04,1024718.3359999997,30
2020-03-05,1034733.3359999997,30
2020-03-06,1036149.3359999997,30
2020-03-09,1021291.7889999999,28
2020-03-10,1026450.7889999999,28
2020-03-11,1024178.7889999999,28
2020-03-12,1016620.7889999999,28
2020-03-13,1010711.3509999999,27
2020-03-16,1000446.8969999999,30
2020-03-17,997613.8969999999,30
2020-03-18,992954.2829999999,29
2020-03-19,998634.2829999999,29
2020-03-20,1003418.2829999999,29
2020-03-23,992060.8419999997,29
2020-03-24,1002140.8419999997,29
2020-03-25,1012679.8419999997,29
2020-03-26,1010495.8419999997,29
2020-03-27,1008955.8419999997,29
2020-03-30,997982.2069999998,29
2020-03-31,998717.2069999998,29
2020-04-01,997913.2069999998,29
2020-04-02,1004358.2069999998,29
2020-04-03,1002435.2069999998,29
2020-04-07,1011605.4459999998,26
2020-04-08,1014593.4459999998,26
2020-04-09,1016345.4459999998,26
2020-04-10,1008504.4459999998,26
2020-04-13,1004228.7029999997,30
2020-04-14,1013075.7029999997,30
2020-04-15,1010205.7029999997,30
2020-04-16,1011487.7029999997,30
2020-04-17,1010982.7029999997,30
2020-04-20,1013219.3929999999,31
2020-04-21,1009491.3929999999,31
2020-04-22,1012881.3929999999,31
2020-04-23,1012955.3929999999,31
2020-04-24,1008729.3929999999,31
2020-04-27,1004122.3470000001,31
2020-04-28,991691.3180000001,29
2020-04-29,993456.3180000001,29
2020-04-30,1002029.3180000001,29
2020-05-06,1006837.2340000002,31
2020-05-07,1007289.2340000002,31
2020-05-08,1015475.2340000002,31
2020-05-11,1015945.2130000002,29
2020-05-12,1020025.2130000002,29
2020-05-13,1022895.2130000002,29
2020-05-14,1018162.2130000002,29
2020-05-15,1017745.2130000002,29
2020-05-18,999943.0330000002,28
2020-05-19,1006069.0330000002,28
2020-05-20,1003553.0330000002,28
2020-05-21,1001337.0330000002,28
2020-05-22,997401.7010000001,26
2020-05-25,995111.9170000002,28
2020-05-26,1003330.9170000002,28
2020-05-27,1002509.9170000002,28
2020-05-28,1003128.9170000002,28
2020-05-29,1004447.9170000002,28
2020-06-01,1011743.0110000004,30
2020-06-02,1017278.0110000004,30
2020-06-03,1018157.0110000004,30
2020-06-04,1018135.0110000004,30
2020-06-05,1016741.0110000004,30
2020-06-08,1016144.6340000002,28
2020-06-09,1018536.6340000002,28
2020-06-10,1018839.6340000002,28
2020-06-11,1015547.6340000002,28
2020-06-12,1014683.6340000002,28
2020-06-15,1012739.1500000003,29
2020-06-16,1019717.1500000003,29
2020-06-17,1021835.1500000003,29
2020-06-18,1024281.1500000003,29
2020-06-19,1027576.1500000003,29
2020-06-22,1030480.4370000005,29
2020-06-23,1027425.4370000005,29
2020-06-24,1026337.4370000005,29
2020-06-29,1023744.2880000005,29
2020-06-30,1027660.2880000005,29
2020-07-01,1028533.2880000005,29
2020-07-02,1036911.2880000005,29
2020-07-03,1045668.2880000005,29
2020-07-06,1063232.6970000006,29
2020-07-07,1067269.6970000006,29
2020-07-08,1074422.6970000006,29
2020-07-09,1085337.6970000006,29
2020-07-10,1083117.6970000006,29
2020-07-13,1097484.7060000005,27
2020-07-14,1097776.7060000007,27
2020-07-15,1090116.7060000007,27
2020-07-16,1073919.7060000007,27
2020-07-17,1078186.7060000007,27
