run_id,date,total_asset,cash,market_value,daily_return,benchmark_close,benchmark_return
20260815_200747_6f88ce,2019-01-02,1000000.0,1000000.0,0,0.0,,
20260815_200747_6f88ce,2019-01-03,1006644.625383,7454.257383,999190.368,0.00664463,,
20260815_200747_6f88ce,2019-01-04,1038096.517383,7454.257383,1030642.26,0.03124429,,
20260815_200747_6f88ce,2019-01-07,1064495.445273,-2090.391727,1066585.837,0.02543013,,
20260815_200747_6f88ce,2019-01-08,1050199.709273,-2090.391727,1052290.101,-0.01342959,,
20260815_200747_6f88ce,2019-01-09,1050807.952273,-2090.391727,1052898.344,0.00057917,,
20260815_200747_6f88ce,2019-01-10,1037062.303273,-2090.391727,1039152.695,-0.01308103,,
20260815_200747_6f88ce,2019-01-11,1025053.768273,-2090.391727,1027144.16,-0.01157938,,
20260815_200747_6f88ce,2019-01-14,1022645.664658,-7238.531342,1029884.196,-0.00234925,,
20260815_200747_6f88ce,2019-01-15,1028136.939658,-7238.531342,1035375.471,0.00536968,,
20260815_200747_6f88ce,2019-01-16,1017424.045658,-7238.531342,1024662.577,-0.01041972,,
20260815_200747_6f88ce,2019-01-17,1010929.180658,-7238.531342,1018167.712,-0.00638364,,
20260815_200747_6f88ce,2019-01-18,1017622.960555,-2159.081445,1019782.042,0.00662141,,
20260815_200747_6f88ce,2019-01-21,1009442.388555,-2159.081445,1011601.47,-0.0080389,,
20260815_200747_6f88ce,2019-01-22,999371.477555,-2159.081445,1001530.559,-0.00997671,,
20260815_200747_6f88ce,2019-01-23,1007629.424555,-2159.081445,1009788.506,0.00826314,,
20260815_200747_6f88ce,2019-01-24,1012837.132555,-2159.081445,1014996.214,0.00516828,,
20260815_200747_6f88ce,2019-01-25,1008796.082555,-2159.081445,1010955.164,-0.00398983,,
20260815_200747_6f88ce,2019-01-28,1011278.661555,-2159.081445,1013437.743,0.00246093,,
20260815_200747_6f88ce,2019-01-29,1011695.209555,-2159.081445,1013854.291,0.0004119,,
20260815_200747_6f88ce,2019-01-30,994375.661555,-2159.081445,996534.743,-0.01711933,,
20260815_200747_6f88ce,2019-01-31,986593.328555,-2159.081445,988752.41,-0.00782635,,
20260815_200747_6f88ce,2019-02-01,989746.966555,-2159.081445,991906.048,0.00319649,,
20260815_200747_6f88ce,2019-02-11,984652.733499,-100018.847501,1084671.581,-0.00514701,,
20260815_200747_6f88ce,2019-02-12,989721.684445,-2776.341555,992498.026,0.00514796,,
20260815_200747_6f88ce,2019-02-13,1002608.686445,-2776.341555,1005385.028,0.01302083,,
20260815_200747_6f88ce,2019-02-14,1006254.440445,-2776.341555,1009030.782,0.00363627,,
20260815_200747_6f88ce,2019-02-15,1007946.854445,-2776.341555,1010723.196,0.00168189,,
20260815_200747_6f88ce,2019-02-18,1028681.241445,-2776.341555,1031457.583,0.02057091,,
20260815_200747_6f88ce,2019-02-19,1029027.792445,-2776.341555,1031804.134,0.00033689,,
20260815_200747_6f88ce,2019-02-20,1027675.692445,-2776.341555,1030452.034,-0.00131396,,
20260815_200747_6f88ce,2019-02-21,1022079.022445,-2776.341555,1024855.364,-0.00544595,,
20260815_200747_6f88ce,2019-02-22,1037319.760445,-2776.341555,1040096.102,0.01491151,,
20260815_200747_6f88ce,2019-02-25,1091873.085445,-2776.341555,1094649.427,0.05259065,,
20260815_200747_6f88ce,2019-02-26,1104611.362445,-2776.341555,1107387.704,0.01166644,,
20260815_200747_6f88ce,2019-02-27,1110381.399445,-2776.341555,1113157.741,0.00522359,,
20260815_200747_6f88ce,2019-02-28,1124319.701445,-2776.341555,1127096.043,0.01255272,,
20260815_200747_6f88ce,2019-03-01,1120800.466445,-2776.341555,1123576.808,-0.0031301,,
20260815_200747_6f88ce,2019-03-04,1148616.270445,-2776.341555,1151392.612,0.0248178,,
20260815_200747_6f88ce,2019-03-05,1149852.222445,-2776.341555,1152628.564,0.00107604,,
20260815_200747_6f88ce,2019-03-06,1176593.548445,-2776.341555,1179369.89,0.02325632,,
20260815_200747_6f88ce,2019-03-07,1169102.179445,-2776.341555,1171878.521,-0.006367,,
20260815_200747_6f88ce,2019-03-08,1105727.127445,-2776.341555,1108503.469,-0.05420831,,
20260815_200747_6f88ce,2019-03-11,1125999.724445,-2776.341555,1128776.066,0.01833418,,
20260815_200747_6f88ce,2019-03-12,1143770.779445,-2776.341555,1146547.121,0.01578247,,
20260815_200747_6f88ce,2019-03-13,1119259.769445,-2776.341555,1122036.111,-0.02143,,
20260815_200747_6f88ce,2019-03-14,1103297.763445,-2776.341555,1106074.105,-0.01426122,,
20260815_200747_6f88ce,2019-03-15,1117340.252445,-2776.341555,1120116.594,0.01272774,,
20260815_200747_6f88ce,2019-03-18,1139891.653445,-2776.341555,1142667.995,0.02018311,,
20260815_200747_6f88ce,2019-03-19,1135265.267445,-2776.341555,1138041.609,-0.00405862,,
20260815_200747_6f88ce,2019-03-20,1126220.974445,-2776.341555,1128997.316,-0.00796668,,
20260815_200747_6f88ce,2019-03-21,1150291.334445,-2776.341555,1153067.676,0.02137268,,
20260815_200747_6f88ce,2019-03-22,1148507.384445,-2776.341555,1151283.726,-0.00155087,,
20260815_200747_6f88ce,2019-03-25,1151340.551445,-2776.341555,1154116.893,0.00246683,,
20260815_200747_6f88ce,2019-03-26,1131798.558445,-2776.341555,1134574.9,-0.01697325,,
20260815_200747_6f88ce,2019-03-27,1127933.164445,-2776.341555,1130709.506,-0.00341527,,
20260815_200747_6f88ce,2019-03-28,1118154.807445,-2776.341555,1120931.149,-0.00866927,,
