date,factor,ic
2022-05-31,BP行业中性z,-0.07087
2022-05-31,BP历史分位,0.08619
2022-05-31,ROE,0.03282
2022-05-31,动量1m,0.05534
2022-05-31,波动率60d,-0.02984
2022-05-31,VWAP量价相关,0.17633
2022-06-30,BP行业中性z,-0.02603
2022-06-30,BP历史分位,0.13358
2022-06-30,ROE,-0.01125
2022-06-30,动量1m,0.14157
2022-06-30,波动率60d,-0.00166
2022-06-30,VWAP量价相关,0.12499
2022-07-29,BP行业中性z,0.14271
2022-07-29,BP历史分位,0.16829
2022-07-29,ROE,-0.09577
2022-07-29,动量1m,-0.16793
2022-07-29,波动率60d,-0.22565
2022-07-29,VWAP量价相关,-0.01491
2022-08-31,BP行业中性z,0.16237
2022-08-31,BP历史分位,0.11677
2022-08-31,ROE,-0.02435
2022-08-31,动量1m,0.08448
2022-08-31,波动率60d,-0.23738
2022-08-31,VWAP量价相关,-0.07417
2022-09-30,BP行业中性z,-0.0517
2022-09-30,BP历史分位,0.12726
2022-09-30,ROE,-0.09158
2022-09-30,动量1m,-0.13708
2022-09-30,波动率60d,0.10724
2022-09-30,VWAP量价相关,-0.00879
2022-10-31,BP行业中性z,0.12152
2022-10-31,BP历史分位,0.213
2022-10-31,ROE,-0.06737
2022-10-31,动量1m,-0.22831
2022-10-31,波动率60d,-0.19895
2022-10-31,VWAP量价相关,0.09176
2022-11-30,BP行业中性z,0.01378
2022-11-30,BP历史分位,0.19835
2022-11-30,ROE,-0.03323
2022-11-30,动量1m,0.01723
2022-11-30,波动率60d,-0.08607
2022-11-30,VWAP量价相关,-0.04379
2022-12-30,BP行业中性z,-0.04739
2022-12-30,BP历史分位,0.00396
2022-12-30,ROE,0.03997
2022-12-30,动量1m,-0.2235
2022-12-30,波动率60d,0.04864
2022-12-30,VWAP量价相关,-0.06957
2023-01-31,BP行业中性z,-0.00305
2023-01-31,BP历史分位,0.26493
2023-01-31,ROE,-0.1214
2023-01-31,动量1m,0.05579
2023-01-31,波动率60d,-0.02746
2023-01-31,VWAP量价相关,-0.0601
2023-02-28,BP行业中性z,0.10638
2023-02-28,BP历史分位,0.17649
2023-02-28,ROE,-0.11487
2023-02-28,动量1m,-0.027
2023-02-28,波动率60d,-0.14018
2023-02-28,VWAP量价相关,0.13466
2023-03-31,BP行业中性z,0.09011
2023-03-31,BP历史分位,0.07702
2023-03-31,ROE,-0.07712
2023-03-31,动量1m,-0.01685
2023-03-31,波动率60d,-0.10291
2023-03-31,VWAP量价相关,0.10081
2023-04-28,BP行业中性z,0.05352
2023-04-28,BP历史分位,0.03764
2023-04-28,ROE,-0.0989
2023-04-28,动量1m,-0.18724
2023-04-28,波动率60d,0.01263
2023-04-28,VWAP量价相关,0.07123
2023-05-31,BP行业中性z,-0.11326
2023-05-31,BP历史分位,0.13623
2023-05-31,ROE,-0.00638
2023-05-31,动量1m,0.17586
2023-05-31,波动率60d,0.10302
2023-05-31,VWAP量价相关,0.01765
2023-06-30,BP行业中性z,0.21908
2023-06-30,BP历史分位,0.27973
2023-06-30,ROE,-0.04262
2023-06-30,动量1m,-0.15475
2023-06-30,波动率60d,-0.40248
2023-06-30,VWAP量价相关,-0.257
2023-07-31,BP行业中性z,-0.00399
2023-07-31,BP历史分位,-0.05412
2023-07-31,ROE,-0.08164
2023-07-31,动量1m,-0.02136
2023-07-31,波动率60d,0.03619
2023-07-31,VWAP量价相关,0.09586
2023-08-31,BP行业中性z,0.19434
2023-08-31,BP历史分位,0.30731
2023-08-31,ROE,-0.06238
2023-08-31,动量1m,-0.07834
2023-08-31,波动率60d,-0.1984
2023-08-31,VWAP量价相关,-0.14939
2023-09-28,BP行业中性z,0.02982
2023-09-28,BP历史分位,0.23322
2023-09-28,ROE,-0.21936
2023-09-28,动量1m,0.13248
2023-09-28,波动率60d,-0.11832
2023-09-28,VWAP量价相关,0.06274
2023-10-31,BP行业中性z,0.26981
2023-10-31,BP历史分位,0.0396
2023-10-31,ROE,0.09186
2023-10-31,动量1m,-0.15741
2023-10-31,波动率60d,-0.22019
2023-10-31,VWAP量价相关,-0.00943
2023-11-30,BP行业中性z,0.18278
2023-11-30,BP历史分位,-0.20436
2023-11-30,ROE,0.08341
2023-11-30,动量1m,0.37426
2023-11-30,波动率60d,0.16927
2023-11-30,VWAP量价相关,-0.30779
2023-12-29,BP行业中性z,0.10898
2023-12-29,BP历史分位,0.10555
2023-12-29,ROE,0.09454
2023-12-29,动量1m,0.12565
2023-12-29,波动率60d,-0.27232
2023-12-29,VWAP量价相关,0.05592
2024-01-31,BP行业中性z,-0.09536
2024-01-31,BP历史分位,-0.21781
2024-01-31,ROE,0.22889
2024-01-31,动量1m,-0.39843
2024-01-31,波动率60d,0.26423
2024-01-31,VWAP量价相关,0.34795
2024-02-29,BP行业中性z,0.15835
2024-02-29,BP历史分位,0.43043
2024-02-29,ROE,-0.19304
2024-02-29,动量1m,-0.3173
2024-02-29,波动率60d,-0.15418
2024-02-29,VWAP量价相关,-0.04157
2024-03-29,BP行业中性z,0.11483
2024-03-29,BP历史分位,0.15979
2024-03-29,ROE,0.06925
2024-03-29,动量1m,-0.0658
2024-03-29,波动率60d,-0.28885
2024-03-29,VWAP量价相关,0.02369
2024-04-30,BP行业中性z,0.03771
2024-04-30,BP历史分位,0.1447
2024-04-30,ROE,0.00376
2024-04-30,动量1m,0.14054
2024-04-30,波动率60d,0.08189
2024-04-30,VWAP量价相关,-0.11224
2024-05-31,BP行业中性z,0.10165
2024-05-31,BP历史分位,-0.12028
2024-05-31,ROE,-0.00756
2024-05-31,动量1m,-0.02909
2024-05-31,波动率60d,0.01782
2024-05-31,VWAP量价相关,-0.0505
2024-06-28,BP行业中性z,0.0933
2024-06-28,BP历史分位,0.06719
2024-06-28,ROE,-0.07537
2024-06-28,动量1m,-0.1212
2024-06-28,波动率60d,-0.10036
2024-06-28,VWAP量价相关,-0.06385
2024-07-31,BP行业中性z,0.16159
2024-07-31,BP历史分位,0.33553
2024-07-31,ROE,-0.06655
2024-07-31,动量1m,0.01345
2024-07-31,波动率60d,-0.20741
2024-07-31,VWAP量价相关,-0.19607
2024-08-30,BP行业中性z,-0.05467
2024-08-30,BP历史分位,-0.26801
2024-08-30,ROE,0.00749
2024-08-30,动量1m,-0.23033
2024-08-30,波动率60d,0.2834
2024-08-30,VWAP量价相关,0.19153
2024-09-30,BP行业中性z,0.02406
2024-09-30,BP历史分位,-0.14608
2024-09-30,ROE,0.05235
2024-09-30,动量1m,0.08822
2024-09-30,波动率60d,0.01458
2024-09-30,VWAP量价相关,0.09905
2024-10-31,BP行业中性z,0.07892
2024-10-31,BP历史分位,0.04478
2024-10-31,ROE,-0.01449
2024-10-31,动量1m,-0.00727
2024-10-31,波动率60d,-0.01163
2024-10-31,VWAP量价相关,-0.11731
2024-11-29,BP行业中性z,0.27208
2024-11-29,BP历史分位,0.31498
2024-11-29,ROE,0.03719
2024-11-29,动量1m,-0.16975
2024-11-29,波动率60d,-0.40095
2024-11-29,VWAP量价相关,-0.04348
2024-12-31,BP行业中性z,0.03453
2024-12-31,BP历史分位,0.06436
2024-12-31,ROE,0.1022
2024-12-31,动量1m,-0.19504
2024-12-31,波动率60d,-0.003
2024-12-31,VWAP量价相关,0.07829
2025-01-27,BP行业中性z,-0.12193
2025-01-27,BP历史分位,-0.31425
2025-01-27,ROE,0.08207
2025-01-27,动量1m,-0.00022
2025-01-27,波动率60d,0.39632
2025-01-27,VWAP量价相关,0.02574
2025-02-28,BP行业中性z,0.1397
2025-02-28,BP历史分位,0.19338
2025-02-28,ROE,0.06585
