week,ret
2019-01-07,0.024633741577926315
2019-01-14,-0.0090691380458785
2019-01-21,-0.017530002885904384
2019-01-28,-0.008991102245976046
2019-02-11,0.06571232150418137
2019-02-18,0.07983289387354764
2019-02-25,0.013503414959536676
2019-03-04,0.04910845492153544
2019-03-11,0.031972260359917695
2019-03-18,0.011207387730340957
2019-03-25,0.021505808097685767
2019-04-01,0.04343665635479281
2019-04-08,-0.03910188098459902
2019-04-15,0.09171655255725983
2019-04-22,-0.08780483327944155
2019-04-29,-0.0630026145102418
2019-05-06,0.06027034017898291
2019-05-13,-0.021577029079117727
2019-05-20,0.011434470177795064
2019-05-27,-0.04217833455739067
2019-06-03,-0.03025116359465798
2019-06-10,0.037353389098429876
2019-06-17,0.05567693322312113
2019-06-24,0.007075313354498326
2019-07-01,-0.04380871671613897
2019-07-08,0.04399794367531852
2019-07-15,-0.033500457558692534
2019-07-22,0.022558350085945637
2019-07-29,-0.03527121242361221
2019-08-05,-0.02760056455994107
2019-08-12,0.028729947066416118
2019-08-19,0.016414955791593886
2019-08-26,0.029598324882741896
2019-09-02,0.04219517799741821
2019-09-09,0.025652054549000335
2019-09-16,-0.02017715965698441
2019-09-23,-0.0314092480569132
2019-09-30,0.05685196904681852
2019-10-14,-0.014480890035218678
2019-10-21,0.036788457797194626
2019-10-28,-0.02873199689925747
2019-11-04,-0.04345285207799277
2019-11-11,-0.0008702016969814652
2019-11-18,0.006946109430184789
2019-11-25,0.002134607318425264
2019-12-02,0.023169103089287657
2019-12-09,0.015634325885410673
2019-12-16,0.017623360478073634
2019-12-23,0.02474975678142425
2019-12-30,0.028505394681848116
2020-01-06,0.009613260041147965
2020-01-13,-0.002905358520678714
2020-01-20,-0.1451728100750426
2020-02-03,0.042804684441951894
2020-02-10,0.010207322363860362
2020-02-17,0.04771683845804089
2020-02-24,-0.008904524460404462
2020-03-02,0.015853168107629156
2020-03-09,-0.03943448458706509
2020-03-16,0.018894492843924096
2020-03-23,0.011940856934352562
2020-03-30,0.013856246799419682
2020-04-13,0.04011790144120195
2020-04-20,-0.02516379522044157
2020-04-27,0.04537428744177785
2020-05-11,0.01505203829834369
2020-05-18,0.012848129925653751
2020-05-25,0.02307050748691175
2020-06-01,-0.00222694693316906
2020-06-08,0.008814629660713169
2020-06-15,0.013570074071853323
2020-06-22,-0.03149367539043556
2020-06-29,0.11013319293213814
2020-07-06,0.059668850127426
2020-07-13,0.01741966353989224
2020-07-20,-0.04811449811751388
2020-07-27,0.07363049697047652
2020-08-03,0.05140753212082704
2020-08-10,-0.003939958327144778
2020-08-17,0.010017303713070216
2020-08-24,0.07390203849317897
2020-08-31,-0.004177842496793217
2020-09-07,-0.007045326396062191
2020-09-14,0.011279468593369214
2020-09-21,-0.045720977378551374
2020-09-28,0.06070217621830197
2020-10-12,0.004633805664615066
2020-10-19,-0.01105250085631173
2020-10-26,-0.03076691231925024
2020-11-02,0.035031496702122064
2020-11-09,0.005747215969404186
2020-11-16,0.024323484066370308
2020-11-23,-0.006877715678990237
2020-11-30,0.016995765520368637
2020-12-07,-0.028207619593923376
2020-12-14,-0.005832488143475024
2020-12-21,-0.038456174143252156
2020-12-28,0.016700957659525315
2021-01-04,-0.07121595270862659
2021-01-11,0.06365328627706257
2021-01-18,-0.032380131313630336
2021-01-25,-0.03488775196647667
