week,codes
2024-01-08,"002381.SZ,002394.SZ,002546.SZ,002687.SZ,002763.SZ,002772.SZ,002774.SZ,002788.SZ,603088.SH,603682.SH"
2024-01-15,"002381.SZ,002394.SZ,002546.SZ,002687.SZ,002763.SZ,002772.SZ,002774.SZ,002788.SZ,603088.SH,603682.SH"
2024-01-22,"002381.SZ,002394.SZ,002687.SZ,002772.SZ,002774.SZ,002788.SZ,603017.SH,603088.SH,603682.SH,603811.SH"
2024-01-29,"002381.SZ,002394.SZ,002687.SZ,002772.SZ,002774.SZ,002788.SZ,300272.SZ,603088.SH,603682.SH,603811.SH"
2024-02-05,"002394.SZ,002687.SZ,002774.SZ,300154.SZ,300246.SZ,300335.SZ,300421.SZ,600854.SH,603017.SH,603811.SH"
2024-02-19,"002133.SZ,002394.SZ,002774.SZ,300154.SZ,300246.SZ,300335.SZ,600854.SH,603017.SH,603488.SH,603682.SH"
2024-02-26,"002394.SZ,002687.SZ,002772.SZ,002774.SZ,300246.SZ,300335.SZ,600854.SH,603017.SH,603682.SH,603811.SH"
