week,ts_code,weight
2019-01-07,002150.SZ,0.1
2019-01-07,300200.SZ,0.1
2019-01-07,002553.SZ,0.1
2019-01-07,603519.SH,0.1
2019-01-07,002591.SZ,0.1
2019-01-07,002360.SZ,0.1
2019-01-07,002687.SZ,0.1
2019-01-07,002620.SZ,0.1
2019-01-07,300154.SZ,0.1
2019-01-07,002674.SZ,0.1
2019-01-14,002150.SZ,0.1
2019-01-14,300200.SZ,0.1
2019-01-14,002591.SZ,0.1
2019-01-14,002553.SZ,0.1
2019-01-14,002360.SZ,0.1
2019-01-14,002620.SZ,0.1
2019-01-14,002687.SZ,0.1
2019-01-14,300154.SZ,0.1
2019-01-14,300214.SZ,0.1
2019-01-14,002674.SZ,0.1
2019-01-21,002150.SZ,0.1
2019-01-21,002553.SZ,0.1
2019-01-21,002591.SZ,0.1
2019-01-21,300200.SZ,0.1
2019-01-21,002360.SZ,0.1
2019-01-21,002687.SZ,0.1
2019-01-21,002620.SZ,0.1
2019-01-21,300214.SZ,0.1
2019-01-21,300154.SZ,0.1
2019-01-21,300120.SZ,0.1
2019-01-28,002150.SZ,0.1
2019-01-28,603519.SH,0.1
2019-01-28,002553.SZ,0.1
2019-01-28,002591.SZ,0.1
2019-01-28,300200.SZ,0.1
2019-01-28,002687.SZ,0.1
2019-01-28,002360.SZ,0.1
2019-01-28,002620.SZ,0.1
2019-01-28,300154.SZ,0.1
2019-01-28,300214.SZ,0.1
2019-02-11,002150.SZ,0.1
2019-02-11,603519.SH,0.1
2019-02-11,300200.SZ,0.1
2019-02-11,002553.SZ,0.1
2019-02-11,002591.SZ,0.1
2019-02-11,002687.SZ,0.1
2019-02-11,002360.SZ,0.1
2019-02-11,002620.SZ,0.1
2019-02-11,300154.SZ,0.1
2019-02-11,300214.SZ,0.1
2019-02-18,603519.SH,0.1
2019-02-18,002150.SZ,0.1
2019-02-18,002553.SZ,0.1
2019-02-18,300200.SZ,0.1
2019-02-18,002591.SZ,0.1
2019-02-18,002687.SZ,0.1
2019-02-18,002360.SZ,0.1
2019-02-18,002620.SZ,0.1
2019-02-18,300214.SZ,0.1
2019-02-18,300154.SZ,0.1
2019-02-25,002150.SZ,0.1
2019-02-25,002553.SZ,0.1
2019-02-25,300200.SZ,0.1
2019-02-25,002360.SZ,0.1
2019-02-25,002687.SZ,0.1
2019-02-25,002620.SZ,0.1
2019-02-25,002591.SZ,0.1
2019-02-25,300154.SZ,0.1
2019-02-25,002559.SZ,0.1
2019-02-25,603855.SH,0.1
2019-03-04,002150.SZ,0.1
2019-03-04,002553.SZ,0.1
2019-03-04,300200.SZ,0.1
2019-03-04,002687.SZ,0.1
2019-03-04,002591.SZ,0.1
2019-03-04,002360.SZ,0.1
2019-03-04,002620.SZ,0.1
2019-03-04,300154.SZ,0.1
2019-03-04,002559.SZ,0.1
2019-03-04,300150.SZ,0.1
2019-03-11,002150.SZ,0.1
2019-03-11,300200.SZ,0.1
2019-03-11,002553.SZ,0.1
2019-03-11,002687.SZ,0.1
2019-03-11,002360.SZ,0.1
2019-03-11,002591.SZ,0.1
2019-03-11,002620.SZ,0.1
2019-03-11,300154.SZ,0.1
2019-03-11,002133.SZ,0.1
2019-03-11,002559.SZ,0.1
2019-03-18,002150.SZ,0.1
2019-03-18,300200.SZ,0.1
2019-03-18,002553.SZ,0.1
2019-03-18,002687.SZ,0.1
2019-03-18,002360.SZ,0.1
2019-03-18,002591.SZ,0.1
2019-03-18,002620.SZ,0.1
2019-03-18,300154.SZ,0.1
2019-03-18,002559.SZ,0.1
2019-03-18,300120.SZ,0.1
2019-03-25,002150.SZ,0.1
2019-03-25,300200.SZ,0.1
2019-03-25,002553.SZ,0.1
2019-03-25,002591.SZ,0.1
2019-03-25,002687.SZ,0.1
2019-03-25,002360.SZ,0.1
2019-03-25,002620.SZ,0.1
2019-03-25,300154.SZ,0.1
2019-03-25,002559.SZ,0.1
2019-03-25,300120.SZ,0.1
2019-04-01,600051.SH,0.1
2019-04-01,002150.SZ,0.1
2019-04-01,300200.SZ,0.1
2019-04-01,300179.SZ,0.1
2019-04-01,002591.SZ,0.1
2019-04-01,002687.SZ,0.1
2019-04-01,002627.SZ,0.1
2019-04-01,000637.SZ,0.1
2019-04-01,002620.SZ,0.1
2019-04-01,002057.SZ,0.1
2019-04-08,600051.SH,0.1
2019-04-08,002150.SZ,0.1
2019-04-08,002591.SZ,0.1
2019-04-08,002627.SZ,0.1
2019-04-08,300179.SZ,0.1
2019-04-08,002687.SZ,0.1
2019-04-08,002620.SZ,0.1
2019-04-08,300154.SZ,0.1
2019-04-08,000637.SZ,0.1
2019-04-08,002559.SZ,0.1
