label,month,T_date,T-1,T,T+1,T+2,T+3
HS300,2009-01,2009-01-23,0.0112978617111259,-0.005805186566634979,0.01199449790965823,0.02520438119785351,0.027267166450915203
HS300,2009-02,2009-02-27,-0.049502419658274954,-0.022690320680673004,0.011295082572253312,-0.010399756821606543,0.06675290385285071
HS300,2009-03,2009-03-31,-0.0057800715585983875,0.009378998561875962,0.016122967283132672,0.01105790625777514,-0.0022888526626300143
HS300,2009-04,2009-04-30,0.03448002029754638,0.006738390324598997,0.034837048395570225,0.0046837104654200434,0.01392182071672532
HS300,2009-05,2009-05-27,-0.011970722733474992,0.014688039109275852,0.035739236558017584,0.0023639578468916955,0.025928597929774755
HS300,2009-06,2009-06-30,0.016478280896337072,-0.0042446914626921295,0.02255789878584169,0.013729873933839398,0.013641408511378739
HS300,2009-07,2009-07-31,0.021444380622440695,0.02745777092553192,0.014033816541540123,-0.00011037664578039674,-0.012063280793003783
HS300,2009-08,2009-08-31,-0.03469884526222311,-0.07106188465793906,0.004744775323634931,0.016607237050321855,0.055704642733850784
HS300,2009-09,2009-09-30,-0.00012009514765143336,0.010940737196891481,0.05288296578313734,-0.003817040004956196,0.014876419581981493
HS300,2009-10,2009-10-30,-0.024712501956100974,0.01026192689920813,0.03427385674551542,0.012562474154850678,0.005374298667559341
HS300,2009-11,2009-11-30,-0.02962413215088866,0.03818436604769837,0.013999611011174196,0.010249854598547437,-0.0017938309228876514
HS300,2009-12,2009-12-31,0.016602218332882446,0.004728203465326208,-0.011313919238948422,0.008149118487090767,-0.0062600342645054985
HS300,2010-01,2010-01-29,0.0025023713751723964,-0.0007531412069594623,-0.01605665144164381,-0.0020674296723418584,0.026866154576219214
HS300,2010-02,2010-02-26,0.01468492823047618,-0.0031778837274857308,0.013029052926166074,-0.003966703394844839,0.007201238449932479
HS300,2010-03,2010-03-31,0.002432009146831504,-0.00626754681427677,0.013847412442644869,0.004543424328591117,-0.0006459572934477409
HS300,2010-04,2010-04-30,-0.012038989420966817,0.0023858978112873963,-0.015621225384002124,0.005611951054645958,-0.045955169190822875
HS300,2010-05,2010-05-31,-0.0033835912781178257,-0.027028013171937593,-0.010493771959683706,0.004870339287549541,-0.007779071610178101
HS300,2010-06,2010-06-30,-0.04592132515845071,-0.011168513811048442,-0.014435423144900428,0.0031804331707225852,-0.008466105390265932
HS300,2010-07,2010-07-30,0.0049767365849502365,-0.0031723683588743556,0.016881003720659704,-0.017586274862671503,0.003650769669337306
HS300,2010-08,2010-08-31,0.019745564734205967,-0.004055560701335503,-0.006594819212534575,0.012950920964396317,-0.0004066553181990562
HS300,2010-09,2010-09-30,-0.002115653160619013,0.021135990805659643,0.037014566827475726,0.02912457752084019,0.012713799856043817
HS300,2010-10,2010-10-29,-0.0018155794342443743,-0.005212067485810934,0.027518481601830347,-0.0028401998851134147,-0.012355871031156651
HS300,2010-11,2010-11-30,-0.0015033555534479381,-0.01663453550884786,-0.00030634510525240355,0.006069787731216358,0.0009815981254233108
HS300,2010-12,2010-12-31,0.0007407334829170331,0.020940257132767925,0.019634231286967507,-0.0043954224903924866,-0.005044302573762649
