trade_date,pos,pool_ret,strat_ret,nav_strat,nav_base
2020-11-24,0.0,-0.0010153923923923924,-0.0,1.0,0.9989846076076077
2020-11-25,0.0,-0.01205086874690441,-0.0,1.0,0.9869459752211506
2020-11-26,0.0,-0.005142308033514047,-0.0,1.0,0.9818707950041266
2020-11-27,0.0,-0.002734661750245821,-0.0,1.0,0.9791857104973453
2020-11-30,0.0,-0.0019566267848350567,-0.0,1.0,0.9772698095088583
2020-12-01,0.0,0.011865990108803166,0.0,1.0,0.9888660834021225
2020-12-02,1.0,0.0015538622222222222,0.0015538622222222222,1.0015538622222222,0.9904026450519579
2020-12-03,1.0,-0.0020180088713652043,-0.0020180088713652043,0.9995327176431077,0.9884040037280195
2020-12-04,1.0,0.001382623088307844,0.001382623088307844,1.00091469465604,0.9897705939241498
2020-12-07,0.0,-0.005846975873953717,-0.0,1.00091469465604,0.9839834291407265
2020-12-08,0.0,-0.004108215937038859,-0.0,1.00091469465604,0.9799410127353484
2020-12-09,0.0,-0.020045675217812198,-0.0,1.00091469465604,0.9602974334614416
2020-12-10,0.0,-0.000852266957364341,-0.0,1.00091469465604,0.9594790036896607
2020-12-11,0.0,-0.018963854815524674,-0.0,1.00091469465604,0.9412835831651457
2020-12-14,0.0,0.006716439153439153,0.0,1.00091469465604,0.9476056570776056
2020-12-15,1.0,-0.003035767497603068,-0.003035767497603068,0.99787615035813,0.9447289466233046
2020-12-16,0.0,-0.016772729819563154,-0.0,0.99787615035813,0.9288832632488715
2020-12-17,0.0,0.007819880019120458,0.0,0.99787615035813,0.9361470189192468
2020-12-18,1.0,-0.007700421404682275,-0.007700421404682275,0.9901920834906903,0.9289382923768315
2020-12-21,0.0,0.006490898411169957,0.0,0.9901920834906903,0.9349679364628952
2020-12-22,0.0,-0.021611403341288783,-0.0,0.9901920834906903,0.9147619672768231
2020-12-23,0.0,0.0004333860153256705,0.0,0.9901920834906903,0.9151584123207926
2020-12-24,1.0,-0.02512172169811321,-0.02512172169811321,0.9653167535415623,0.8921680573767825
2020-12-25,0.0,0.009249580246913578,0.0,0.9653167535415623,0.900420237417222
2020-12-28,1.0,-0.01628187617260788,-0.01628187617260788,0.9495995856930547,0.8857597066082846
2020-12-29,1.0,-6.0582242990654294e-05,-6.0582242990654294e-05,0.9495420568202104,0.8857060452985075
2020-12-30,0.0,0.0011278739456419867,0.0,0.9495420568202104,0.8867050100704973
2020-12-31,0.0,0.013703592592592594,0.0,0.9495420568202104,0.898856054278314
2021-01-04,1.0,0.012814283944735588,0.012814283944735588,0.9617097583537728,0.9103742509832811
2021-01-05,1.0,-0.005070241428571429,-0.005070241428571429,0.9568336576947062,0.905758433740441
2021-01-06,1.0,-0.018056653628652216,-0.018056653628652216,0.9395564437574766,0.8894034674311593
2021-01-07,0.0,-0.03842912465245598,-0.0,0.9395564437574766,0.8552244707149207
2021-01-08,0.0,-0.002520212401665895,-0.0,0.9395564437574766,0.8530691233976168
2021-01-11,1.0,-0.028903605782469022,-0.028903605782469022,0.912399874696732,0.8284123497497357
2021-01-12,0.0,0.004548361302154975,0.0,0.912399874696732,0.8321802684235647
2021-01-13,1.0,-0.022399120218579233,-0.022399120218579233,0.8919629202159832,0.8135401625476157
2021-01-14,0.0,0.009564119853613906,0.0,0.8919629202159832,0.8213209581679496
2021-01-15,1.0,0.021625444700460836,0.021625444700460836,0.9112520150219756,0.8390823891301401
2021-01-18,1.0,0.015241860120426125,0.015241860120426125,0.9251411907693969,0.8518715655347746
2021-01-19,1.0,0.009855313051555969,0.009855313051555969,0.9342587468213186,0.8602670264928389
2021-01-20,1.0,0.0005957119590507214,0.0005957119590507214,0.9348152959296478,0.8607794978484977
2021-01-21,1.0,0.003989351262862488,0.003989351262862488,0.938544602511008,0.8642134496252859
2021-01-22,1.0,-0.014277709976798145,-0.014277709976798145,0.9251443348760666,0.8518744606334878
2021-01-25,0.0,-0.02184602740977615,-0.0,0.9251443348760666,0.8332643878168003
2021-01-26,0.0,-0.00512431677301732,-0.0,0.9251443348760666,0.8289944771379527
2021-01-27,0.0,0.0010052365296803652,0.0,0.9251443348760666,0.8298278126692751
2021-01-28,1.0,-0.00839102902494331,-0.00839102902494331,0.9173814219098597,0.822864703407462
2021-01-29,0.0,-0.017142137873754154,-0.0,0.9173814219098597,0.8087590432102054
2021-02-01,0.0,0.002108143369175627,0.0,0.9173814219098597,0.8104640232244098
2021-02-02,1.0,-0.001016954095409541,-0.001016954095409541,0.9164484871157959,0.8096398185168097
2021-02-03,1.0,-0.018862289964476024,-0.018862289964476024,0.8991621700143123,0.7943681574931598
2021-02-04,0.0,-0.020256810549450548,-0.0,0.8991621700143123,0.7782767922203048
2021-02-05,1.0,-0.011906493246187365,-0.011906493246187365,0.8884563017098098,0.7690102448500694
2021-02-08,0.0,-0.004397360470178494,-0.0,0.8884563017098098,0.7656286295982034
2021-02-09,0.0,0.01604629162995595,0.0,0.8884563017098098,0.7779141298689798
2021-02-10,1.0,0.006245748563853292,0.006245748563853292,0.8940053763802602,0.78277278592841
