trade_date,pool_fwd5,pool_fwd20
2009-01-05,0.02727983379249294,0.23624402926101723
2009-01-06,-0.008383287073555916,0.2638679466806576
2009-01-07,0.05693861142965721,0.29478197850158466
2009-01-08,0.035670862626144904,0.27863757418639923
2009-01-09,0.026209120025481973,0.3033706698787302
2009-01-12,0.05693307994003238,0.3704236626419541
2009-01-13,0.02502640267020393,0.26223143642174823
2009-01-14,0.011781013906241625,0.19743222357759135
2009-01-15,0.023536554303509358,0.21829753413291916
2009-01-16,0.016143894488165778,0.26189575383315167
2009-01-19,0.03749719962990542,0.2935285661159609
2009-01-20,0.07050624785619429,0.2419959922610396
2009-01-21,0.07468153587169582,0.23525418766355952
2009-01-22,0.06958275289007361,0.1586922834900097
2009-01-23,0.08489927881724847,0.048403826940060915
2009-02-02,0.08729426804953962,0.045916102497396326
2009-02-03,0.09562752326807406,0.03251943118711994
2009-02-04,0.11237702374019994,0.11264780323169633
2009-02-05,0.08114604256244068,0.07476753625688255
2009-02-06,0.0845605718272183,0.03556233173583248
2009-02-09,0.07379496233240411,-0.0396392616550519
2009-02-10,0.03158798968232652,-0.011281576709906585
2009-02-11,-0.02883575000224418,-0.03424719669310627
2009-02-12,-0.039800356277388524,-0.0621881831017295
2009-02-13,-0.025251733368036926,-0.08803694321406647
2009-02-16,0.04972811059568586,-0.037598798355235434
2009-02-17,0.04924561648515011,0.03929544840886134
2009-02-18,0.03927996933961123,0.02790047199379979
2009-02-19,-0.06690670625648451,0.015976296612687204
2009-02-20,-0.15840715837355357,-0.02453323756767807
2009-02-23,-0.09899808720651818,0.038801199246520486
2009-02-24,-0.10175792448548697,0.03371471958734555
2009-02-25,0.02610058348302144,0.08582072568696378
2009-02-26,0.111244206115702,0.19412218185696997
2009-02-27,0.07593985141968272,0.17423920220416636
2009-03-02,0.01971748606564205,0.17126019931961312
2009-03-03,-0.012386088340530116,0.11234104451020703
2009-03-04,-0.027463390709323337,0.11823263070232293
2009-03-05,-0.01730922436939101,0.12827804067982818
2009-03-06,0.019139854398741215,0.1736014145126743
2009-03-09,0.005710988893175506,0.1583120191736053
2009-03-10,0.045877080470590935,0.12141297545327506
2009-03-11,0.05377953970598403,0.13948000724475798
2009-03-12,0.08768410004020316,0.1850752320050056
2009-03-13,0.06475939827071087,0.18452174695747034
2009-03-16,0.04847075034759382,0.16541525878262622
2009-03-17,0.04496142318772789,0.17414461058102348
2009-03-18,-0.004138938773345394,0.14841240994543065
2009-03-19,0.028162682954576038,0.1397335493857569
2009-03-20,0.016853776611344514,0.14813173978580113
2009-03-23,0.01474587576721374,0.13486096944473724
2009-03-24,0.05066239955875222,0.1022431644839637
2009-03-25,0.04188092160766003,0.08483579299720077
2009-03-26,0.034212593897586546,0.06563540162217005
2009-03-27,0.021058526360099555,0.017201691093075202
2009-03-30,0.02834723518189597,0.023349331286196467
2009-03-31,-0.024555598736601996,0.027998665978487748
2009-04-01,-0.0067022755044429515,0.040969152510354906
2009-04-02,0.03048112119207287,0.08281752796097128
2009-04-03,0.028948254336907606,0.07795062123481375
2009-04-07,0.08584548790262429,0.13515004599114333
2009-04-08,0.08205229765593329,0.10512494479147458
2009-04-09,0.052350327005391294,0.07779135632956513
2009-04-10,0.02349905047082307,0.017347446097595993
2009-04-13,0.034605118012775105,0.02470314864734453
2009-04-14,0.014241449940324532,0.017946756141616418
2009-04-15,-0.04316953701859935,0.01768262932288182
2009-04-16,-0.019286896756794143,0.04226456485965556
2009-04-17,-0.05554230682541872,0.015154811054281302
2009-04-20,-0.09201844123027675,0.024404645157970327
2009-04-21,-0.026129725373229204,0.07590576947164501
2009-04-22,-0.012219270981733551,0.04447586137955013
2009-04-23,0.008457769855488372,0.054641638683764544
2009-04-24,0.08801453243500051,0.1041982973086801
2009-04-27,0.08419819009925547,0.09095316990386068
2009-04-28,0.07688884448299878,0.06382143917596364
2009-04-29,0.05760025217987979,0.06837740613321255
2009-04-30,0.025658363635867456,0.036256351543938505
2009-05-04,-0.031129631609139032,0.03133398356320719
2009-05-05,-0.020906847760178607,0.011714276747581414
2009-05-06,-0.006629096395136806,0.00903497261410807
2009-05-07,-0.005511683889513485,0.004018054438191324
2009-05-08,0.04397281922729835,0.058143056297824944
2009-05-11,0.023100663402569808,0.04171770667495601
2009-05-12,0.023764855878284648,0.023910595281127094
2009-05-13,0.012553548921156444,-0.0031808276491153867
2009-05-14,-0.01296970161327396,0.009787332561462003
2009-05-15,-0.01901245521762541,0.0002808241687125709
2009-05-18,-0.025511814410719317,0.0019445631489882786
2009-05-19,-0.013971626948881904,0.017183849518152928
2009-05-20,0.0044543271675198046,0.03795276329419722
2009-05-21,0.018658314595487394,0.030229434966479746
2009-05-22,0.021813446122488953,0.026444519605047213
2009-05-25,0.02513141832131986,0.03440744489780567
2009-05-26,0.022773666588166094,0.03629464565114494
2009-05-27,0.0008285749165002092,0.025353774813081393
2009-06-01,-0.0027506071017708387,0.026350003660823604
2009-06-02,-0.0036953251226181953,0.007676870948149431
2009-06-03,0.010927716558754765,0.021756216451095704
2009-06-04,0.010514160073715261,0.04037918394088088
2009-06-05,-0.013866950528177754,0.04607244702179624
2009-06-08,-0.004101502700253645,0.03982464245352258
2009-06-09,-0.016821437529213643,0.034420121703515924
2009-06-10,0.001998912273235998,0.05321460479113064
2009-06-11,0.0322455439350952,0.10248903068252038
2009-06-12,0.017326191622256373,0.08819416699611053
2009-06-15,0.010802856360727496,0.09779311744369021
2009-06-16,-0.003440745487667633,0.10223462133537706
2009-06-17,0.001339592379742863,0.1050985420963609
2009-06-18,0.0011557883624522956,0.09787935084725559
2009-06-19,0.014648148152082237,0.11667902032266049
2009-06-22,0.021586323608060867,0.1382825295954992
2009-06-23,0.00021897219650786408,0.09641536618128481
2009-06-24,0.009593259250034436,0.11455498199021048
2009-06-25,0.014193384972881274,0.12030721050463795
2009-06-26,0.0175172796444008,0.10809040922377408
2009-06-29,0.027570651391372825,0.1389099550891807
2009-06-30,0.022675995086645463,0.14116328968666852
2009-07-01,0.02531201749847981,0.06129851361674656
2009-07-02,0.039088550623743334,0.06516589961582515
2009-07-03,0.040660611093943165,0.09671645315605504
2009-07-06,0.04571709688736101,0.11640389053945188
2009-07-07,0.05026224066763739,0.11671884876409534
2009-07-08,0.03666005520203163,0.09683819933849985
2009-07-09,0.028646488998034222,0.07858467798733085
2009-07-10,0.028012687865811133,0.04172541741322422
2009-07-13,0.029346079128199164,0.037094605497941274
2009-07-14,-0.006132292452841211,0.03579880580643159
2009-07-15,0.01596318916867482,-0.010599632934685623
2009-07-16,0.017659411657837472,-0.016103163606012695
2009-07-17,-0.008210369165464517,-0.08285882144708209
2009-07-20,0.03779746140754915,-0.12260451312019989
2009-07-21,0.03379510330093932,-0.11885530653055937
2009-07-22,-0.04054395467587443,-0.17484733221994878
2009-07-23,-0.02169875669625677,-0.13606157414203268
2009-07-24,-0.010025140772633376,-0.12479073883126994
2009-07-27,-0.001196272665658939,-0.11637641182792664
2009-07-28,0.07818834516101356,-0.06870646416691054
2009-07-29,0.07161704534388666,-0.04668183087358414
2009-07-30,0.02436016482999096,-0.06585646233703252
2009-07-31,-0.023700205220998374,-0.11125945647795485
2009-08-03,-0.024255289323102912,-0.18225594254908473
2009-08-04,-0.022777006386020718,-0.19087407720857993
2009-08-05,-0.05836796770409287,-0.173288406893723
2009-08-06,-0.029621123228830246,-0.11129131082763676
2009-08-07,-0.08898425883595994,-0.10737049274939899
2009-08-10,-0.15876492776248605,-0.10245818660902564
2009-08-11,-0.09633414005076045,-0.041708575835627815
2009-08-12,-0.1479028496721149,-0.0408090006196931
2009-08-13,-0.06524844830082883,-9.114365919017938e-05
2009-08-14,0.03474305023648459,0.09173366442744445
2009-08-17,0.03778821986441194,0.09861088128166262
2009-08-18,0.08276656876183625,0.1766417885903961
2009-08-19,0.0769769669731597,0.13369708646280554
2009-08-20,0.05632066144403806,0.12809064212969973
2009-08-21,0.0026591065758650428,0.06498975127761544
2009-08-24,-0.05403730710715883,0.10092964346619403
2009-08-25,-0.08989879337138894,0.03570734038647814
2009-08-26,-0.09416641538263815,-0.005537311120665344
2009-08-27,-0.02518155432689253,0.014905932877260717
2009-08-28,0.06730254228606948,0.08379372120087074
2009-08-31,0.08563947138337671,0.05350105572602655
2009-09-01,0.09460046722947997,0.021311190386721385
2009-09-02,0.048677381509906484,-0.01611322598787756
2009-09-03,0.021011867669509382,0.016893712421674388
2009-09-04,0.026140651786802523,0.011275037987173496
2009-09-07,0.03673422799908089,0.014582750373885053
2009-09-08,0.045389013301228784,0.021618755782541684
2009-09-09,0.06039377450485878,0.03710879365634517
2009-09-10,0.0706211992221628,0.023255685388438103
2009-09-11,0.007839119064456682,0.018519274807348867
2009-09-14,0.012643002351568835,0.022108868432839254
2009-09-15,-0.017739490861898192,0.0099696054786039
2009-09-16,-0.06877342935285,-0.009906332728411736
2009-09-17,-0.04451219025890854,0.03702733199635684
2009-09-18,-0.0675933746198241,0.023076614190811487
2009-09-21,-0.07479846210112237,0.01935104327697374
2009-09-22,-0.07005576336084772,0.059539328793947785
2009-09-23,-0.054148681457864514,0.046727919705774494
2009-09-24,0.0022951652572636423,0.06789800617939307
2009-09-25,0.041805491190078675,0.1373584089122421
2009-09-28,0.08599227554605772,0.19401377322434185
2009-09-29,0.08813859981523245,0.19248954350054598
2009-09-30,0.039503473025505054,0.1479876077910712
2009-10-09,0.03632051734969569,0.1448882827879145
2009-10-12,0.04219780820911323,0.13572441847259167
2009-10-13,0.04732567168159062,0.12432088422951294
2009-10-14,0.033761979543013854,0.1244062887338603
2009-10-15,0.03644151856976282,0.12584415932191723
2009-10-16,0.025130341943704483,0.11210161124231843
2009-10-19,0.011359312256575084,0.12116318866849689
2009-10-20,-0.009371726879214266,0.13778503039311518
2009-10-21,-0.0033084299314323933,0.13828974132586677
2009-10-22,-0.03583139087668687,0.14504309836537518
2009-10-23,-0.026444413494751174,0.15115359543838128
2009-10-26,0.03327688836046512,0.21057313715964962
2009-10-27,0.04593435324983621,0.12736689297286943
2009-10-28,0.07631051394866002,0.19782568531019634
2009-10-29,0.07660669518010323,0.13462416755220258
2009-10-30,0.0486305632568866,0.07155550047882445
2009-11-02,0.03318555837716872,0.09367084064843091
2009-11-03,0.026085406307575516,0.11888252566784321
2009-11-04,0.018802597971045668,0.12455005510835147
2009-11-05,0.018946674169141996,0.13147123451236037
2009-11-06,0.021536269948530806,0.08681008577586377
2009-11-09,0.045219974659290924,0.10823036649928909
2009-11-10,0.0464255452751696,0.10198428527050338
2009-11-11,0.048216987701850796,0.07888997494945545
2009-11-12,0.05475682405456179,0.0756227247054432
2009-11-13,0.03866896235107671,0.052531842614523275
2009-11-16,0.054548361901957006,0.04222592832622492
2009-11-17,-0.01242561926880678,0.04060150253832172
2009-11-18,0.00842622293629022,0.016931191458527083
2009-11-19,-0.039532111330787725,-0.021837473149647877
2009-11-20,-0.0856794815977065,-0.0775278988049339
2009-11-23,0.014196840752742983,-0.006144026636532548
2009-11-24,0.005482542395324611,-0.07148330230707718
2009-11-25,0.06628527184041151,-0.01260795070179523
2009-11-26,0.10615369715998692,0.04553364703869279
2009-11-27,0.02656032033249005,0.004718799203701232
2009-11-30,0.016604802349207005,-0.00906093832395438
2009-12-01,0.0003550249780262205,-0.0201847225210531
2009-12-02,-0.026110455997545187,-0.03546934124666237
2009-12-03,0.013407899461300912,0.0034763467669903327
2009-12-04,-0.007344061129465951,-0.011620037505262887
2009-12-07,-0.01135375295312251,-0.00024942307155033627
2009-12-08,0.010357430455154757,0.01540145911241065
2009-12-09,-0.003799249501243105,-0.015932253396849873
2009-12-10,-0.03482182501016517,-0.0038559246093490367
2009-12-11,-0.0668798735124256,0.011168784845658154
2009-12-14,-0.05746714684136888,0.02696452075733065
2009-12-15,-0.08149567513557085,0.023279921512404524
2009-12-16,-0.03376597787372098,0.08427496987012827
2009-12-17,0.03538333879819991,0.13360139400479165
2009-12-18,0.024198502076804823,0.13427963802011295
2009-12-21,0.0743141431198164,0.1684837034725326
2009-12-22,0.06024196444913987,0.10331200775403306
2009-12-23,0.021416080741072787,0.07819637279649086
2009-12-24,0.02709302798744574,0.04428198679467856
2009-12-25,0.013444271088070697,0.013702006914258704
2009-12-28,0.020867142919538856,-0.034503360949516525
2009-12-29,0.023416816145301365,-0.03708730841969256
2009-12-30,-0.008369361542218326,-0.035375161699566546
2009-12-31,-0.0011559046769653552,-0.03075141157472935
2010-01-04,-0.0034326698228624246,-0.05790473001783055
2010-01-05,0.020973396000256335,-0.05971708284414089
2010-01-06,0.03447985483980626,-0.02321498779192032
2010-01-07,0.05092427580879687,-0.02456425542695404
2010-01-08,0.04878830656923975,-0.05111359248494765
2010-01-11,0.04190495991113511,-0.06897965184661242
2010-01-12,0.04938337071208096,-0.06090747131392841
2010-01-13,-0.01747761694830724,-0.07429990779082102
2010-01-14,-0.017218073375004132,-0.08465592130223316
2010-01-15,-0.05863595684771256,-0.08643930813443863
2010-01-18,-0.07010755264054402,-0.08155123952131374
2010-01-19,-0.07223046211938401,-0.035415878007356384
2010-01-20,-0.08646483990312848,-0.020949319331068226
2010-01-21,-0.04968988873894641,0.022993155548273136
2010-01-22,-0.027486540039118948,0.04040022113891602
2010-01-25,-0.0029599010725311885,0.09844159761372556
2010-01-26,-0.0006172179112381923,0.10944328083464668
2010-01-27,0.004048661652416308,0.1103422962952739
2010-01-28,0.0057742310693863295,0.061128379103198884
2010-01-29,0.0030595852753043697,0.08403812145005739
2010-02-01,0.01023329717250578,0.10236985851384464
2010-02-02,-0.005579367903590477,0.08674273321393916
2010-02-03,-0.002081281444805319,0.06460625922563097
2010-02-04,0.012984424364970748,0.0809493133684197
2010-02-05,0.02354901115804151,0.06237251577261541
